Target,B-V,B,V,Sp. Type (Simbad),Sp. Type (Eric),combined,Li EW,REF,split,Li Age (Myr),combined,split,R'HK,REF,R'HK Age,Group Membershipc,Group Agec,Adopted Aged,Target, typed ident  ,       identifier        ,"       coord1 (ICRS,J2000/2000)        ",  spec. type   ,#not
AB Dor,0.857,7.856,6.999,K0V            ,K2Vk17,2678,267,8,3,10,-3.8806,1,-3.88,6,<50,AB Dor,70,70,AB Dor,AB Dor        ,HD 36705                 ,05 28 44.8916324761 -65 26 55.289846904,K0V            ,0
UY Pic,1.094,8.77,7.676,K0V            ,K0V18,2638,263,8,3,10,-4.2346,1,-4.234,6,78,AB Dor,70,70,UY Pic,UY Pic        ,V* UY Pic                ,05 36 56.8530716709 -47 57 52.884166166,K0V            ,0
AO Men,1.251,11.06,9.809,K4Ve           ,K6/716,35716,357,16,3,6,-3.7556,1,-3.755,6,,beta Pic,12,12,AO Men,AO Men        ,V* AO Men                ,06 18 28.2084971476 -72 02 41.446399943,K4Ve           ,0
HIP 30030,0.57,8.52,7.95,G0V            ,G0V19,2198,219,8,3,2,,,,,,Tuc/Hor,30,30,HIP 30030,HIP 30030     ,V* V1358 Ori             ,06 19 08.0574744469 -03 26 20.358775839,G0V            ,1
HIP 30034,0.805,10.01,9.205,K1V(e)         ,K2V2,,,,3,,,,,,,Tuc/Hor,30,30,HIP 30034,HIP 30034     ,HD 44627                 ,06 19 12.9129838711 -58 03 15.524890610,K1V(e)         ,2
HD 45270,0.602,7.11,6.508,G1V            ,G1V2,1495,149,5,3,90,-4.3786,1,-4.378,6,254,AB Dor,70,70,HD 45270,HD 45270      ,HD 45270                 ,06 22 30.9412022189 -60 13 07.143258224,G1V            ,0
HD 48189 A,0.61,6.96,6.35,G0V            ,G1/G2V2,1458,145,8,3,25,-4.2686,1,-4.268,6,105,AB Dor,70,70,HD 48189 A,HD 48189 A    ,HD 48189A                ,06 38 00.389998 -61 32 00.21041        ,G0V            ,0
pi01 UMa,0.62,6.26,5.64,G0.5V          ,G1.5V20,1358,135,8,3,100,-4.40021,2,-4.4,21,300,,,200,pi01 UMa,pi01 UMa      ,V* pi.01 UMa             ,08 39 11.7043265307 +65 01 15.268273190,G0.5V          ,0
HD 81040,,8.37,     ~,G0V            ,G0V20,2422,24,22,2,2500,,,,,,,,2500,HD 81040,HD 81040      ,HD 81040                 ,09 23 47.0873633956 +20 21 52.028150111,G0V            ,1
LQ Hya,0.87,8.761,7.891,K1Vp           ,K0V20,2478,247,8,3,13,,,,,,,,13,LQ Hya,LQ Hya        ,V* LQ Hya                ,09 32 25.5684079124 -11 11 04.687410738,K1Vp           ,0
DX Leo,,7.78,     ~,G9V(k)         ,K0V20,1808,180,8,3,100,-4.2346,1,-4.234,6,78,Her/Lyr,200,200,DX Leo,DX Leo        ,HD 82443                 ,09 32 43.7594363452 +26 59 18.708212270,G9V(k)         ,0
HD 92945,0.877,8.596,7.719,K1V            ,K1V20,1388,138,8,3,160,-4.3936,2,-4.39,36,285,AB Dor,70,70,HD 92945,HD 92945      ,V* V419 Hya              ,10 43 28.2716326261 -29 03 51.429322869,K1V            ,0
GJ 417,,7.02,     ~,G2             ,G0V23,7624,76,24,2,250,-4.36813,2,-4.368,13,235,Her/Lyr,200,200,GJ 417,GJ 417        ,HD 97334                 ,11 12 32.3505448605 +35 48 50.691547084,G2             ,0
TWA 14,,     ~,12.478,K8IVe          ,M025,60025,600,25,3,8,,,,,,TW Hya,10,10,TWA 14,TWA 14        ,V* V1215 Cen             ,11 13 26.2208332352 -45 23 42.719174706,K8IVe          ,0
TWA 25,1.93,13.09,11.16,M0.5           ,M09,49426,494,26,3,10,,,,,,TW Hya,10,10,TWA 25,TWA 25        ,V* V1249 Cen             ,12 15 30.7203284919 -39 48 42.605543199,M0.5           ,0
RXJ1224.8-7503,0.983,11.543,10.56,K3Ve           ,K227,25027,250,27,3,16,,,,,,,,16,RXJ1224.8-7503,RXJ1224.8-7503,CD-74 681                ,12 24 47.3521527777 -75 03 09.043717654,K3Ve           ,0
HD 114613,0.7,5.55,4.85,G3V            ,G3V28,10029,100,29,3,400,-4.2686,1,-4.268,6,7900,,,8800,HD 114613,HD 114613     ,HD 114613                ,13 12 03.1833193234 -37 48 10.879261160,G3V            ,0
HD 128311,0.995,8.441,7.446,K3V            ,K020,,,,3,,-4.48913,2,-4.489,13,565,,,630,HD 128311,HD 128311     ,HD 128311                ,14 36 00.5607343227 +09 44 47.453643485,K3V            ,1
EK Dra,0.639,8.243,7.604,G1.5V          ,G030,2128,212,8,3,2,-4.10613,2,-4.106,13,<50,AB Dor,70,70,EK Dra,EK Dra        ,V* EK Dra                ,14 39 00.2109485496 +64 17 29.977371998,G1.5V          ,0
HD 135363,,     ~,     ~,G5V+M2V-M4V    ,G5V20,2208,220,8,3,3,,,,,,,,3,HD 135363,HD 135363     ,HD 135363                ,15 07 56.2503196449 +76 12 02.714809400,G5V+M2V-M4V    ,0
KW Lup,0.97,10.34,9.37,K2V            ,K2V28,43031,430,31,3,2,,,,,,,,2,KW Lup,KW Lup        ,V* KW Lup                ,15 45 47.6004000229 -30 20 55.746429833,K2V            ,0
HD 155555 AB,1.54,14.36,12.82,M3Ve           ,G5IV16,2058,205,8,3,6,-3.9656,1,-3.965,6,<50,beta Pic,12,12,HD 155555 AB,,,,,
HD 155555 C,,,,,M4.516,,,,3,,,,,,,beta Pic,12,12,HD 155555 C,HD 155555 C   ,HD 155555C               ,17 17 31.2880553026 -66 57 05.472249501,M3Ve           ,1
HD 166435,0.628,7.457,6.829,G1IV           ,G032,,,,3,4.27021,-4.27021,2,-4.27,21,107,,,110,HD 166435,HD 166435     ,HD 166435                ,18 09 21.3817906855 +29 57 06.165674208,G1IV           ,0
HD 172555 A,,,,,A5IV/V2,,,,3,,,,,,,beta Pic,12,12,HD 172555 A,,,,,
CD 64 1208,,,,,K716,58016,580,16,3,5,,,,,,beta Pic,12,12,CD 64 1208,,,,,
HD 181321,0.63,7.11,6.48,G2V            ,G1/G2V28,1318,131,8,3,79,-4.3726,1,-4.372,6,243,,,160,HD 181321,HD 181321     ,HD 181321                ,19 21 29.7277723051 -34 59 00.356331012,G2V            ,0
HD 186704,0.583,7.62,7.037,G0V            ,G033,,,,3,4.35021,-4.35021,2,-4.35,21,205,,,210,HD 186704,HD 186704     ,HD 186704                ,19 45 57.3402298694 +04 14 54.416851821,G0V            ,0
GJ 799B,1.3,12.64,11.34,M4.5Ve         ,M4.5e34,,,,3,,,,,,,beta Pic,12,12,GJ 799B,GJ 799B       ,NAME AT Mic B            ,20 41 51.1600872316 -32 26 10.209854590,M4.5Ve         ,0
GJ 799A,2.31,12.67,10.36,M4.5Ve         ,M4.5e34,,,,3,,,,,,,beta Pic,12,12,GJ 799A,GJ 799A       ,NAME AT Mic A            ,20 41 51.1277220593 -32 26 06.682842597,M4.5Ve         ,0
GJ 803,1.423,10.05,8.627,M1VeBa1        ,M0Ve34,518,51,8,2,30,,,,,,beta Pic,12,12,GJ 803,GJ 803        ,V* AU Mic                ,20 45 09.5323695486 -31 20 27.241710746,M1VeBa1        ,0
HD 201091,1.18,6.39,5.21,K5V            ,K5Ve34,,,,3,4.70413,-4.70413,2,-4.704,13,2029,,,2000,HD 201091,HD 201091     ,* 61 Cyg A               ,21 06 53.9396100677 +38 44 57.897024357,K5V            ,0
Eps Indi A,,,,,K5Ve34,,,,3,4.8516,-4.8516,1,-4.851,6,3964,,,4000,Eps Indi A,,,,,
GJ 862,1.097,8.742,7.645,K4V            ,K5V34,,,,3,4.9836,-4.9836,1,-4.983,6,6280,,,6300,GJ 862,GJ 862        ,HD 213042                ,22 29 15.2363505086 -30 01 06.262591727,K4V            ,0
HIP 112312 A,,,,,M4e9,,,,3,,,,,,,beta Pic,12,12,HIP 112312 A,,,,,
HD 224228,0.985,9.21,8.225,K2V            ,K3V28,538,53,8,2,630,-4.4686,1,-4.468,6,,AB Dor,70,70,HD 224228,HD 224228     ,HD 224228                ,23 56 10.6732720614 -39 03 08.409993692,K2V            ,0
HIP 2729,1.226,10.83,9.604,K4Ve           ,K5V2,,,,3,,,,,,,Tuc/Hor,30,30,HIP 2729,HIP 2729      ,HD 3221                  ,00 34 51.2019905484 -61 54 58.129778039,K4Ve           ,0
BD +2 1729,1.466,11.055,9.589,M0.0Ve         ,K720,,,,3,,,,,,,Her/Lyr,200,200,BD +2 1729,BD +2 1729    ,BD+02 1729               ,07 39 23.0387126510 +02 11 01.197472387,M0.0Ve         ,0
TWA 6,1.936,13.39,11.454,M0Ve           ,K735,56035,560,35,3,3,,,,,,TW Hya,10,10,TWA 6,TWA 6         ,V* BX Ant                ,10 18 28.6989165716 -31 50 02.826261802,M0Ve           ,0
BD +1 2447,1.501,11.151,9.65,M2.0Ve         ,M236,,,,3,,,,,,,AB Dor,70,70,BD +1 2447,BD +1 2447    ,BD+01 2447               ,10 28 55.5513010331 +00 50 27.601817738,M2.0Ve         ,0
TWA 8A,1.46,13.69,12.23,M3Ve           ,M235,53035,530,35,3,3,,,,,,TW Hya,10,10,TWA 8A,TWA 8A        ,CD-26 8623               ,11 32 41.2659398509 -26 51 55.961617611,M3Ve           ,0
TWA 8B,1.48,16.7,15.22,M5.5           ,M535,56035,560,35,3,3,,,,,,TW Hya,10,10,TWA 8B,TWA 8B        ,CD-26 8623B              ,11 32 41.1729967174 -26 52 09.110626414,M5.5           ,0
TWA 9A,1.37,12.54,11.17,K5V            ,K535,46035,460,35,3,3,,,,,,TW Hya,10,10,TWA 9A,TWA 9A        ,CD-36 7429A              ,11 48 24.2226856081 -37 28 49.112368947,K5V            ,0
TWA 9B,1.43,15.43,14,M1V            ,M135,48035,480,35,3,3,,,,,,TW Hya,10,10,TWA 9B,TWA 9B        ,CD-36 7429B              ,11 48 23.7347470027 -37 28 48.519698919,M1V            ,0
SAO 252852,1.15,9.62,8.47,K5V            ,K5V37,,,,3,,,,,,,Her/Lyr,200,200,SAO 252852,SAO 252852    ,* alf Cir B              ,14 42 28.6417476699 -64 58 41.217810162,K5V            ,0
V343 Nor,0.803,8.78,7.977,K0V            ,K0V2,30029,300,29,3,5,-4.1596,1,-4.159,6,40,beta Pic,12,12,V343 Nor,V343 Nor      ,HD 139084                ,15 38 57.5579600831 -57 42 27.297738209,K0V            ,0
PZ Tel,0.878,9.22,8.342,G9IV           ,K0Vp18,26738,267,38,3,20,-3.7804,1,-3.78,4,<50,beta Pic,12,12,PZ Tel,PZ Tel        ,V* PZ Tel                ,18 53 05.8733807460 -50 10 49.901380086,G9IV           ,0
BD-17 6128,0.978,11.603,10.625,K7             ,K739,40040,400,40,3,3,,,,,,beta Pic,12,12,BD-17 6128,BD-17 6128    ,V* AZ Cap                ,20 56 02.738688 -17 10 53.80428        ,K7             ,0
HD 166,,6.88,     ~,G8             ,K0V41,7442,74,42,2,290,-4.45813,2,-4.458,13,460,Her/Lyr,200,200,HD 166,HD 166        ,HD 166                   ,00 06 36.7840943605 +29 01 17.410390108,G8             ,1
HD 691,,8.71,     ~,K0V            ,K0V43,1108,110,8,3,260,-4.38021,2,-4.38,21,260,,,260,HD 691,HD 691        ,V* V344 And              ,00 11 22.4373731017 +30 26 58.474326254,K0V            ,0
HD 1405,0.92,9.78,8.86,K2V            ,K2V44,27145,271,45,3,,,,,,,AB Dor,70,70,HD 1405,HD 1405       ,V* PW And                ,00 18 20.8896176716 +30 57 22.127515298,K2V            ,1
HD 5996,0.75,8.42,7.67,G5V            ,G5V46,,,,3,4.45413,-4.45413,2,-4.454,13,440,,,440,HD 5996,HD 5996       ,V* V966 Cas              ,01 02 57.2226974892 +69 13 37.427658063,G5V            ,0
HD 9540,0.759,7.722,6.963,K0V            ,K0V7,,,,3,4.7746,-4.7746,1,-4.774,6,2900,,,2900,HD 9540,HD 9540       ,HD 9540                  ,01 33 15.8094097330 -24 10 40.655632552,K0V            ,0
HD 10008,0.803,8.459,7.656,K0/1V          ,G5V47,10348,103,48,3,280,-4.53013,2,-4.53,13,740,Her/Lyr,200,200,HD 10008,HD 10008      ,V* EX Cet                ,01 37 35.4668233260 -06 45 37.531277337,K0/1V          ,0
HD 14802,0.61,5.8,5.19,G0V            ,G0V17,5149,51,49,2,4000,-4.9856,1,-4.985,6,6300,,,5200,HD 14802,HD 14802      ,* kap For                ,02 22 32.6034277561 -23 49 00.487776704,G0V            ,1
HD 16765,0.52,6.23,5.71,F7V            ,F7IV50,7314,73,14,2,270,-4.40013,2,-4.4,13,300,,,290,HD 16765,HD 16765      ,* 84 Cet                 ,02 41 13.99720 -00 41 44.3845          ,F7V            ,0
HD 17190,,8.66,     ~,K1             ,K1IV51,,,,3,,-4.87021,2,-4.87,21,4300,,,4300,HD 17190,HD 17190      ,HD 17190                 ,02 46 15.2062288402 +25 38 59.641252327,K1             ,0
HD 17382,,8.46,     ~,K2             ,K1V51,,,,3,,-4.45021,2,-4.45,21,430,,,430,HD 17382,HD 17382      ,HD 17382                 ,02 48 09.1505304050 +27 04 07.109092260,K2             ,0
HD 18803,,     ~,     ~,G8V            ,G8V52,,,,3,,-4.88021,2,-4.88,21,4400,,,4400,HD 18803,HD 18803      ,* 51 Ari                 ,03 02 26.0262812920 +26 36 33.260208751,G8V            ,0
HD 19994,0.561,5.631,5.07,F8.5V          ,F8V53,1254,12,54,2,8000,-4.88021,2,-4.88,21,4400,,,6200,HD 19994,HD 19994      ,* 94 Cet                 ,03 12 46.4369076602 -01 11 45.949836281,F8.5V          ,1
HD 20367,0.563,6.962,6.399,F8V            ,G0V55,1138,113,8,3,150,-4.50021,2,-4.5,21,610,,,380,HD 20367,HD 20367      ,HD 20367                 ,03 17 40.0466570902 +31 07 37.358433303,F8V            ,1
2E 759,1.08,11.4,10.32,K7V            ,K7V56,6357,63,57,2,260,,2,,0,,Her/Lyr,200,200,2E 759,2E 759        ,BD-19 660                ,03 20 50.7089943784 -19 16 08.722363256,K7V            ,0
HIP 17695,1.511,13.048,11.537,M3.0V          ,M3e58,,,,3,,,2,,0,,AB Dor,70,70,HIP 17695,HIP 17695     ,G 80-21                  ,03 47 23.3412010775 -01 58 19.945342289,M3.0V          ,0
HD 25457,0.5,5.88,5.38,F7V            ,F5V59,9160,91,60,2,80,-4.39021,2,-4.39,21,280,AB Dor,70,70,HD 25457,HD 25457      ,HD 25457                 ,04 02 36.7451443573 -00 16 08.118566607,F7V            ,0
HD 283750,,9.354,     ~,K2.5Ve         ,K261,338,33,8,2,300,-4.05713,2,-4.057,13,,,,300,HD 283750,HD 283750     ,HD 283750                ,04 36 48.2413370074 +27 07 55.898311812,K2.5Ve         ,1
HD 30652,0.44,3.63,3.19,F6V            ,F6V62,1514,15,14,2,7500,-4.65021,2,-4.65,21,1500,,,4500,HD 30652,HD 30652      ,* pi.03 Ori              ,04 49 50.4109057 +06 57 40.588294      ,F6V            ,0
HD 75332,0.528,6.738,6.21,F7Vs           ,F7V50,1258,125,8,3,50,-4.47021,2,-4.47,21,500,,,270,HD 75332,HD 75332      ,HD 75332                 ,08 50 32.2225492041 +33 17 06.200101841,F7Vs           ,0
HD 77407,,     ~,     ~,G0V+M3V-M6V    ,G063,16245,162,45,3,50,-4.34021,2,-4.34,21,190,,,120,HD 77407,HD 77407      ,HD 77407                 ,09 03 27.0836286593 +37 50 27.500788701,G0V+M3V-M6V    ,0
HD 78141,0.89,8.87,7.98,K0             ,K064,1078,107,8,3,270,0,2,,0,,,,270,HD 78141,HD 78141      ,HD 78141                 ,09 07 18.0735926495 +22 52 21.500667554,K0             ,0
HD 90905,,     ~,     ~,G1V            ,G0V65,1368,136,8,3,80,-4.43021,2,-4.43,21,370,,,230,HD 90905,HD 90905      ,HD 90905                 ,10 29 42.2300405874 +01 29 28.039591756,G1V            ,0
HD 91901,0.85,9.6,8.75,K2V            ,K2V7,766,7,66,1,1000,0,2,,0,,,,1000,HD 91901,HD 91901      ,V* V418 Hya              ,10 36 30.7920596561 -13 50 35.822438599,K2V            ,0
HD 93528,0.802,9.19,8.388,K0V            ,K1V17,1008,100,8,3,260,-4.4246,1,-4.424,6,360,,,310,HD 93528,HD 93528      ,HD 93528                 ,10 47 31.1543128244 -22 20 52.914739349,K0V            ,0
HIP 53020,1.644,13.319,11.675,M4V            ,M467,,,,3,,0,,,,,Her/Lyr,200,200,HIP 53020,HIP 53020     ,Wolf 358                 ,10 50 52.0312400722 +06 48 29.263582377,M4V            ,0
HD 96064,0.77,8.41,7.64,G8V            ,G8V68,1148,114,8,3,250,-4.37313,2,-4.373,13,250,,,250,HD 96064,HD 96064      ,HD 96064                 ,11 04 41.4723398276 -04 13 15.917094753,G8V            ,0
HD 102392,1.154,10.187,9.033,K4.5V          ,K4.5V17,,,,3,,-4.8116,2,-4.81,16,3400,,,3400,HD 102392,HD 102392     ,HD 102392                ,11 47 03.8362418 -11 49 26.582256      ,K4.5V          ,0
HD 105631,,8.26,     ~,G7V            ,K0V69,,,,3,,-4.65021,2,-4.65,21,1500,,,1500,HD 105631,HD 105631     ,HD 105631                ,12 09 37.2563471150 +40 15 07.404577561,G7V            ,0
HD 107146,,7.61,     ~,G2V            ,G2V70,1258,125,8,3,180,-4.34021,2,-4.34,21,190,,,190,HD 107146,HD 107146     ,HD 107146                ,12 19 06.5022221429 +16 32 53.870713669,G2V            ,0
HD 108767 B,0.95,9.38,8.43,K1             ,K2V71,17572,175,72,3,140,0,2,,0,,,,140,HD 108767 B,HD 108767 B   ,* del Crv B              ,12 29 50.8907908157 -16 31 15.206614589,K1             ,0
HD 109085,0.38,4.69,4.31,F2V            ,F2V17,3773,37,73,2,100,0,2,,0,,,,100,HD 109085,HD 109085     ,* eta Crv                ,12 32 04.2265302 -16 11 45.616473      ,F2V            ,0
BD +60 1417,1.01,10.38,9.37,K0             ,K074,968,96,8,2,270,0,2,,0,,,,270,BD +60 1417,BD +60 1417   ,BD+60 1417               ,12 43 33.2724292242 +60 00 52.704974821,K0             ,0
HD 111395,,6.98,     ~,G5V            ,G5V52,,,,3,,-4.58021,2,-4.58,21,1000,,,1000,HD 111395,HD 111395     ,HD 111395                ,12 48 47.0482457374 +24 50 24.820252955,G5V            ,0
HD 113449,0.876,8.555,7.679,K1V            ,K1V17,1428,142,8,3,200,-4.34013,2,-4.34,13,190,AB Dor,70,70,HD 113449,HD 113449     ,V* PX Vir                ,13 03 49.6546871 -05 09 42.517119      ,K1V            ,0
HD 116956,,8.09,     ~,G9V            ,G9V68,3124,31,24,2,1000,-4.44713,2,-4.447,13,420,,,710,HD 116956,HD 116956     ,HD 116956                ,13 25 45.5322829115 +56 58 13.777493409,G9V            ,0
HD 118100,1.18,10.552,9.372,K5Ve           ,K4.5V68,2515,25,15,2,280,-4.09013,2,-4.09,13,,,,280,HD 118100,HD 118100     ,HD 118100                ,13 34 43.2063348511 -08 20 31.335294003,K5Ve           ,0
HD 124106,0.873,8.819,7.946,K1V            ,K1V17,,,,3,,-4.6756,1,-4.675,6,1700,,,1700,HD 124106,HD 124106     ,HD 124106                ,14 11 46.1729852985 -12 36 42.359255041,K1V            ,0
HD 130004,0.88,8.75,7.87,K0V            ,K2.5V68,,,,3,,-4.91913,2,-4.919,13,5100,,,5100,HD 130004,HD 130004     ,HD 130004                ,14 45 24.1828329287 +13 50 46.736270265,K0V            ,0
HD 130322,0.78,8.82,8.04,K0V            ,KOIII75,,,,3,,-4.78021,2,-4.78,21,2900,,,2900,HD 130322,HD 130322     ,HD 130322                ,14 47 32.7265637197 -00 16 53.305928889,K0V            ,1
HD 130948,0.589,6.456,5.867,F9IV-V         ,G2V52,1168,116,8,3,230,-4.50021,2,-4.5,21,610,,,420,HD 130948,HD 130948     ,HD 130948                ,14 50 15.8107686483 +23 54 42.633203114,F9IV-V         ,0
HD 139813,,8.1,     ~,G9V            ,G576,1198,119,8,3,230,-4.40021,2,-4.4,21,300,,,270,HD 139813,HD 139813     ,HD 139813                ,15 29 23.5931591580 +80 27 00.965985712,G9V            ,1
HD 141272,0.82,8.242,7.422,K0V            ,G9V68,,,,3,,-4.39021,2,-4.39,21,280,,,280,HD 141272,HD 141272     ,HD 141272                ,15 48 09.4631713406 +01 34 18.270084754,K0V            ,0
HIP 81084,1.62,12.9,11.28,K9Vkee         ,K9Vkee77,,,,3,,-4.2106,1,-4.21,6,,AB Dor,70,70,HIP 81084,HIP 81084     ,LP 745-70                ,16 33 41.6097913996 -09 33 11.936260802,K9Vkee         ,0
HD 160934,1.19,11.34,10.15,K7Ve           ,K778,4079,40,79,2,280,0,,,,,AB Dor,70,70,HD 160934,HD 160934     ,HD 160934                ,17 38 39.6170537492 +61 14 16.102424643,K7Ve           ,0
HD 166181,0.7,8.4,7.7,G5             ,G5V80,1868,186,8,3,60,0,,,,,,,60,HD 166181,HD 166181     ,V* V815 Her              ,18 08 16.0466708534 +29 41 28.298657106,G5             ,0
HD 167605,,     ~,     ~,K2V            ,K2V81,1457,14,57,2,500,0,,,,,,,500,HD 167605,HD 167605     ,V* LP Dra                ,18 09 55.4988492938 +69 40 49.790702828,K2V            ,0
HD 187748,0.58,7.22,6.64,G0             ,G063,1148,114,8,3,140,0,,,,,,,140,HD 187748,HD 187748     ,HD 187748                ,19 48 15.4485994563 +59 25 22.443941284,G0             ,0
HD 201651,0.74,8.94,8.2,K0             ,K047,,,,3,,-5.01021,2,-5.01,21,6800,,,6800,HD 201651,HD 201651     ,HD 201651                ,21 06 56.3886130739 +69 40 28.546309408,K0             ,0
HD 202575,1.045,8.923,7.878,K3V            ,K3V68,,,,3,,-4.52213,2,-4.522,13,700,,,700,HD 202575,HD 202575     ,HD 202575                ,21 16 32.4670708408 +09 23 37.774663594,K3V            ,0
HIP 106231,1.027,10.28,9.253,K3Vke          ,K3Vke68,1408,140,8,3,180,-3.90613,2,-3.906,13,,AB Dor,70,70,HIP 106231,HIP 106231    ,BD+22 4409               ,21 31 01.7141405072 +23 20 07.370852589,K3Vke          ,0
HD 206860,,     ~,     ~,G0V+           ,G0VCH-0.517,11082,110,82,3,190,-4.4006,1,-4.4,6,300,Her/Lyr,200,200,HD 206860,HD 206860     ,HD 206860                ,21 44 31.3299733695 +14 46 18.982331039,G0V+           ,1
HD 208313,,8.69,     ~,K1             ,K2V68,,,,3,,-4.98713,2,-4.987,13,6400,,,6400,HD 208313,HD 208313     ,HD 208313                ,21 54 45.0395724183 +32 19 42.839255220,K1             ,0
V383 Lac,0.84,9.42,8.58,K1V            ,K083,2598,259,8,3,40,0,,,,,,,40,V383 Lac,V383 Lac      ,V* V383 Lac              ,22 20 07.0254836275 +49 30 11.763794475,K1V            ,0
HD 213845,0.44,5.64,5.2,F7V            ,F5V17,,,,3,,-4.5476,1,-4.547,6,830,Her/Lyr,200,200,HD 213845,HD 213845     ,* ups Aqr                ,22 34 41.6367033191 -20 42 29.574530725,F7V            ,0
HIP 114066,1.42,12.31,10.89,M0.3V          ,M078,,,,3,,0,,,,,AB Dor,70,70,HIP 114066,HIP 114066    ,GJ 9809                  ,23 06 04.8464676078 +63 55 34.353464181,M0.3V          ,1
HD 220140,0.89,8.43,7.54,G9V            ,K2Vk68,2188,218,8,3,85,-4.07413,2,-4.074,13,,,,85,HD 220140,HD 220140     ,HD 220140                ,23 19 26.6384866318 +79 00 12.671002116,G9V            ,0
HD 221503,1.296,9.903,8.607,K6V            ,K6Vk17,,,,3,,-4.4866,1,-4.486,6,550,,,550,HD 221503,HD 221503     ,HD 221503                ,23 32 49.3984137960 -16 50 44.322821630,K6V            ,0
HIP 117410,0.945,10.797,9.852,K5Vke          ,K5Vke17,,,,3,,-4.1946,1,-4.194,6,55,,,55,HIP 117410,HIP 117410    ,BD-13 6464               ,23 48 25.6960649528 -12 59 14.986223957,K5Vke          ,0
