#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:31:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc2547}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ngc2547
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ngc2451
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc2547:
#Name: J/A+A/612/A99/ngc2547
#Title: Parameters for NGC2547
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
08094507-4856307;NGC2547;   UVES; 6025;    ;   4.200;        ;  -0.020;        ; ; 145.633;   4.499;   0;   1.003;   0.002;  13.673;   0.400; 0.977; 0.006;  21;122.43779;-48.94186
08094542-4906237;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  22;122.43925;-49.10658
08094556-4917365;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  23;122.43983;-49.29347
08094610-4914270;NGC2547;   UVES; 7650;  50;   4.100;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;  19.244;   0.400; 0.138; 0.757;  24;122.44208;-49.24083
08095046-4846112;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  25;122.46025;-48.76978
08095066-4912493;NGC2547;   UVES; 8550;  50;   3.900;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;  11.154;   0.400; 0.935; 0.011;  26;122.46108;-49.21369
08095331-4918134;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  27;122.47212;-49.30372
08095644-4922109;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  28;122.48517;-49.36969
08095753-4908202;NGC2547;   UVES;11400;2000;   4.111;   1.000;  -0.438;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  29;122.48971;-49.13894
08095922-4916108;NGC2547;   UVES;12300;2000;   4.457;   1.000;   1.355;        ; ;        ;        ;    ;        ;        ;  13.729;   0.400; 0.959; 0.014;  30;122.49675;-49.26967
08095940-4859111;NGC2547;   UVES; 5239;   4;   4.500;   0.020;   0.058;   0.068; ; 164.950;   2.110;   0;   0.983;   0.002;  29.858;   0.400;      ;      ;  31;122.49750;-48.98642
08100380-4901071;NGC2547;   UVES; 5914;    ;   4.390;        ;  -0.010;        ; ; 167.500;   1.965;   0;   0.999;   0.002;  13.922;   0.400; 0.090; 0.804;  32;122.51583;-49.01864
08100607-4914180;NGC2547;   UVES; 8200;  50;   2.200;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  33;122.52529;-49.23833
08100777-4855099;NGC2547;   UVES; 6247;    ;   3.820;        ;  -0.030;        ; ;  11.900;        ;   0;   1.010;   0.002;   1.503;   0.400; 0.336; 0.030;  34;122.53237;-48.91942
08100785-4916357;NGC2547;   UVES;12500;2000;   3.955;   1.000;  -0.250;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  35;122.53271;-49.27658
08100810-4912157;NGC2547;   UVES; 5347;  22;   4.499;   0.089;  -0.168;   0.034; ; 150.700;   1.635;   0;   0.983;   0.002;  13.689;   0.400;      ;      ;  36;122.53375;-49.20436
08100893-4915413;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  37;122.53721;-49.26147
08101292-4914096;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  38;122.55383;-49.23600
08101799-4923503;NGC2547;   UVES; 5214;    ;   4.510;        ;  -0.070;        ; ; 271.900;   2.947;   0;   0.984;   0.002;  14.134;   0.400; 0.947; 0.015;  39;122.57496;-49.39731
08102319-4912088;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  40;122.59662;-49.20244
08102667-4906532;NGC2547;   UVES; 7650;  50;   1.900;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  41;122.61112;-49.11478
08102725-4909509;NGC2547;   UVES; 6025;    ;   5.071;        ;  -0.922;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  42;122.61354;-49.16414
08102854-4856518;NGC2547;   UVES; 5861;  95;   4.365;   0.021;   0.045;   0.021; ; 201.133;   4.817;   0;   0.998;   0.001;  12.274;   0.400; 0.984; 0.003;  43;122.61892;-48.94772
08103144-4906301;NGC2547;   UVES;11400;2000;   4.605;   1.000;  -0.632;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  44;122.63100;-49.10836
08103560-4910281;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  45;122.64833;-49.17447
08103672-4851270;NGC2547;   UVES; 5523;  27;   4.519;   0.044;  -0.021;   0.022; ;  46.067;   5.409;   0;   0.990;   0.003;   7.270;   0.400;      ;      ;  46;122.65300;-48.85750
08103713-4916587;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  47;122.65471;-49.28297
08103812-4912285;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  48;122.65883;-49.20792
08104233-4857253;NGC2547;   UVES; 8300;  50;   2.400;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  49;122.67637;-48.95703
08104410-4913153;NGC2547;   UVES; 5109;  24;   2.441;   0.093;  -0.369;   0.015; ;  27.200;        ;   0;   1.011;   0.002;  62.643;   0.400;      ;      ;  50;122.68375;-49.22092
08104618-4855013;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  51;122.69242;-48.91703
08104793-4917078;NGC2547;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  52;122.69971;-49.28550
08105058-4935573;NGC2547;   UVES; 5832;    ;   4.400;        ;   0.000;        ; ; 179.900;        ;   0;        ;        ;  12.391;   0.400; 0.985; 0.003;  53;122.71075;-49.59925
08105280-4936425;NGC2547;   UVES; 4869;  13;   3.009;   0.073;   0.071;   0.031; ;  50.400;        ;   0;        ;        ;  33.289;   0.400;      ;      ;  54;122.72000;-49.61181
08105955-4917039;NGC2547;   UVES;13700;2000;   3.886;   1.000;  -0.202;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  55;122.74812;-49.28442
08110139-4900089;NGC2547;   UVES; 5445;  73;   4.577;   0.061;  -0.046;   0.020; ; 173.750;   1.810;   0;   0.993;   0.002;  12.943;   0.400; 0.985; 0.003;  56;122.75579;-49.00247
08110201-4916095;NGC2547;   UVES; 5583; 234;   4.109;   0.092;   0.130;   0.115;<;  22.900;        ;   3;   0.993;   0.002;  54.322;   0.400;      ;      ;  57;122.75837;-49.26931
08110323-4900374;NGC2547;   UVES; 8350;  50;   3.800;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  58;122.76346;-49.01039
08110860-4900161;NGC2547;   UVES; 8750;  50;   3.700;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  59;122.78583;-49.00447
08112585-4912288;NGC2547;   UVES; 9150;  50;   3.700;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  60;122.85771;-49.20800
08072373-4902233;NGC2547;GIRAFFE; 4703;  37;   2.492;   0.080;   0.028;   0.031;<;  38.700;        ;   3;   1.021;   0.004;  48.044;   0.244;      ;      ;  61;121.84887;-49.03981
08072494-4901368;NGC2547;GIRAFFE; 5738; 200;   4.189;   0.136;   0.208;   0.038;<;  19.000;        ;   3;   0.989;   0.004;  79.122;   0.243;      ;      ;  62;121.85392;-49.02689
08072806-4901038;NGC2547;GIRAFFE; 4516; 123;   2.432;        ;  -0.257;   0.154;<;  25.500;        ;   3;   1.033;   0.004; 184.819;   0.243;      ;      ;  63;121.86692;-49.01772
08073009-4911229;NGC2547;GIRAFFE; 3607;    ;   2.880;        ;   0.203;        ; ; 130.600;        ;   0;   0.831;   0.017; 504.961;   2.387;      ;      ;  64;121.87537;-49.18969
08073022-4901579;NGC2547;GIRAFFE; 3369; 220;   3.779;        ;  -0.240;        ; ; 119.000;        ;   0;        ;        ;  19.670;   0.313; 0.169; 0.708;  65;121.87592;-49.03275
08073081-4901156;NGC2547;GIRAFFE; 5281; 158;   3.297;        ;  -0.359;   0.251; ;  37.600;        ;   0;   1.000;   0.005;  40.446;   0.259;      ;      ;  66;121.87837;-49.02100
08073081-4905422;NGC2547;GIRAFFE; 4849;  18;   2.670;   0.030;   0.004;   0.038;<;  37.500;        ;   3;   1.013;   0.003; 149.497;   0.241;      ;      ;  67;121.87837;-49.09506
08073400-4902576;NGC2547;GIRAFFE; 5108;    ;   2.466;        ;  -0.030;        ; ;  31.000;        ;   0;   1.020;   0.003;   0.728;   0.243;      ;      ;  68;121.89167;-49.04933
08073423-4858044;NGC2547;GIRAFFE; 3291;    ;   4.464;        ;  -1.702;        ; ;  59.100;        ;    ;   0.859;        ;  21.432;   0.529;      ;      ;  69;121.89262;-48.96789
08073463-4904107;NGC2547;GIRAFFE; 4366; 268;   2.740;        ;  -0.156;   0.101; ; 392.900;        ;   0;   0.965;   0.005;  60.000;   0.273; 0.072; 0.024;  70;121.89429;-49.06964
08073643-4922200;NGC2547;GIRAFFE; 4988;  63;   2.621;        ;  -0.250;   0.195; ;  33.100;        ;   0;   1.016;   0.004;  67.898;   0.245;      ;      ;  71;121.90179;-49.37222
08073784-4907170;NGC2547;GIRAFFE; 4957; 213;   2.733;        ;  -0.215;   0.244;<;  34.700;        ;   3;   1.008;   0.005;  14.781;   0.246;      ;      ;  72;121.90767;-49.12139
08073903-4915112;NGC2547;GIRAFFE; 4777;   2;   2.610;   0.125;  -0.124;   0.065; ;  62.867;   9.699;   0;   1.017;   0.005;  87.335;   0.243;      ;      ;  73;121.91262;-49.25311
08073999-4903023;NGC2547;GIRAFFE; 3531;   7;   3.395;        ;  -0.230;        ; ; 401.500;   8.533;   0;   0.867;   0.009;  20.462;   0.273; 0.073; 0.825;  74;121.91662;-49.05064
08074077-4927238;NGC2547;GIRAFFE; 3541;    ;   4.265;        ;  -0.121;        ; ; 198.300;        ;   0;   0.835;   0.017; 402.652;   1.500;      ;      ;  75;121.91987;-49.45661
08074101-4919554;NGC2547;GIRAFFE; 4405; 204;   2.764;        ;  -0.202;   0.180;<;  29.300;        ;   3;   1.045;   0.004; 125.069;   0.242;      ;      ;  76;121.92087;-49.33206
08074194-4908306;NGC2547;GIRAFFE; 3563;  32;   4.686;   0.065;  -0.250;        ; ; 102.750;  11.805;   0;   0.792;   0.014;  -8.164;   0.460; 0.100; 0.012;  77;121.92475;-49.14183
08074232-4907549;NGC2547;GIRAFFE; 4959; 137;   2.539;        ;  -0.426;   0.286;<;  28.200;        ;   3;   1.010;   0.007;  96.055;   0.259;      ;      ;  78;121.92633;-49.13192
08074563-4924438;NGC2547;GIRAFFE; 5107; 157;   2.644;        ;  -0.165;   0.132;<;  16.300;        ;   3;   1.025;   0.003;  50.940;   0.243;      ;      ;  79;121.94012;-49.41217
08074609-4915345;NGC2547;GIRAFFE; 3995; 140;   4.461;   0.158;   0.023;   0.183; ;  44.900;   2.965;   0;   0.859;   0.004;  13.079;   0.248; 0.985; 0.003;  80;121.94204;-49.25958
08074750-4911094;NGC2547;GIRAFFE; 4541;    ;   4.919;        ;   0.079;        ; ; 671.300;        ;    ;   0.821;        ;  17.329;   0.794; 0.269; 0.583;  81;121.94792;-49.18594
08074854-4900573;NGC2547;GIRAFFE; 4688; 109;   2.456;   0.192;  -0.162;   0.162;<;  23.800;        ;   3;   1.014;   0.003;  92.470;   0.242;      ;      ;  82;121.95225;-49.01592
08074892-4917421;NGC2547;GIRAFFE; 4875;  58;   3.322;   0.129;   0.256;   0.056;<;  33.200;        ;   3;   1.003;   0.003;  15.879;   0.240;      ;      ;  83;121.95383;-49.29503
08075006-4925445;NGC2547;GIRAFFE; 4636;    ;   2.660;        ;   0.125;        ; ;  69.800;   3.345;   0;   1.027;   0.004;  68.947;   0.241;      ;      ;  84;121.95858;-49.42903
08075034-4924122;NGC2547;GIRAFFE; 4914;    ;   3.447;        ;  -0.018;        ; ;        ;        ;    ;        ;        ; 404.820;   1.720;      ;      ;  85;121.95975;-49.40339
08075124-4926449;NGC2547;GIRAFFE; 4479; 138;   2.187;   0.189;   0.012;   0.002;<;  32.600;        ;   3;   1.026;   0.004;  77.159;   0.241;      ;      ;  86;121.96350;-49.44581
08075151-4919093;NGC2547;GIRAFFE; 3453;  52;   4.270;        ;  -0.250;        ; ; 114.600;        ;   0;   0.841;   0.015; 469.275;   2.063;      ;      ;  87;121.96462;-49.31925
08075394-4858450;NGC2547;GIRAFFE; 4983;  68;   2.717;        ;  -0.189;   0.090; ;  55.000;        ;   0;   1.014;   0.006;  64.093;   0.250;      ;      ;  88;121.97475;-48.97917
08075719-4910559;NGC2547;GIRAFFE; 5095;  23;   2.841;        ;  -0.173;   0.129;<;  22.600;        ;   3;   1.012;   0.004;  63.586;   0.243;      ;      ;  89;121.98829;-49.18219
08075918-4913102;NGC2547;GIRAFFE; 5087; 129;   2.977;        ;  -0.571;   0.236; ;  24.500;        ;   0;   1.002;   0.003; 100.804;   0.242;      ;      ;  90;121.99658;-49.21950
08075933-4910436;NGC2547;GIRAFFE; 4750;  70;   2.559;   0.136;  -0.049;   0.140;<;  34.300;        ;   3;   1.016;   0.005;  42.329;   0.243;      ;      ;  91;121.99721;-49.17878
08080263-4903144;NGC2547;GIRAFFE; 4601; 135;   2.282;        ;  -0.149;   0.123;<;  34.200;        ;   3;   1.033;   0.004;  61.628;   0.241;      ;      ;  92;122.01096;-49.05400
08080299-4925420;NGC2547;GIRAFFE; 5019; 120;   2.733;        ;  -0.137;   0.171;<;  21.200;        ;   3;   1.012;   0.003;   8.080;   0.242;      ;      ;  93;122.01246;-49.42833
08080444-4927511;NGC2547;GIRAFFE; 4626;  41;   2.359;   0.101;  -0.114;   0.035; ;  69.533;   5.325;   0;   1.019;   0.004;  69.031;   0.241;      ;      ;  94;122.01850;-49.46419
08080591-4906006;NGC2547;GIRAFFE; 5006; 137;   2.719;        ;  -0.240;   0.125;<;  32.000;        ;   3;   1.012;   0.003;  16.220;   0.242;      ;      ;  95;122.02462;-49.10017
08080644-4920336;NGC2547;GIRAFFE; 3416;    ;   4.240;        ;   0.247;        ; ; 211.900;        ;   0;   0.837;   0.016;  12.773;   0.476; 0.987; 0.002;  96;122.02683;-49.34267
08080675-4910331;NGC2547;GIRAFFE; 3292;    ;   3.271;        ;   0.128;        ; ; 236.400;        ;   0;   0.665;   0.018; 467.980;   5.058;      ;      ;  97;122.02812;-49.17586
08080817-4913590;NGC2547;GIRAFFE; 6167;  32;   3.877;   0.018;   0.156;   0.019;<;  23.900;        ;   3;   0.998;   0.002;   9.766;   0.243;      ;      ;  98;122.03404;-49.23306
08080969-4904154;NGC2547;GIRAFFE; 5217;  65;   3.214;        ;  -0.248;   0.156; ;  29.500;        ;   0;   1.003;   0.004;  21.659;   0.244;      ;      ;  99;122.04037;-49.07094
08081095-4917234;NGC2547;GIRAFFE; 4731;  29;   2.628;        ;  -0.196;   0.118;<;  12.100;        ;   3;   1.032;   0.003; 118.020;   0.241;      ;      ; 100;122.04562;-49.28983
