# 
# VizieR Astronomical Server vizier.cfa.harvard.edu
# Date: 2016-02-13T00:32:03 [V1.99+ (14-Oct-2013)]
# In case of problem, please report to:	cds-question@unistra.fr
# 
# 
# Coosys	J2000:	eq_FK5 J2000
# INFO	votable-version=1.99+ (14-Oct-2013)
# INFO	-ref=VIZ56be79032983
# INFO	-out.max=99999
# INFO	queryParameters=23
# -oc.form=dec
# -out.max=99999
# -order=I
# -out.src=J/AJ/149/119/table3
# -nav=cat:J/AJ/149/119&tab:{J/AJ/149/119/table3}&key:source=J/AJ/149/119&HTTPPRM:&&-ref=VIZ56be79032983&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=2MASS&-out=RAJ2000&-out=DEJ2000&-out=<HRV>&-out=e_<HRV>&-out=Nobs&-out=EW&-out=SpT&-out=K-3.6&-out=3.6-4.5&-out=F06&-out=2M&-ignore=2M=*&2M=2M&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/149/119/table3
# -c.eq=J2000
# -c.r=  2
# -c.u=arcmin
# -c.geom=r
# -source=J/AJ/149/119/table3
# -order=I
# -out=2MASS
# -out=RAJ2000
# -out=DEJ2000
# -out=<HRV>
# -out=e_<HRV>
# -out=Nobs
# -out=EW
# -out=SpT
# -out=K-3.6
# -out=3.6-4.5
# -out=F06
# -out=2M
# 
# RESOURCE=yCat_51490119
# Name: J/AJ/149/119
# Title: Radial velocities of stars in NGC 2264 (Tobin+, 2015)
# Table	J_AJ_149_119_table3:
# Name: J/AJ/149/119/table3
# Title: Velocity summary
# Column	2MASS	(A14)	Internal source name (HHMMSSs+DDMMSS, J2000)	[ucd=meta.id;meta.main]
# Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
# Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
# Column	<HRV>	(F7.2)	[-108/235] Mean Heliocentric Radial Velocity (1)	[ucd=spect.dopplerVeloc;stat.mean]
# Column	e_<HRV>	(F5.2)	Uncertainty in HRV	[ucd=stat.error]
# Column	Nobs	(I2)	[2/14] Number of observations (epochs) (2)	[ucd=meta.number]
# Column	EW	(F6.2)	? Lithium 6707{AA} Equivalent Width	[ucd=spect.line.eqWidth]
# Column	SpT	(F5.1)	[61/77.2]? Numerical spectral type (3)	[ucd=src.spType]
# Column	K-3.6	(F6.2)	[-23/22]? The Ks-[3.6] color index (4)	[ucd=phot.color;em.IR.K;em.IR.3-4um]
# Column	3.6-4.5	(F6.2)	[-22/22]? The [3.6]-[4.5] color index (4)	[ucd=phot.color;em.IR.3-4um;em.IR.4-8um]
# Column	F06	(I3)	Source from Furesz et al. 2006 (cat. J/ApJ/648/1090) within 1.5'' [NULL integer written as an empty string]	[ucd=meta.ref.url]
# Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
2MASS;RAJ2000;DEJ2000;<HRV>;e_<HRV>;Nobs;EW;SpT;K-3.6;3.6-4.5;F06;2M
0639201+095014;06 39 20.15;+09 50 14.5;79.71;0.01;2;-999;-999;N/A;N/A;0;2M
0639201+095034;06 39 20.13;+09 50 34.9;65.94;0.72;2;-999;-999;N/A;N/A;0;2M
0639206+095856;06 39 20.66;+09 58 56.4;-1.20;0.39;2;-999;-999;N/A;N/A;0;2M
0639211+093627;06 39 21.11;+09 36 27.9;0.09;0.34;2;-999;-999;N/A;N/A;0;2M
0639214+095949;06 39 21.42;+09 59 49.4;-14.85;0.06;2;-999;-999;N/A;N/A;0;2M
0639216+094507;06 39 21.62;+09 45 07.6;22.26;2.10;2;-999;-999;N/A;N/A;0;2M
0639217+095423;06 39 21.71;+09 54 23.2;51.59;0.14;2;-999;-999;N/A;N/A;0;2M
0639218+095559;06 39 21.88;+09 55 59.3;20.01;0.05;2;-999;-999;N/A;N/A;0;2M
0639220+093523;06 39 22.02;+09 35 23.7;77.90;0.14;2;-999;-999;N/A;N/A;0;2M
0639223+094321;06 39 22.33;+09 43 21.6;53.24;0.48;2;-999;-999;N/A;N/A;0;2M
0639224+094510;06 39 22.44;+09 45 10.6;23.42;0.95;2;-999;-999;N/A;N/A;0;2M
0639226+093038;06 39 22.60;+09 30 38.0;43.78;0.46;3;-999;-999;N/A;N/A;0;2M
0639226+095430;06 39 22.69;+09 54 30.7;4.30;0.88;7;-999;-999;N/A;N/A;0;2M
0639229+093523;06 39 22.93;+09 35 23.4;-27.28;0.19;6;-999;-999;N/A;N/A;1;2M
0639229+093616;06 39 22.94;+09 36 16.9;-0.68;0.09;7;-999;-999;N/A;N/A;1;2M
0639232+094008;06 39 23.26;+09 40 08.7;5.61;0.04;2;-999;-999;N/A;N/A;0;2M
0639232+094703;06 39 23.20;+09 47 03.6;29.55;0.08;2;-999;-999;N/A;N/A;0;2M
0639235+092055;06 39 23.56;+09 20 55.0;60.13;0.75;2;-999;-999;N/A;N/A;0;2M
0639239+094201;06 39 23.97;+09 42 01.7;66.55;0.18;5;-999;-999;N/A;N/A;1;2M
0639240+092550;06 39 24.01;+09 25 50.8;28.97;0.20;4;-999;-999;N/A;N/A;1;2M
0639240+095231;06 39 24.05;+09 52 31.4;98.19;0.65;2;-999;-999;N/A;N/A;0;2M
0639241+091805;06 39 24.15;+09 18 05.8;-34.26;0.16;4;-999;-999;N/A;N/A;1;2M
0639243+095619;06 39 24.32;+09 56 19.3;-29.75;0.32;6;-999;-999;N/A;N/A;1;2M
0639244+094903;06 39 24.42;+09 49 03.7;31.90;1.06;2;-999;-999;N/A;N/A;0;2M
0639245+095040;06 39 24.55;+09 50 40.2;70.09;0.11;5;-999;-999;N/A;N/A;1;2M
0639246+091721;06 39 24.68;+09 17 21.6;54.04;0.31;3;-999;-999;N/A;N/A;1;2M
0639246+092233;06 39 24.65;+09 22 33.2;3.18;0.10;7;-999;-999;N/A;N/A;1;2M
0639249+092207;06 39 24.97;+09 22 07.5;1.73;1.10;2;-999;-999;N/A;N/A;0;2M
0639253+092535;06 39 25.35;+09 25 35.7;20.35;0.03;2;-999;-999;N/A;N/A;0;2M
0639253+094314;06 39 25.36;+09 43 14.7;-22.56;0.01;2;-999;-999;N/A;N/A;0;2M
0639256+094253;06 39 25.64;+09 42 53.6;2.50;0.19;2;-999;-999;N/A;N/A;0;2M
0639258+093812;06 39 25.81;+09 38 12.4;1.76;0.35;2;-999;-999;N/A;N/A;0;2M
0639262+094110;06 39 26.26;+09 41 10.8;0.72;0.23;10;-999;-999;N/A;N/A;1;2M
0639264+094329;06 39 26.49;+09 43 29.8;-1.19;0.77;2;-999;-999;N/A;N/A;0;2M
0639266+093037;06 39 26.65;+09 30 37.9;12.79;0.03;2;-999;-999;N/A;N/A;1;2M
0639268+091921;06 39 26.80;+09 19 21.5;35.10;0.18;2;-999;-999;N/A;N/A;0;2M
0639269+094122;06 39 26.92;+09 41 22.0;-7.88;0.76;2;-999;-999;N/A;N/A;0;2M
0639275+092309;06 39 27.58;+09 23 09.2;19.15;0.14;6;-999;-999;N/A;N/A;1;2M
0639275+095100;06 39 27.59;+09 51 00.9;72.49;0.15;5;-999;-999;N/A;N/A;0;2M
0639280+093556;06 39 28.05;+09 35 56.2;72.99;0.13;2;-999;-999;N/A;N/A;0;2M
0639283+095358;06 39 28.35;+09 53 59.0;-14.29;0.14;4;-999;-999;N/A;N/A;1;2M
0639287+092640;06 39 28.72;+09 26 41.0;-21.70;0.81;6;-999;-999;N/A;N/A;1;2M
0639287+095459;06 39 28.73;+09 54 59.9;-40.19;0.17;2;-999;-999;N/A;N/A;0;2M
0639293+092058;06 39 29.36;+09 20 58.9;10.05;0.21;6;-999;-999;N/A;N/A;1;2M
0639293+094339;06 39 29.36;+09 43 39.8;0.36;0.26;2;-999;-999;N/A;N/A;0;2M
0639295+094813;06 39 29.59;+09 48 13.4;29.41;0.37;2;-999;-999;N/A;N/A;0;2M
0639303+092300;06 39 30.32;+09 23 00.0;93.97;0.11;4;-999;-999;N/A;N/A;1;2M
0639303+093337;06 39 30.38;+09 33 37.5;3.81;0.56;8;-999;-999;N/A;N/A;1;2M
0639304+094924;06 39 30.44;+09 49 24.1;-24.37;0.06;5;-999;-999;N/A;N/A;1;2M
0639305+092850;06 39 30.54;+09 28 50.1;45.90;0.25;2;-999;-999;N/A;N/A;0;2M
0639311+095330;06 39 31.14;+09 53 30.5;-16.24;0.24;4;-999;-999;N/A;N/A;1;2M
0639314+093037;06 39 31.45;+09 30 37.8;44.35;0.48;2;-999;-999;N/A;N/A;0;2M
0639316+094735;06 39 31.61;+09 47 35.5;-16.71;0.15;2;-999;-999;N/A;N/A;0;2M
0639322+094953;06 39 32.27;+09 49 53.0;65.38;0.75;2;-999;-999;N/A;N/A;0;2M
0639327+095103;06 39 32.78;+09 51 03.9;36.54;0.45;2;-999;-999;N/A;N/A;0;2M
0639329+095629;06 39 32.98;+09 56 29.4;8.88;0.17;7;-999;-999;N/A;N/A;1;2M
0639330+092720;06 39 33.01;+09 27 20.6;75.45;0.52;2;-999;-999;N/A;N/A;0;2M
0639332+094842;06 39 33.27;+09 48 42.3;29.28;0.33;2;-999;-999;N/A;N/A;0;2M
0639333+093011;06 39 33.33;+09 30 11.8;47.11;1.19;4;-999;-999;N/A;N/A;1;2M
0639333+095201;06 39 33.40;+09 52 01.7;2.87;0.76;8;-999;-999;N/A;N/A;0;2M
0639334+094728;06 39 33.41;+09 47 28.9;20.64;0.09;2;-999;-999;N/A;N/A;1;2M
0639335+095140;06 39 33.57;+09 51 40.5;11.23;0.36;9;-999;-999;N/A;N/A;1;2M
0639337+093331;06 39 33.72;+09 33 31.0;75.93;1.68;2;-999;-999;N/A;N/A;0;2M
0639339+092949;06 39 33.97;+09 29 50.0;72.69;1.00;2;-999;-999;N/A;N/A;0;2M
0639339+094920;06 39 33.99;+09 49 20.9;5.33;0.26;9;-999;-999;N/A;N/A;0;2M
0639342+094645;06 39 34.27;+09 46 45.0;-1.03;0.88;6;-999;-999;N/A;N/A;0;2M
0639344+095451;06 39 34.41;+09 54 51.3;4.77;0.18;8;-999;-999;N/A;N/A;1;2M
0639346+092440;06 39 34.67;+09 24 40.2;37.20;0.08;6;-999;-999;N/A;N/A;1;2M
0639347+094654;06 39 34.75;+09 46 54.2;-0.49;0.75;9;-999;-999;N/A;N/A;1;2M
0639349+093336;06 39 34.91;+09 33 36.1;40.70;1.69;3;-999;-999;N/A;N/A;0;2M
0639353+093232;06 39 35.34;+09 32 32.3;12.76;0.44;7;-999;-999;N/A;N/A;1;2M
0639360+092426;06 39 36.03;+09 24 26.2;-1.21;0.22;7;-999;-999;N/A;N/A;1;2M
0639360+094045;06 39 36.05;+09 40 45.3;-35.50;0.48;5;-999;-999;N/A;N/A;0;2M
0639363+095631;06 39 36.34;+09 56 31.2;234.07;0.48;2;-999;-999;N/A;N/A;0;2M
0639365+094138;06 39 36.54;+09 41 38.7;22.10;0.02;2;-999;-999;N/A;N/A;0;2M
0639373+092637;06 39 37.34;+09 26 37.5;24.09;0.16;3;-999;-999;N/A;N/A;1;2M
0639375+093131;06 39 37.58;+09 31 31.0;53.58;0.05;2;-999;-999;N/A;N/A;0;2M
0639381+095307;06 39 38.19;+09 53 07.9;1.93;1.39;2;-999;-999;N/A;N/A;0;2M
0639382+092837;06 39 38.27;+09 28 37.3;9.91;2.67;4;-999;-999;N/A;N/A;0;2M
0639386+094044;06 39 38.67;+09 40 44.1;36.32;0.72;2;-999;-999;N/A;N/A;1;2M
0639388+095151;06 39 38.84;+09 51 51.8;5.72;0.41;8;-999;-999;N/A;N/A;1;2M
0639396+094544;06 39 39.62;+09 45 44.3;28.30;0.08;5;-999;-999;N/A;N/A;1;2M
0639397+094812;06 39 39.74;+09 48 12.9;61.85;0.04;2;-999;-999;N/A;N/A;0;2M
0639402+091821;06 39 40.25;+09 18 21.8;-0.75;1.33;4;-999;-999;N/A;N/A;0;2M
0639403+092607;06 39 40.32;+09 26 07.4;-12.14;0.16;4;-999;-999;N/A;N/A;1;2M
0639414+094619;06 39 41.48;+09 46 19.7;3.74;0.44;10;-999;-999;N/A;N/A;1;2M
0639415+093440;06 39 41.57;+09 34 40.5;0.92;0.11;6;-999;-999;N/A;N/A;1;2M
0639417+094851;06 39 41.79;+09 48 51.4;23.09;0.69;2;-999;-999;N/A;N/A;0;2M
0639418+091804;06 39 41.88;+09 18 04.5;1.65;0.68;2;-999;-999;N/A;0.04;0;2M
0639418+100029;06 39 41.81;+10 00 29.9;47.50;1.93;2;-999;-999;N/A;N/A;0;2M
0639419+094719;06 39 41.97;+09 47 19.7;35.44;0.16;2;-999;-999;N/A;N/A;0;2M
0639419+095132;06 39 41.92;+09 51 32.3;21.89;1.23;2;-999;-999;N/A;N/A;0;2M
0639422+095631;06 39 42.24;+09 56 31.1;118.91;0.27;6;-999;-999;N/A;N/A;1;2M
0639425+095513;06 39 42.53;+09 55 13.3;8.74;0.15;2;-999;-999;N/A;N/A;0;2M
0639426+093151;06 39 42.65;+09 31 51.4;11.20;0.10;3;-999;-999;N/A;N/A;1;2M
0639426+095534;06 39 42.66;+09 55 34.5;8.26;0.10;2;-999;-999;N/A;N/A;0;2M
0639430+092601;06 39 43.07;+09 26 01.7;-0.31;0.96;8;-999;-999;N/A;N/A;0;2M
0639432+092519;06 39 43.26;+09 25 19.5;79.47;1.59;3;-999;-999;N/A;N/A;0;2M
0639433+093854;06 39 43.35;+09 38 54.3;3.48;0.57;2;-999;-999;N/A;N/A;0;2M
0639436+095745;06 39 43.65;+09 57 45.7;-18.96;0.09;2;-999;-999;0.29;0.01;0;2M
0639441+095403;06 39 44.16;+09 54 03.7;3.63;0.32;2;-999;-999;0.14;-0.06;0;2M
0639441+095704;06 39 44.19;+09 57 04.3;42.39;0.32;2;-999;-999;0.30;-0.17;0;2M
0639443+100055;06 39 44.37;+10 00 55.2;67.86;0.15;5;-999;-999;21.12;-20.97;1;2M
0639451+094642;06 39 45.18;+09 46 43.0;-84.91;0.13;5;-999;-999;0.06;0.01;0;2M
0639454+092439;06 39 45.44;+09 24 39.7;12.34;0.17;3;-999;-999;0.34;0.04;0;2M
0639460+095724;06 39 46.00;+09 57 24.6;-24.50;0.22;4;-999;-999;0.26;-0.01;1;2M
0639461+095803;06 39 46.12;+09 58 03.3;-30.73;0.23;4;-999;-999;0.02;-0.01;1;2M
0639462+094819;06 39 46.27;+09 48 19.8;-0.12;0.33;10;-999;-999;0.20;-0.03;1;2M
0639472+092418;06 39 47.24;+09 24 18.1;-29.16;2.11;2;-999;-999;-0.16;0.02;0;2M
0639477+092606;06 39 47.72;+09 26 06.7;12.57;0.29;7;-999;-999;0.02;0.02;1;2M
0639481+095905;06 39 48.20;+09 59 05.7;12.14;0.30;6;-999;-999;0.15;-0.06;0;2M
0639483+094852;06 39 48.36;+09 48 52.6;-11.61;0.09;4;-999;-999;-0.02;0.04;1;2M
0639488+094306;06 39 48.89;+09 43 06.2;34.72;0.07;4;-999;-999;0.05;0.02;1;2M
0639496+093322;06 39 49.60;+09 33 22.1;0.11;0.17;6;-999;-999;0.13;0.02;1;2M
0639497+095838;06 39 49.74;+09 58 38.8;41.25;0.36;2;-999;-999;N/A;0.03;0;2M
0639498+095621;06 39 49.83;+09 56 21.8;10.61;0.35;10;-999;-999;0.27;-0.03;1;2M
0639502+095817;06 39 50.22;+09 58 17.2;69.27;0.09;2;-999;-999;N/A;-0.07;0;2M
0639510+093632;06 39 51.10;+09 36 32.8;5.38;4.26;3;-999;-999;0.09;0.06;0;2M
0639523+091909;06 39 52.33;+09 19 09.5;13.67;0.15;8;-999;-999;0.23;0.00;1;2M
0639526+095831;06 39 52.65;+09 58 31.1;27.21;0.09;2;-999;-999;N/A;0.04;0;2M
0639527+095830;06 39 52.72;+09 58 30.8;27.08;0.84;2;-999;-999;N/A;0.04;0;2M
0639528+092807;06 39 52.87;+09 28 07.5;1.85;0.16;3;-999;-999;0.00;0.02;0;2M
0639532+094945;06 39 53.28;+09 49 45.8;2.57;2.38;2;-999;-999;N/A;-0.03;0;2M
0639552+095911;06 39 55.29;+09 59 11.3;-29.88;0.17;2;-999;-999;N/A;0.03;0;2M
0639557+093428;06 39 55.76;+09 34 28.5;45.48;0.16;4;-999;-999;0.11;-0.03;1;2M
0639560+095850;06 39 56.06;+09 58 50.1;38.12;0.01;2;-999;-999;N/A;-0.05;0;2M
0639561+093046;06 39 56.18;+09 30 46.2;7.23;0.23;9;-999;-999;0.03;0.04;1;2M
0639563+094331;06 39 56.39;+09 43 31.5;18.61;0.09;4;-999;-999;-0.01;0.01;1;2M
0639568+094425;06 39 56.83;+09 44 25.2;5.59;0.06;7;-999;-999;0.19;0.00;1;2M
0639571+091728;06 39 57.19;+09 17 28.9;-22.92;0.01;2;-999;-999;0.04;-0.02;0;2M
0639576+092323;06 39 57.65;+09 23 23.2;8.86;2.11;3;-999;-999;0.15;-0.01;0;2M
0639588+095845;06 39 58.80;+09 58 45.5;20.92;0.28;2;-999;-999;0.21;-0.07;0;2M
0639592+092724;06 39 59.24;+09 27 24.5;5.70;0.64;7;-999;-999;0.36;0.11;1;2M
0640009+092044;06 40 00.90;+09 20 44.4;28.64;0.29;2;-999;-999;N/A;0.02;0;2M
0640011+093533;06 40 01.12;+09 35 33.5;1.65;0.40;8;0.60;1.522;0.15;0.06;1;2M
0640012+094236;06 40 01.22;+09 42 36.5;-1.32;0.45;2;-999;-999;0.14;0.04;0;2M
0640012+094642;06 40 01.26;+09 46 42.5;-54.75;0.08;2;-999;-999;0.22;-0.01;0;2M
0640014+093105;06 40 01.44;+09 31 05.8;2.73;0.25;10;-999;-999;0.15;-0.03;1;2M
0640026+093524;06 40 02.67;+09 35 24.3;0.39;1.13;8;0.36;1.530;0.46;0.28;1;2M
0640031+095008;06 40 03.15;+09 50 08.6;72.96;0.28;6;-999;-999;0.17;-0.05;1;2M
0640032+095835;06 40 03.22;+09 58 35.8;36.04;3.48;2;-999;-999;0.34;0.04;0;2M
0640038+095812;06 40 03.85;+09 58 12.2;11.10;0.24;2;0.00;1.24;N/A;-0.01;0;2M
0640051+093350;06 40 05.11;+09 33 50.3;-50.98;0.21;5;-999;-999;0.02;0.04;1;2M
0640051+094618;06 40 05.17;+09 46 18.1;4.06;0.81;7;-999;-999;0.17;-0.01;0;2M
0640055+092226;06 40 05.53;+09 22 26.1;0.57;1.11;3;-999;-999;-21.16;0.26;1;2M
0640056+093549;06 40 05.66;+09 35 49.3;1.94;0.21;4;-999;-999;0.03;0.04;1;2M
0640059+095750;06 40 05.99;+09 57 51.0;2.80;0.29;6;0.66;1.1;0.15;0.04;0;2M
0640060+094942;06 40 06.01;+09 49 42.7;7.44;0.45;9;-999;-999;0.43;0.30;1;2M
0640063+093933;06 40 06.38;+09 39 33.6;0.23;0.22;7;-999;-999;0.09;-0.02;1;2M
0640066+092033;06 40 06.66;+09 20 33.3;-1.00;0.11;2;-999;-999;0.03;-0.01;1;2M
0640075+095653;06 40 07.59;+09 56 53.3;3.67;0.60;2;0.32;1.5;0.28;0.03;0;2M
0640076+094446;06 40 07.69;+09 44 46.6;87.69;0.06;3;-999;-999;0.18;-0.02;1;2M
0640083+095726;06 40 08.35;+09 57 26.2;-31.99;0.08;2;-999;-999;0.16;0.03;0;2M
0640084+095926;06 40 08.43;+09 59 26.0;-1.33;1.40;2;0.76;1.567;N/A;0.00;0;2M
0640086+095513;06 40 08.63;+09 55 13.9;37.91;0.13;2;-999;-999;0.20;0.09;0;2M
0640088+091909;06 40 08.83;+09 19 09.1;-22.14;0.75;6;-999;-999;0.11;0.14;1;2M
0640091+092058;06 40 09.17;+09 20 58.1;43.52;0.55;2;-999;-999;N/A;-0.02;0;2M
0640102+095009;06 40 10.28;+09 50 09.5;-78.02;2.59;2;-999;-999;0.33;0.07;0;2M
0640103+093442;06 40 10.35;+09 34 43.0;108.93;0.67;2;-999;-999;0.32;0.14;0;2M
0640105+091726;06 40 10.59;+09 17 26.9;62.83;1.70;2;-999;-999;N/A;0.03;0;2M
0640108+094007;06 40 10.89;+09 40 07.3;-0.11;0.97;7;-999;-999;0.17;0.08;1;2M
0640111+093805;06 40 11.13;+09 38 05.9;6.86;0.41;9;-999;-999;0.74;0.32;1;2M
0640114+094142;06 40 11.40;+09 41 42.8;28.54;0.10;5;-999;-999;0.13;-0.02;1;2M
0640115+095922;06 40 11.55;+09 59 22.9;53.26;0.41;2;-999;-999;N/A;-0.02;0;2M
0640120+101145;06 40 12.00;+10 11 45.7;1.76;1.95;2;-999;-999;N/A;N/A;0;2M
0640124+092813;06 40 12.50;+09 28 13.1;-13.75;0.22;5;-999;-999;0.06;-0.06;1;2M
0640124+094423;06 40 12.44;+09 44 23.1;4.24;0.81;7;-999;-999;0.20;0.03;1;2M
0640125+100540;06 40 12.58;+10 05 40.5;7.34;0.31;5;-999;-999;N/A;0.23;1;2M
0640127+095903;06 40 12.76;+09 59 03.3;39.42;0.08;2;-999;-999;N/A;-0.02;0;2M
0640130+092103;06 40 13.10;+09 21 03.5;9.65;0.49;2;-999;-999;0.12;-0.06;0;2M
0640134+091927;06 40 13.45;+09 19 27.6;-6.26;0.26;4;-999;-999;0.09;-0.05;1;2M
0640137+095206;06 40 13.77;+09 52 06.7;11.52;0.05;2;-999;-999;0.05;-0.06;0;2M
