#																			
#   VizieR Astronomical Server vizier.u-strasbg.fr																			
#    Date: 2019-08-16T00:14:18 [V1.99+ (14-Oct-2013)]																			
"#   In case of problem, please report to:"""	cds-question@unistra.fr																		
_RAJ2000	_DEJ2000	Seq	Name	SpType	B-V	VMAG	Plx	Smean	Smed	logRpHK	SimbadName	_RA	_DE						
deg	deg	 	 	 	mag	mag	mas	 	 	 	 	deg	deg	 #  	  typed ident   	       identifier        	"       coord1 (ICRS,J2000/2000)        "	   spec. type    	#not
-----------	-----------	----	---------	--------------------	--------------	---------------	------	-----------------	-----------------	--------------	----------------	---------	---------	----	----------------	-------------------------	---------------------------------------	-----------------	----
           	           	4023	Sol      	G2V                 	1.050000191	7.209309936	      	0.1662	0.166	-5.290038704	                	         							
0.1588336	-66.6831736	6841	HD224783 	G2IV/V              	0.551	3.230669852	14.66	0.173	                 	-4.782142542	HD224783        	0.15883	-66.68317	1	HD224783        	HD 224783                	00 00 38.12005 -66 40 59.4253          	G2IV/V           	0
0.1680003	-69.6759656	3914	HIP57    	K1 V                	0.863	5.920357844	33.89	0.377	                 	-4.583850383	HIP57           	0.168	-69.67597	2	HIP57           	HD 224789                	00 00 40.3200880868 -69 40 33.476427013	K1V              	0
0.1680003	-69.6759656	3915	HD224789 	K1V                 	0.863	5.920357844	33.89	                 	0.458	-4.481226526	HD224789        	0.168	-69.67597	3	HD224789        	HD 224789                	00 00 40.3200880868 -69 40 33.476427013	K1V              	0
0.1680003	-69.6759656	3916	HD224789 	K1V                 	0.863	5.920357844	33.89	0.412687589	0.409561445	-4.539642721	HD224789        	0.168	-69.67597	4	HD224789        	HD 224789                	00 00 40.3200880868 -69 40 33.476427013	K1V              	0
0.5430881	27.0817992	6158	HD224930 	G5VbFe-2            	0.670000076	5.323566435	82.17	0.18374895	0.1812	-4.84257574	HD224930        	0.54309	27.0818	5	HD224930        	* 85 Peg                 	00 02 10.3411392575 +27 04 54.476788744	G5VbFe-2         	0
0.5897622	11.0062375	2545	HIP184   	K0V                 	0.888	5.84743485	29.75	0.177	0.177	-5.075726639	HIP184          	0.58976	11.00624	6	HIP184          	HD 224983                	00 02 21.5429107877 +11 00 22.455038848	K0V              	0
0.5897622	11.0062375	2546	HD224983 	K0V                 	0.888	5.84743485	29.75	                 	0.224625	-4.913313302	HD224983        	0.58976	11.00624	7	HD224983        	HD 224983                	00 02 21.5429107877 +11 00 22.455038848	K0V              	0
0.9228539	-28.3961933	2210	HD225118 	G8.5V               	0.760000229	5.222258404	      	                 	0.46	-4.361122924	HD225118        	0.92285	-28.39619	8	HD225118        	HD 225118                	00 03 41.4849596460 -28 23 46.296040911	G8.5V            	0
0.9228539	-28.3961933	2211	HIP296   	G8.5 V              	0.78	5.254744147	25.29	0.325	                 	-4.572203881	HIP296          	0.92285	-28.39619	9	HIP296          	HD 225118                	00 03 41.4849596460 -28 23 46.296040911	G8.5V            	0
0.9228539	-28.3961933	2212	HD225118 	G8.5V               	0.78	5.254744147	25.29	0.339	                 	-4.548370739	HD225118        	0.92285	-28.39619	10	HD225118        	HD 225118                	00 03 41.4849596460 -28 23 46.296040911	G8.5V            	0
0.9723717	-28.3937808	34	HD225155 	G5IV                	0.741	4.212404457	20.44	                 	0.15	-5.066972874	HD225155        	0.97237	-28.39378	11	HD225155        	HD 225155                	00 03 53.3692041109 -28 23 37.611206936	G5IV             	0
1.2238528	34.6596669	35	HD225239 	G2V                 	0.629999638	3.144403484	25.52	0.163358974	0.16315	-4.894427753	HD225239        	1.22385	34.65967	12	HD225239        	HD 225239                	00 04 53.7246874433 +34 39 34.801234025	G3               	0
1.2346731	23.2696286	2599	HIP400   	G9V                 	0.755	5.778661195	39.06	0.1738125	0.1735	-4.957183113	HIP400          	1.23467	23.26963	13	HIP400          	HD 225261                	00 04 56.3215485240 +23 16 10.663316877	G9V              	0
1.2346731	23.2696286	2600	HD225261 	G9V                 	0.755	5.778661195	39.06	                 	0.175	-4.950423719	HD225261        	1.23467	23.26963	14	HD225261        	HD 225261                	00 04 56.3215485240 +23 16 10.663316877	G9V              	0
1.2446547	-70.2124422	3912	HD225299 	G5V                 	0.71	4.850978579	22.09	0.185	                 	-4.863972446	HD225299        	1.24465	-70.21244	15	HD225299        	HD 225299                	00 04 58.7171095568 -70 12 44.792507957	G5V              	0
1.2446547	-70.2124422	3913	HD225299 	G5V                 	0.71	4.850978579	22.09	                 	0.193	-4.83219148	HD225299        	1.24465	-70.21244	16	HD225299        	HD 225299                	00 04 58.7171095568 -70 12 44.792507957	G5V              	0
1.2609742	-36.0151194	2181	HD225297 	G0V                 	0.537	4.211131436	19.78	0.173	                 	-4.772334266	HD225297        	1.26097	-36.01512	17	HD225297        	HD 225297                	00 05 02.6337664413 -36 00 54.429819311	G0V              	0
1.2748042	57.7703339	3528	HD2      	F5                  	0.5	3.043054972	9.26	0.1327	0.1327	-5.015609992	HD2             	1.2748	57.77033	18	HD2             	HD 2                     	00 05 05.9530237119 +57 46 13.202432438	F5               	0
1.2812306	-52.1517392	4161	HD23     	G0V                 	0.577	4.421989505	23.9	0.193	                 	-4.713806338	HD23            	1.28123	-52.15174	19	HD23            	HD 23                    	00 05 07.4953031215 -52 09 06.261375024	G0V              	0
1.2812306	-52.1517392	4162	HD23     	G0V                 	0.577	4.421989505	23.9	                 	0.173	-4.801457545	HD23            	1.28123	-52.15174	20	HD23            	HD 23                    	00 05 07.4953031215 -52 09 06.261375024	G0V              	0
1.2884722	30.3290286	2604	HD4      	F0                  	0.400000095	1.99238586	6.99	0.157583333	0.16285	-4.76250652	HD4             	1.28847	30.32903	21	HD4             	HD 4                     	00 05 09.2333464022 +30 19 44.503289025	F0               	0
1.2906581	45.2290303	3333	HD3      	A0Vn_lB             	0.059999943	0.560576512	5.89	0.196	0.196	              	HD3             	1.29066	45.22903	22	HD3             	HD 3                     	00 05 09.7579226124 +45 13 44.508863141	A0Vn_lB          	0
1.2908133	-62.8452206	4107	HD24     	G0V                 	0.593	3.909074322	14.25	0.329	                 	-4.376702581	HD24            	1.29081	-62.84522	23	HD24            	HD 24                    	00 05 09.7951860853 -62 50 42.793913183	G0V              	0
1.2924297	2.39721	2530	HD5      	G2/3V               	0.620000839	3.995376199	11.51	0.20705	0.20705	-4.697382948	HD5             	1.29243	2.39721	24	HD5             	HD 5                     	00 05 10.1831039535 +02 23 49.956186390	G2/3V            	0
1.2953717	45.7865667	6159	HIP428   	tmp                 	1.472	9.647097017	86.98	                 	1.529142857	-4.63411166	HIP428          	1.29537	45.78657	25	HIP428          	BD+44 4548               	00 05 10.8891772602 +45 47 11.639549811	M2Ve             	0
1.2953717	45.7865667	6160	HIP428   	M2Ve                	1.472	9.647097017	86.98	1.7894375	1.8055	-4.559278959	HIP428          	1.29537	45.78657	26	HIP428          	BD+44 4548               	00 05 10.8891772602 +45 47 11.639549811	M2Ve             	0
1.3041889	35.5710122	36	HD17     	A2                  	0.168999672	1.925965749	10.28	0.163	0.163	-5.410868791	HD17            	1.30419	35.57101	27	HD17            	HD 17                    	00 05 13.0053553170 +35 34 15.644156465	A2               	0
1.3237031	-67.8325906	3920	HD55     	K4.5V               	1.084000587	7.416626829	61.14	0.1022	0.1022	-5.75190103	HD55            	1.3237	-67.83259	28	HD55            	HD 55                    	00 05 17.6887259610 -67 49 57.325632218	K4.5V            	0
1.3237031	-67.8325906	3921	HD55     	K4.5V               	1.076	7.468705104	62.48	0.318412543	0.320531914	-4.916030948	HD55            	1.3237	-67.83259	29	HD55            	HD 55                    	00 05 17.6887259610 -67 49 57.325632218	K4.5V            	0
1.3237031	-67.8325906	3922	HD55     	K4.5V               	1.076	7.468705104	62.48	                 	0.454	-4.733968185	HD55            	1.3237	-67.83259	30	HD55            	HD 55                    	00 05 17.6887259610 -67 49 57.325632218	K4.5V            	0
1.3237031	-67.8325906	3923	HIP436   	K4.5 V              	1.076	7.468705104	62.48	0.338	                 	-4.887395786	HIP436          	1.3237	-67.83259	31	HIP436          	HD 55                    	00 05 17.6887259610 -67 49 57.325632218	K4.5V            	0
1.3517825	-37.3573622	6147	HIP439   	M1.5                	1.462	10.36230436	229.33	0.4515	0.4515	-5.194919858	HIP439          	1.35178	-37.35736	32	HIP439          	HD 225213                	00 05 24.4278018131 -37 21 26.504223709	M2V              	0
1.3517825	-37.3573622	6148	GJ1      	                    	1.46	10.37460086	      	0.352610138	0.347306309	-5.326447783	GJ1             	1.35178	-37.35736	33	GJ1             	HD 225213                	00 05 24.4278018131 -37 21 26.504223709	M2V              	0
1.3517825	-37.3573622	6149	HD225213 	M1.5                	1.462	10.36230436	229.33	                 	0.369621622	-5.296644865	HD225213        	1.35178	-37.35736	34	HD225213        	HD 225213                	00 05 24.4278018131 -37 21 26.504223709	M2V              	0
1.3710339	34.1057117	6527	HD39     	F8                  	0.510000229	2.894186047	10.3	0.1675	0.1675	-4.782774898	HD39            	1.37103	34.10571	35	HD39            	HD 39                    	00 05 29.0481326351 +34 06 20.561817720	F8               	0
1.420845	45.8103758	552	HD38B    	M0.5V               	1.41	7.8496478	85.1	                 	1.7297	-4.499380346	HD38B           	1.42084	45.81038	36	HD38B           	HD 38B                   	00 05 41.0028191882 +45 48 37.353508088	M0.5V            	0
1.420845	45.8103758	553	GJ4B     	tmp                 	1.41	7.8496478	85.1	1.820833333	1.8165	-4.477382983	GJ4B            	1.42084	45.81038	37	GJ4B            	HD 38B                   	00 05 41.0028191882 +45 48 37.353508088	M0.5V            	0
1.4209161	45.8120853	5818	HIP473   	K6V+M0.5V           	1.41	7.8496478	85.1	1.646666667	1.6395	-4.523484898	HIP473          	1.42092	45.81209	38	HIP473          	HD 38                    	00 05 41.01985 +45 48 43.5072          	K6V+M0.5V        	0
1.4209244	45.8120958	6469	HD38A    	K6V                 	1.41	7.8496478	85.1	                 	1.757666667	-4.492170487	HD38A           	1.42092	45.8121	39	HD38A           	HD 38A                   	00 05 41.0218876465 +45 48 43.545210886	K6V              	0
1.4689372	-41.7530683	4184	HIP490   	G0V                 	0.595	4.486631965	24.85	0.336714286	0.34	-4.359439725	HIP490          	1.46894	-41.75307	40	HIP490          	HD 105                   	00 05 52.5449273706 -41 45 11.046016405	G0V              	0
1.4689372	-41.7530683	4185	HD105    	G0V                 	0.595	4.486631965	24.85	0.363	                 	-4.322194959	HD105           	1.46894	-41.75307	41	HD105           	HD 105                   	00 05 52.5449273706 -41 45 11.046016405	G0V              	0
1.4689372	-41.7530683	4186	HD105    	G0V                 	0.595	4.486631965	24.85	                 	0.36875	-4.313362287	HD105           	1.46894	-41.75307	42	HD105           	HD 105                   	00 05 52.5449273706 -41 45 11.046016405	G0V              	0
1.5658922	58.4367281	5396	HD123    	G3V+G8V             	0.680000305	4.270064687	46.56	0.277244	0.2771	-4.560814644	HD123           	1.56589	58.43673	43	HD123           	HD 123                   	00 06 15.81412 +58 26 12.2207          	G3V+G8V          	0
1.5798978	-49.0751894	6528	HIP522   	F7 V                	0.519	3.655323035	39	0.171	                 	-4.770364967	HIP522          	1.5799	-49.07519	44	HIP522          	HD 142                   	00 06 19.17544 -49 04 30.6817          	F7V              	1
1.6532669	29.0215028	2602	HD166    	K0V                 	0.75	5.435580335	72.63	0.477646316	0.4763	-4.33186356	HD166           	1.65327	29.0215	45	HD166           	HD 166                   	00 06 36.7840943605 +29 01 17.410390108	G8               	1
1.6532669	29.0215028	2603	HD166    	K0V                 	0.752	5.386019295	72.98	                 	0.436923077	-4.379290902	HD166           	1.65327	29.0215	46	HD166           	HD 166                   	00 06 36.7840943605 +29 01 17.410390108	G8               	1
1.6799883	-7.5380622	6512	GJ1002   	                    	1.95	15.41189802	      	1.773496209	1.664380602	-5.434182734	GJ1002          	1.67999	-7.53806	47	GJ1002          	G 158-27                 	00 06 43.1972293497 -07 32 17.024270968	M5.5V            	0
1.8855908	-23.8187217	2216	HIP616   	G9.5V               	0.798	6.139931656	30.76	0.178875	0.179	-4.975617484	HIP616          	1.88559	-23.81872	48	HIP616          	HD 283                   	00 07 32.5418081805 -23 49 07.398024948	G9.5V            	0
1.8855908	-23.8187217	2217	HIP616   	G9.5 V              	0.798	6.139931656	30.76	0.162	                 	-5.053993081	HIP616          	1.88559	-23.81872	49	HIP616          	HD 283                   	00 07 32.5418081805 -23 49 07.398024948	G9.5V            	0
1.8855908	-23.8187217	2218	HD283    	G9.5V               	0.798	6.139931656	30.76	                 	0.193857143	-4.917075318	HD283           	1.88559	-23.81872	50	HD283           	HD 283                   	00 07 32.5418081805 -23 49 07.398024948	G9.5V            	0
2.0681742	-14.8244919	2285	HD361    	G1V                 	0.624	4.832342813	36.18	                 	0.195	-4.74504376	HD361           	2.06817	-14.82449	51	HD361           	HD 361                   	00 08 16.3618204956 -14 49 28.170560593	G1V              	0
2.0681742	-14.8244919	2286	HIP669   	G1 V                	0.624	4.832342813	36.18	0.188	                 	-4.772916856	HIP669          	2.06817	-14.82449	52	HIP669          	HD 361                   	00 08 16.3618204956 -14 49 28.170560593	G1V              	0
2.0681742	-14.8244919	2287	HD361    	G1V                 	0.624	4.832342813	36.18	0.165071657	0.164533815	-4.882052453	HD361           	2.06817	-14.82449	53	HD361           	HD 361                   	00 08 16.3618204956 -14 49 28.170560593	G1V              	0
2.1072733	6.6168022	2537	HD377    	G2V                 	0.626	4.592689947	25.15	                 	0.365473684	-4.346566101	HD377           	2.10727	6.6168	54	HD377           	HD 377                   	00 08 25.7456097412 +06 37 00.488182642	G2V              	0
2.1072733	6.6168022	2538	HIP682   	G2V                 	0.626	4.592689947	25.15	0.377111111	0.377	-4.329236471	HIP682          	2.10727	6.6168	55	HIP682          	HD 377                   	00 08 25.7456097412 +06 37 00.488182642	G2V              	0
2.1186083	34.9345431	37	HD375    	F8                  	0.606	2.932435557	12.72	                 	0.1655	-4.862211258	HD375           	2.11861	34.93454	56	HD375           	HD 375                   	00 08 28.4659693089 +34 56 04.354709814	F8               	0
2.1705772	36.6271247	5397	HD400    	F8IV                	0.504	3.614344618	30.26	                 	0.174777778	-4.742394161	HD400           	2.17058	36.62712	57	HD400           	HD 400                   	00 08 40.9385088178 +36 37 37.648934145	F8IV             	0
2.1705772	36.6271247	5398	HD400    	F8IV                	0.494999886	3.646163313	30.82	0.151211111	0.1524	-4.862134906	HD400           	2.17058	36.62712	58	HD400           	HD 400                   	00 08 40.9385088178 +36 37 37.648934145	F8IV             	0
2.1705772	36.6271247	5399	HIP699   	F8IV                	0.504	3.614344618	30.26	0.166	0.166	-4.787148796	HIP699          	2.17058	36.62712	59	HIP699          	HD 400                   	00 08 40.9385088178 +36 37 37.648934145	F8IV             	0
2.2486597	-39.7371597	4188	HD457    	G0V                 	0.62	4.022741863	18.22	                 	0.152	-4.950749458	HD457           	2.24866	-39.73716	60	HD457           	HD 457                   	00 08 59.6783302518 -39 44 13.775322964	G0V              	0
2.2618597	9.8499672	2543	HD449    	G5                  	0.714	3.677658423	10.46	                 	0.171	-4.929630076	HD449           	2.26186	9.84997	61	HD449           	HD 449                   	00 09 02.8463286763 +09 50 59.882239287	G5               	0
2.2945217	59.1497811	720	HD432    	F2III               	0.339999914	1.145502475	59.58	0.3114	0.3112	-4.269311386	HD432           	2.29452	59.14978	62	HD432           	* bet Cas                	00 09 10.68518 +59 08 59.2120          	F2III            	0
2.2945217	59.1497811	744	HD432    	F2III               	0.339999914	1.145502475	59.58	0.3114	0.3112	-4.269311386	HD432           	2.29452	59.14978	63	HD432           	* bet Cas                	00 09 10.68518 +59 08 59.2120          	F2III            	0
2.331015	17.5339211	2562	HD483    	G2III               	0.644	3.495535148	19.28	                 	0.254	-4.580516716	HD483           	2.33101	17.53392	64	HD483           	HD 483                   	00 09 19.4435950774 +17 32 02.116374071	G2III            	0
2.463735	8.4533031	6529	HD531B   	G7V                 	0.716	4.40297039	14.21	                 	0.4255	-4.354179788	HD531B          	2.46373	8.4533	65	HD531B          	HD 531B                  	00 09 51.2964180134 +08 27 11.890933130	G7V              	0
2.4652	8.4531694	38	HD531A   	G6V                 	0.716	4.40297039	14.21	                 	0.4555	-4.318077442	HD531A          	2.4652	8.45317	66	HD531A          	HD 531A                  	00 09 51.6489707938 +08 27 11.400187490	G6V              	0
2.4652017	8.4531692	6847	HIP795   	G6V+G7V             	0.716	4.40297039	14.21	0.448583333	0.4465	-4.328596564	HIP795          	2.4652	8.45317	67	HIP795          	HD 531                   	00 09 51.64843 +08 27 11.4091          	G6V+G7V          	0
2.4700919	-50.267825	4163	HD564    	G2/G3V              	0.595	4.690789246	18.8	0.194	                 	-4.724367969	HD564           	2.47009	-50.26782	68	HD564           	HD 564                   	00 09 52.8220777699 -50 16 04.169771901	G2/3V            	0
2.8160456	-15.4679836	6883	HD693    	F8VFe-0.8CH-0.5     	0.490000248	3.525264923	53.34	0.148541667	0.1497	-4.877349291	HD693           	2.81605	-15.46798	69	HD693           	* 6 Cet                  	00 11 15.8508998160 -15 28 04.740699873	F8VFe-0.8CH-0.5  	0
2.8160456	-15.4679836	6884	HIP910   	F8 V Fe-0.8 CH-0.5  	0.487	3.508919685	52.94	0.18	                 	-4.707877633	HIP910          	2.81605	-15.46798	70	HIP910          	* 6 Cet                  	00 11 15.8508998160 -15 28 04.740699873	F8VFe-0.8CH-0.5  	0
2.8382075	58.34992	39	HIP916   	tmp                 	1.254	7.26273274	35.69	                 	1.0502	-4.53880649	HIP916          	2.83821	58.34992	71	HIP916          	Ross 310                 	00 11 21.1698156804 +58 20 59.712406313	K7               	0
2.8434892	30.4495761	2605	HD691    	K0V                 	0.755	5.288040528	29.35	                 	0.5905	-4.22796475	HD691           	2.84349	30.44958	72	HD691           	V* V344 And              	00 11 22.4373731017 +30 26 58.474326254	K0V              	0
2.8434892	30.4495761	2606	HIP919   	K0V                 	0.755	5.288040528	29.35	0.446125	0.4465	-4.371178854	HIP919          	2.84349	30.44958	73	HIP919          	V* V344 And              	00 11 22.4373731017 +30 26 58.474326254	K0V              	0
2.8991422	-57.47255	4119	HIP934   	K1 V                	0.891	6.233502665	27.46	0.338	                 	-4.675514915	HIP934          	2.89914	-57.47255	74	HIP934          	HD 750                   	00 11 35.7941487563 -57 28 21.180059648	K1V              	0
2.9235289	-39.2299467	4189	HIP948   	K5 V                	1.071	7.243192795	29.15	0.205	                 	-5.170851159	HIP948          	2.92353	-39.22995	75	HIP948          	CD-39 31                 	00 11 41.6469201482 -39 13 47.808380044	K5V              	0
2.93342	-35.13312	40	HIP950   	F5 V                	0.459	3.5466967	45.85	0.192	                 	-4.641165582	HIP950          	2.93342	-35.13312	76	HIP950          	* tet Scl                	00 11 44.0207940487 -35 07 59.231973741	F5V              	0
3.0540053	-27.7845389	2188	HD798    	F5V                 	0.448	3.208345037	9.81	                 	0.157	-4.811211843	HD798           	3.05401	-27.78454	77	HD798           	HD 798                   	00 12 12.9612468012 -27 47 04.339893089	F5V              	0
3.1180586	20.2343478	2563	HD804    	G5                  	0.669	4.617889045	19.39	                 	0.15575	-4.968995458	HD804           	3.11806	20.23435	78	HD804           	HD 804                   	00 12 28.3340590163 +20 14 03.652225321	G5               	0
3.2093719	-57.91261	4117	HD870    	K0V                 	0.775	5.678942622	49.18	0.267	                 	-4.682416362	HD870           	3.20937	-57.91261	79	HD870           	HD 870                   	00 12 50.2492935017 -57 54 45.395525654	K0V              	0
3.2093719	-57.91261	4118	HIP1031  	K0 V                	0.775	5.678942622	49.18	0.214	                 	-4.824482161	HIP1031         	3.20937	-57.91261	80	HIP1031         	HD 870                   	00 12 50.2492935017 -57 54 45.395525654	K0V              	0
3.2607206	-45.1767569	4178	HIP1044  	K6 V (k)            	1.308	7.936663469	27.5	0.896	                 	-4.675809583	HIP1044         	3.26072	-45.17676	81	HIP1044         	CD-45 35                 	00 13 02.5729191166 -45 10 36.325405706	K6Vk:            	0
3.2882086	20.38244	6394	HIP1055  	tmp                 	1.36	7.396222905	24.96	                 	0.819571429	-4.779665937	HIP1055         	3.28821	20.38244	82	HIP1055         	BD+19 20                 	00 13 09.1700603575 +20 22 56.784381318	K7V              	0
3.3784983	41.0353697	41	HD905    	F0IV                	0.31000042	3.005622922	28.65	0.233233333	0.2329	-4.461797164	HD905           	3.3785	41.03537	83	HD905           	* 23 And                 	00 13 30.8396229907 +41 02 07.331507758	F0IV             	0
3.3788397	-40.3582658	4187	HIP1085  	K2+ V (k)           	0.913	6.435606274	30	0.58	                 	-4.420651877	HIP1085         	3.37884	-40.35827	84	HIP1085         	HD 924                   	00 13 30.9215465619 -40 21 29.756525320	K2+Vk:           	0
3.5186608	-11.311585	42	HD967    	G5                  	0.645	5.23190849	23.68	0.128362601	0.128410778	-5.14897822	HD967           	3.51866	-11.31158	85	HD967           	HD 967                   	00 14 04.4786001592 -11 18 41.705975952	G6wF7            	0
3.5427211	-7.199115	2304	HD984    	F7V                 	0.521	3.998292261	21.66	                 	0.325	-4.326669369	HD984           	3.54272	-7.19911	86	HD984           	HD 984                   	00 14 10.2530723028 -07 11 56.814225050	F7V              	0
3.5427211	-7.199115	2305	HIP1134  	F7V                 	0.521	3.998292261	21.66	0.307	0.307	-4.360494284	HIP1134         	3.54272	-7.19911	87	HIP1134         	HD 984                   	00 14 10.2530723028 -07 11 56.814225050	F7V              	0
3.5841633	-27.5314153	2193	HD1002   	G5V                 	0.64	3.949979414	20.23	                 	0.143	-5.02671779	HD1002          	3.58416	-27.53142	88	HD1002          	HD 1002                  	00 14 20.1991860621 -27 31 53.095351996	G5V              	0
3.7451675	8.820965	6353	HD1061   	F0                  	0.309999943	1.336204805	12.86	0.6356	0.63515	-3.865434541	HD1061          	3.74517	8.82096	89	HD1061          	* 35 Psc                 	00 14 58.8404914091 +08 49 15.459098289	F0               	0
3.7693103	-68.5301	3917	HD1108   	G6V                 	0.695	5.369177412	22.9	0.199	                 	-4.795263152	HD1108          	3.76931	-68.5301	90	HD1108          	HD 1108                  	00 15 04.6344914621 -68 31 48.360090391	G6V              	0
4.0482833	30.5325786	2601	HIP1294  	tmp                 	0.965	5.682897881	23.91	                 	0.405285714	-4.663637345	HIP1294         	4.04828	30.53258	91	HIP1294         	HD 1179                  	00 16 11.5879819797 +30 31 57.283367957	K4V              	0
4.0528297	-79.8511792	6848	HD1237   	G8V                 	0.749	5.360211934	56.76	                 	0.458	-4.351188162	HD1237          	4.05283	-79.85118	92	HD1237          	HD 1237                  	00 16 12.6791488703 -79 51 04.244738563	G8V              	1
4.0528297	-79.8511792	6849	HIP1292  	G8.5 V (k)          	0.749	5.360211934	56.76	0.354	                 	-4.490113059	HIP1292         	4.05283	-79.85118	93	HIP1292         	HD 1237                  	00 16 12.6791488703 -79 51 04.244738563	G8V              	1
4.0528297	-79.8511792	6850	HD1237   	tmp                 	0.749	5.360211934	56.76	0.391	                 	-4.435456042	HD1237          	4.05283	-79.85118	94	HD1237          	HD 1237                  	00 16 12.6791488703 -79 51 04.244738563	G8V              	1
4.0977675	-22.5879789	43	HD1205   	G3V                 	0.679999828	3.47971598	      	                 	0.149357143	-5.017221812	HD1205          	4.09777	-22.58798	95	HD1205          	HD 1205                  	00 16 23.4641768067 -22 35 16.723639017	G3V              	0
4.2245783	-52.6511231	44	HIP1349  	G5 V Fe-1.2 CH-0.9  	0.655	5.029948904	43.45	0.201	                 	-4.750329906	HIP1349         	4.22458	-52.65112	96	HIP1349         	HD 1273                  	00 16 53.8987833648 -52 39 04.042533334	G5VFe-1.2CH-0.9  	0
4.2765578	40.9482969	3310	HIP1368  	tmp                 	1.37	8.110954703	66.71	                 	1.8035	-4.431294678	HIP1368         	4.27656	40.9483	97	HIP1368         	BD+40 45                 	00 17 06.3738703666 +40 56 53.869185832	K7               	0
4.2765578	40.9482969	3311	HIP1368  	M0.5V               	1.37	8.110954703	66.71	1.979888889	2.019	-4.380710288	HIP1368         	4.27656	40.9483	98	HIP1368         	BD+40 45                 	00 17 06.3738703666 +40 56 53.869185832	K7               	0
4.3188631	-43.8527333	4179	HD1320   	G2V                 	0.651	5.142403475	27.32	0.184	                 	-4.81337981	HD1320          	4.31886	-43.85273	99	HD1320          	HD 1320                  	00 17 16.5271210373 -43 51 09.839586322	G2V              	0
4.3188631	-43.8527333	4180	HD1320   	G2V                 	0.651	5.142403475	27.32	0.131550842	0.130951152	-5.13045781	HD1320          	4.31886	-43.85273	100	HD1320          	HD 1320                  	00 17 16.5271210373 -43 51 09.839586322	G2V              	0
4.3188631	-43.8527333	4181	HIP1382  	G2 V                	0.651	5.142403475	27.32	0.205	                 	-4.732352681	HIP1382         	4.31886	-43.85273	101	HIP1382         	HD 1320                  	00 17 16.5271210373 -43 51 09.839586322	G2V              	0
