#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-02-04T00:53:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56b2a0a85653	
#INFO	-out.max=999999	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=999999
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/106/1059&tab:{J/AJ/106/1059/table1}&key:source=J/AJ/106/1059/table1&HTTPPRM:&&-ref=VIZ56b2a0a85653&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/AJ/106/1059/table1
#-order=I
#-out=fgk
#-out=name
#-out=Sp
#-out=(B-V)0
#-out=u_(B-V)0
#-out=Teff
#-out=l_vsini
#-out=vsini
#-out=u_vsini
#-out=n_vsini
#-out.all=2
#-out=log(RHalpha)
#-out=log(R8542)
#-out=W7699
#-out=W6717
#-out=n_W6717
#-out=l_W6708
#-out=W6708
#-out=u_W6708
#-out=n_W6708
#-out=q
#-out=l_log(N(Li))
#-out=log(N(Li))
#-out=u_log(N(Li))
#-out.all=2
#

#RESOURCE=yCat_51061059
#Name: J/AJ/106/1059
#Title: Lithium in the Pleiades (Soderblom+, 1993)
#Table	J_AJ_106_1059_table1:
#Name: J/AJ/106/1059/table1
#Title: Observations of Lithium in Pleiades F, G, and K dwarfs
#Column	fgk	(a4)	fgk number from Soderblom et al. (1993ApJS...85..315S) (hereafter SSHJ)	[ucd=meta.id]
#Column	name	(a4)	Hertzsprung (H II) designation. A "P" prefix denotes a Pels star.	[ucd=meta.id;meta.main]
#Column	Sp	(a6)	Spectral type	[ucd=src.spType]
#Column	(B-V)0	(F6.3)	Dereddened (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	u_(B-V)0	(A1)	Uncertainty flag on (B-V)0	[ucd=meta.code.error]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	l_vsini	(A1)	Limit flag on vsini	[ucd=meta.code.error]
#Column	vsini	(F5.1)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	u_vsini	(A1)	uncertainty flag on vsini	[ucd=meta.code.error]
#Column	n_vsini	(A1)	[S ] 'S' indicating a double-lined spectroscopic binary whose vsini values are given in table2 of SSHJ (SB2).	[ucd=meta.note]
#Column	log(RHalpha)	(F5.2)	[]? Ratio of the Halpha flux to the stellar bolometric flux, log R(Halpha) from SSHJ	[ucd=phot.flux;arith.ratio]
#Column	log(R8542)	(F5.2)	[]? Ratio of the 8542 A Ca II line flux to the stellar bolometric flux, logR(8542) from SSHJ	[ucd=phot.flux;arith.ratio]
#Column	W7699	(F4.1)	[]? Equivalent width of K I 7699A line	[ucd=spect.line.eqWidth]
#Column	W6717	(F4.1)	[]? Equivalent width of Ca I 6717 A line	[ucd=spect.line.eqWidth]
#Column	n_W6717	(A1)	Note on W6717. See note (1)	[ucd=meta.note]
#Column	l_W6708	(A1)	Limit flag on W6708	[ucd=meta.code.error]
#Column	W6708	(F4.1)	Equivalent width of Li I 6708 A line, corrected for Fe I 6707.441.	[ucd=spect.line.eqWidth]
#Column	u_W6708	(A1)	Uncertainty flag on W6708	[ucd=meta.code.error]
#Column	n_W6708	(A1)	Note on W6708. See note (1)	[ucd=meta.note]
#Column	q	(a6)	Source and quality code (2)	[ucd=meta.code.qual]
#Column	l_log(N(Li))	(A1)	Limiting character for lithium abundance	[ucd=meta.code.error]
#Column	log(N(Li))	(F5.2)	Abundance of lithium (scale logN(H)=12)	[ucd=phys.abund]
#Column	u_log(N(Li))	(A1)	Uncertainty flag on log(N(Li))	[ucd=meta.code.error]
fgk;name;Sp;(B-V)0;u_(B-V)0;Teff;l_vsini;vsini;u_vsini;n_vsini;log(RHalpha);log(R8542);W7699;W6717;n_W6717;l_W6708;W6708;u_W6708;n_W6708;q;l_log(N(Li));log(N(Li));u_log(N(Li))
g113 ; 1117 ; G6V    ;  0.682 ;   ; 5580 ;   ;       ;   ; S ;       ;       ; 21.7 ; 16.2 ;   ;   ; 15.9 ;   ;   ; a      ;   ;  2.84 ; 
g114 ; 1514 ; G5V    ;  0.609 ;   ; 5860 ;   ;  15.0 ;   ;   ; -4.79 ; -4.68 ; 19.0 ; 14.4 ;   ;   ; 16.1 ;   ;   ; b      ;   ;  3.13 ; 
g116 ; 1776 ; G5V    ;  0.680 ;   ; 5580 ;   ;  10.0 ;   ;   ; -4.63 ; -4.57 ; 19.5 ; 14.2 ;   ;   ; 14.0 ;   ;   ; a      ;   ;  2.72 ; 
g117 ; 2341 ; G4V    ;  0.672 ;   ; 5620 ; < ;   7.0 ;   ;   ;       ;       ; 17.3 ; 16.2 ;   ;   ; 14.1 ;   ;   ; a      ;   ;  2.77 ; 
g118 ; 2644 ;        ;  0.698 ;   ; 5520 ; < ;   7.0 ;   ;   ; -4.56 ; -4.78 ; 21.1 ; 16.8 ;   ;   ; 18.6 ;   ;   ; a      ;   ;  2.94 ; 
g119 ; 3097 ;        ;  0.697 ;   ; 5520 ;   ;  15.0 ;   ;   ; -4.57 ; -4.62 ; 29.7 ; 15.6 ;   ;   ; 19.8 ;   ;   ; a      ;   ;  3.01 ; 
g201 ;  193 ;        ;  0.758 ;   ; 5320 ;   ;   9.0 ;   ;   ; -4.59 ; -4.71 ; 21.9 ; 16.2 ;   ;   ; 14.8 ;   ;   ; a      ;   ;  2.49 ; 
g202 ;  248 ; G1V    ;  0.738 ;   ; 5380 ;   ;  12.0 ;   ;   ;       ;       ;      ; 19.8 ; * ;   ; 19.3 ;   ; * ; a      ;   ;  2.83 ; 
g203 ;  296 ; G8V    ;  0.799 ;   ; 5180 ;   ;  15.0 ;   ;   ; -4.26 ; -4.38 ; 33.1 ; 19.9 ;   ;   ; 27.8 ;   ;   ; a      ;   ;  3.17 ; 
g204 ;  430 ; G8V    ;  0.777 ;   ; 5240 ; < ;   7.0 ;   ;   ; -4.80 ; -4.66 ; 20.6 ; 18.2 ;   ;   ; 15.0 ;   ;   ; b      ;   ;  2.41 ; 
g205 ;  571 ; G8V    ;  0.748 ;   ; 5340 ;   ;   8.0 ;   ;   ; -4.89 ; -4.73 ;      ; 17.9 ; * ;   ; 17.5 ;   ; * ; b      ;   ;  2.67 ; 
g206 ;  746 ; G5V    ;  0.768 ;   ; 5280 ; < ;   7.0 ;   ;   ; -4.22 ; -4.78 ; 18.5 ; 17.2 ;   ;   ;  9.8 ;   ;   ; b      ;   ;  2.14 ; 
g207 ; 1032 ; G8V    ;  0.733 ;   ; 5400 ;   ;  36.0 ;   ;   ; -4.20 ; -4.35 ; 27.0 ; 18.4 ;   ;   ; 21.2 ;   ;   ; b      ;   ;  2.97 ; 
g208 ; 1136 ; G8V    ;  0.784 ;   ; 5240 ;   ;  80.0 ; : ;   ; -3.80 ; -4.25 ; 35.0 ; 24.0 ;   ;   ; 29.5 ;   ;   ; c      ;   ;  3.38 ; 
g209 ; 1275 ; K0V    ;  0.791 ;   ; 5200 ;   ;   7.0 ;   ;   ; -4.75 ; -4.70 ; 24.7 ; 16.8 ;   ;   ; 15.9 ;   ;   ; a      ;   ;  2.41 ; 
g210 ; 1593 ; G6V    ;  0.716 ;   ; 5460 ; < ;   7.0 ;   ;   ; -4.86 ; -4.80 ; 15.9 ; 15.5 ;   ;   ; 16.4 ;   ;   ; a      ;   ;  2.74 ; 
g211 ; 2147 ; K0V    ;  0.782 ;   ; 5240 ;   ;  27.0 ;   ;   ;       ;       ;      ; 15.1 ; * ;   ; 21.7 ;   ; * ; c      ;   ;  2.82 ; 
g212 ; 2284 ;        ;  0.743 ;   ; 5360 ; < ;   7.0 ;   ;   ; -4.68 ; -4.90 ; 20.6 ; 15.7 ;   ;   ; 17.7 ;   ;   ; a      ;   ;  2.70 ; 
g213 ; 2311 ;        ;  0.780 ;   ; 5240 ;   ;   8.0 ;   ;   ; -4.77 ; -4.67 ; 25.9 ; 17.4 ;   ;   ; 14.1 ;   ;   ; a      ;   ;  2.36 ; 
g214 ; 2366 ;        ;  0.779 ;   ; 5240 ; < ;   7.0 ;   ;   ; -4.80 ; -4.74 ; 20.8 ; 17.7 ;   ;   ; 18.9 ;   ;   ; a      ;   ;  2.64 ; 
g215 ; 2406 ;        ;  0.720 ;   ; 5440 ;   ;   7.0 ;   ;   ; -4.63 ; -4.88 ;      ; 14.9 ; * ;   ; 15.4 ;   ; * ; a      ;   ;  2.66 ; 
g216 ; 2462 ;        ;  0.791 ;   ; 5200 ; < ;   7.0 ;   ;   ; -4.92 ; -4.78 ; 25.5 ; 18.5 ;   ;   ; 10.3 ;   ;   ; a      ;   ;  2.08 ; 
g217 ; 2665 ;        ;  0.790 ;   ; 5200 ; < ;   7.0 ;   ;   ; -4.60 ; -4.74 ; 24.4 ; 15.8 ;   ;   ; 16.6 ;   ;   ; b      ;   ;  2.45 ; 
g301 ;   34 ;        ;  0.888 ;   ; 4900 ; < ;   7.0 ;   ;   ; -4.63 ; -4.63 ; 23.3 ; 18.6 ;   ;   ; 13.4 ;   ;   ; b      ;   ;  1.90 ; 
g302 ;  129 ; G8V    ;  0.830 ;   ; 5080 ; < ;   7.0 ;   ;   ;       ;       ; 24.4 ; 17.0 ;   ;   ; 17.6 ;   ;   ; a      ;   ;  2.37 ; 
g303 ;  173 ; K0V    ;  0.812 ;   ; 5140 ;   ;       ;   ; S ;       ;       ;      ; 29.0 ; * ;   ; 26.0 ;   ; * ; a      ;   ;  2.99 ; 
g304 ;  174 ;        ;  0.811 ;   ; 5140 ;   ;  28.0 ;   ;   ;       ; -4.21 ;      ; 26.9 ;   ;   ; 24.1 ;   ;   ; c      ;   ;  2.85 ; 
g305 ;  263 ; G8V    ;  0.836 ;   ; 5060 ;   ;  10.0 ;   ;   ; -4.40 ; -4.43 ; 25.0 ; 21.8 ;   ;   ; 29.0 ;   ;   ; a      ;   ;  3.11 ; 
g306 ;  298 ;        ;  0.835 ;   ; 5060 ;   ;   8.0 ;   ;   ; -4.02 ; -4.39 ;      ; 21.0 ; * ;   ; 27.7 ;   ; * ; b      ;   ;  3.01 ; 
g307 ;  303 ;        ;  0.856 ;   ; 5000 ;   ;  15.0 ;   ;   ;       ;       ; 25.1 ; 13.6 ;   ;   ; 13.8 ;   ;   ; b      ;   ;  2.05 ; 
g308 ;  320 ; G5V    ;  0.840 ;   ; 5040 ;   ;  11.0 ;   ;   ;       ;       ;      ; 20.5 ; * ;   ; 22.1 ;   ; * ; a      ;   ;  2.59 ; 
g309 ;  345 ; G8V    ;  0.806 ;   ; 5160 ;   ;  18.0 ;   ;   ; -3.89 ; -4.20 ; 32.1 ; 18.2 ;   ;   ; 24.5 ;   ;   ; a      ;   ;  2.91 ; 
g310 ;  522 ; K2V    ;  0.879 ;   ; 4940 ; < ;   7.0 ;   ;   ; -4.92 ; -4.74 ; 25.7 ; 20.5 ;   ;   ;  7.7 ;   ;   ; a      ;   ;  1.59 ; 
g312 ;  738 ; G9V    ;  0.810 ;   ; 5140 ;   ;  50.0 ;   ;   ; -3.89 ; -4.31 ; 37.6 ; 23.7 ;   ;   ; 20.3 ;   ;   ; b      ;   ;  2.60 ; 
g313 ;  916 ; G8V    ;  0.824 ;   ; 5100 ; < ;   7.0 ;   ;   ; -4.54 ; -4.62 ; 22.2 ; 20.3 ;   ;   ; 19.9 ;   ;   ; a      ;   ;  2.52 ; 
g314 ; 1095 ; K0V    ;  0.858 ;   ; 5000 ; < ;   7.0 ;   ;   ; -4.65 ; -4.72 ; 23.5 ; 21.6 ;   ;   ; 13.8 ;   ;   ; a      ;   ;  2.05 ; 
g315 ; 1220 ; G8V    ;  0.830 ;   ; 5080 ; < ;   7.0 ;   ;   ; -4.73 ; -4.73 ; 23.5 ; 20.5 ;   ;   ; 15.8 ;   ;   ; b      ;   ;  2.26 ; 
