#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:32:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc6633}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ngc6633
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ngc2451
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc6633:
#Name: J/A+A/612/A99/ngc6633
#Title: Parameters for NGC6633
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
18264690+0620564;NGC6633;   UVES; 9700;  50;   4.800;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ; -23.620;   0.400; 0.199;      ;  21;276.69542;+06.34900
18264786+0614598;NGC6633;   UVES; 7250;  50;   4.500;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ; -14.676;   0.400; 0.028;      ;  22;276.69942;+06.24994
18265055+0626594;NGC6633;   UVES; 5522; 126;   4.271;   0.234;  -0.064;   0.097;<;   6.400;        ;   3;        ;        ;  29.206;   0.400; 0.005;      ;  23;276.71062;+06.44983
18265061+0644331;NGC6633;   UVES; 6040; 121;   4.277;   0.226;  -0.042;   0.098; ;  57.000;   1.200;   0;        ;        ;  20.423;   0.400; 0.004;      ;  24;276.71087;+06.74253
18265282+0623149;NGC6633;   UVES; 9750;  50;   4.000;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  25;276.72008;+06.38747
18265289+0625237;NGC6633;   UVES; 7750;2000;   5.000;   1.000;  -0.273;        ; ;        ;        ;    ;        ;        ; -23.493;   0.400; 0.197;      ;  26;276.72037;+06.42325
18265410+0629038;NGC6633;   UVES; 8350;  50;   3.000;   0.200;  -0.300;   0.100; ;        ;        ;    ;        ;        ; -28.998;   0.400; 0.878;      ;  27;276.72542;+06.48439
18265503+0620566;NGC6633;   UVES; 7250;  50;   3.700;   0.200;  -0.552;        ; ;        ;        ;    ;        ;        ; -28.157;   0.400; 0.866;      ;  28;276.72929;+06.34906
18265521+0633543;NGC6633;   UVES; 6748; 143;   4.541;   0.288;  -0.378;   0.184; ;  98.100;        ;   0;   0.994;        ;  23.044;   0.400; 0.005;      ;  29;276.73004;+06.56508
18265539+0627575;NGC6633;   UVES; 7300;  50;   4.500;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;  -9.311;   0.400; 0.017;      ;  30;276.73079;+06.46597
18265591+0635559;NGC6633;   UVES; 5459;2000;   4.846;   1.000;  -0.284;        ; ;  51.400;        ;    ;   0.992;        ; -31.091;   0.400; 0.443;      ;  31;276.73296;+06.59886
18270066+0641148;NGC6633;   UVES; 6494; 125;   4.100;   0.251;  -0.042;   0.096;<;   6.800;        ;   3;        ;        ;  21.709;   0.400; 0.005;      ;  32;276.75275;+06.68744
18270297+0616243;NGC6633;   UVES; 5758; 126;   4.327;   0.274;  -0.117;   0.095; ;        ;        ;    ;        ;        ;  25.713;   0.400; 0.006;      ;  33;276.76237;+06.27342
18270357+0625535;NGC6633;   UVES; 8100;  50;   3.200;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  34;276.76487;+06.43153
18270509+0632141;NGC6633;   UVES; 5239; 116;   2.860;   0.258;  -0.066;   0.105; ;  12.100;   0.500;   0;        ;        ; -42.576;   0.400; 0.085;      ;  35;276.77121;+06.53725
18270721+0618284;NGC6633;   UVES; 6057; 116;   4.178;   0.240;  -0.148;   0.102; ;  46.200;   7.900;   0;        ;        ; -35.757;   0.400; 0.140;      ;  36;276.78004;+06.30789
18270752+0627556;NGC6633;   UVES; 5738; 113;   4.425;   0.230;  -0.060;   0.091; ;  66.600;   1.900;   0;   0.998;        ; -27.634;   0.400; 0.863;      ;  37;276.78133;+06.46544
18271331+0628340;NGC6633;   UVES; 8500;  50;   4.700;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ; -37.287;   0.400; 0.132;      ;  38;276.80546;+06.47611
18271445+0621373;NGC6633;   UVES; 6230; 115;   4.334;   0.232;   0.081;   0.095; ;  39.300;   3.200;   0;   0.999;        ;   8.890;   0.400; 0.005;      ;  39;276.81021;+06.36036
18271469+0631069;NGC6633;   UVES;10900;2000;   5.000;   1.000;   0.264;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  40;276.81121;+06.51858
18271687+0633533;NGC6633;   UVES; 6500;2000;   5.000;   1.000;  -0.611;        ; ;        ;        ;    ;        ;        ; -53.580;   0.400; 0.041;      ;  41;276.82029;+06.56481
18271823+0626146;NGC6633;   UVES; 6065; 119;   3.865;   0.234;   0.323;   0.096;<;   2.200;        ;   3;        ;        ;  36.237;   0.400; 0.006;      ;  42;276.82596;+06.43739
18272046+0629391;NGC6633;   UVES; 8258;2000;   4.800;   1.000;  -0.281;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  43;276.83525;+06.49419
18272129+0629286;NGC6633;   UVES; 7600;  50;   4.900;   0.200;  -0.467;        ; ;        ;        ;    ;        ;        ;  -9.665;   0.400; 0.018;      ;  44;276.83871;+06.49128
18272631+0624107;NGC6633;   UVES; 8700;  50;   3.900;   0.200;  -0.100;   0.100; ;        ;        ;    ;        ;        ; -24.403;   0.400; 0.256;      ;  45;276.85962;+06.40297
18272787+0620520;NGC6633;   UVES; 6325; 173;   3.807;   0.445;   0.216;   0.119;<;   4.900;        ;   3;   1.008;        ; -30.804;   0.400; 0.682;      ;  46;276.86612;+06.34778
18272910+0635204;NGC6633;   UVES; 8455;2000;   3.000;   1.000;  -0.284;        ; ;        ;        ;    ;        ;        ; -12.079;   0.400; 0.026;      ;  47;276.87125;+06.58900
18273098+0618484;NGC6633;   UVES; 5360; 119;   4.467;   0.233;  -0.102;   0.095;<;   5.400;        ;   3;   0.988;        ; -92.219;   0.400;      ;      ;  48;276.87908;+06.31344
18273126+0632520;NGC6633;   UVES; 7500;  50;   4.700;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ; -30.793;   0.400; 0.685;      ;  49;276.88025;+06.54778
18273258+0619524;NGC6633;   UVES; 5491; 124;   4.394;   0.231;   0.009;   0.099;<;   9.000;        ;   3;   0.983;        ;  11.842;   0.400; 0.005;      ;  50;276.88575;+06.33122
18273275+0640456;NGC6633;   UVES; 5983;    ;   3.960;        ;  -0.540;        ; ;        ;        ;    ;        ;        ;  -1.778;   0.400; 0.008;      ;  51;276.88646;+06.67933
18273852+0638577;NGC6633;   UVES; 7550;  50;   4.700;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  52;276.91050;+06.64936
18273911+0631557;NGC6633;   UVES; 8800;  50;   3.100;   0.200;  -0.200;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  53;276.91296;+06.53214
18273949+0628080;NGC6633;   UVES; 5846; 118;   4.260;   0.215;  -0.403;   0.099;<;   4.100;        ;   3;        ;        ;  -8.083;   0.400; 0.013;      ;  54;276.91454;+06.46889
18274143+0630541;NGC6633;   UVES; 5027; 125;   4.503;   0.229;  -0.267;   0.103;<;   6.300;        ;   3;   0.982;        ; -45.019;   0.400; 0.046;      ;  55;276.92262;+06.51503
18274148+0623448;NGC6633;   UVES; 6007; 114;   3.953;   0.231;   0.294;   0.093;<;   4.100;        ;   3;   1.003;        ; -35.537;   0.400; 0.122;      ;  56;276.92283;+06.39578
18274267+0639082;NGC6633;   UVES; 6153; 125;   3.841;   0.241;   0.038;   0.105; ; 124.000;   0.900;   0;   1.011;        ; -27.088;   0.400; 0.055;      ;  57;276.92779;+06.65228
18274416+0640040;NGC6633;   UVES; 5594; 118;   4.193;   0.223;   0.415;   0.096;<;   5.900;        ;   3;   0.988;        ; -31.107;   0.400; 0.772;      ;  58;276.93400;+06.66778
18274431+0631059;NGC6633;   UVES; 7166;2000;   4.855;   1.000;  -0.318;        ; ;        ;        ;    ;        ;        ; -29.011;   0.400; 0.882;      ;  59;276.93462;+06.51831
18274532+0643157;NGC6633;   UVES; 7500;  50;   3.300;   0.200;   1.061;        ; ;        ;        ;    ;        ;        ; -15.492;   0.400; 0.038;      ;  60;276.93883;+06.72103
18274548+0629233;NGC6633;   UVES; 9000;  50;   3.900;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  61;276.93950;+06.48981
18274725+0640462;NGC6633;   UVES; 5227; 114;   4.445;   0.234;  -0.062;   0.103; ;  20.200;   1.000;   0;   0.985;        ; -28.351;   0.400; 0.831;      ;  62;276.94687;+06.67950
18274752+0629267;NGC6633;   UVES; 5619; 115;   3.933;   0.230;   0.167;   0.100; ;   5.100;   0.700;   0;        ;        ;  23.617;   0.400; 0.005;      ;  63;276.94800;+06.49075
18274769+0627212;NGC6633;   UVES; 8400;  50;   4.200;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  64;276.94871;+06.45589
18275112+0622485;NGC6633;   UVES; 5004;    ;   4.390;        ;  -0.590;        ; ;        ;        ;    ;        ;        ; -29.823;   0.400; 0.839;      ;  65;276.96300;+06.38014
18275473+0636003;NGC6633;   UVES; 4991; 114;   2.607;   0.217;   0.000;   0.096; ;   7.400;   0.300;   0;        ;        ; -29.284;   0.400; 0.869;      ;  66;276.97804;+06.60008
18275733+0646499;NGC6633;   UVES; 6127; 117;   4.195;   0.226;   0.056;   0.094; ;  41.700;   2.700;   0;   1.005;        ; -21.952;   0.400; 0.115;      ;  67;276.98887;+06.78053
18275771+0642479;NGC6633;   UVES; 5426; 108;   4.355;   0.212;   0.202;   0.094;<;   6.400;        ;   3;   0.991;        ; -47.515;   0.400; 0.041;      ;  68;276.99046;+06.71331
18280018+0654514;NGC6633;   UVES; 5049; 113;   2.798;   0.231;   0.019;   0.094; ;  32.300;   1.000;   0;        ;        ; -28.804;   0.400; 0.880;      ;  69;277.00075;+06.91428
18280049+0631457;NGC6633;   UVES; 7750;  50;   4.800;   0.200;  -0.200;   0.100; ;        ;        ;    ;        ;        ; -15.668;   0.400; 0.038;      ;  70;277.00204;+06.52936
18280063+0623517;NGC6633;   UVES; 6228;    ;   3.790;        ;   0.040;        ; ;        ;        ;    ;        ;        ; -10.145;   0.400; 0.015;      ;  71;277.00262;+06.39769
18280145+0642302;NGC6633;   UVES; 5864; 114;   4.057;   0.230;   0.289;   0.095; ; 111.700;   6.300;   0;   1.000;        ; -45.753;   0.400; 0.047;      ;  72;277.00604;+06.70839
18280276+0650238;NGC6633;   UVES; 5531;    ;   4.277;        ;   0.137;        ; ;        ;        ;    ;        ;        ;  13.093;   0.400; 0.004;      ;  73;277.01150;+06.83994
18280330+0639516;NGC6633;   UVES; 6373; 124;   4.145;   0.223;  -0.182;   0.096; ;   9.000;   0.600;   0;        ;        ; -29.953;   0.400; 0.823;      ;  74;277.01375;+06.66433
18280622+0642252;NGC6633;   UVES; 9600;  50;   4.800;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  75;277.02592;+06.70700
18280866+0638090;NGC6633;   UVES; 5125; 123;   4.518;   0.237;  -0.098;   0.107; ;  32.600;   1.800;   0;   0.990;        ; -26.956;   0.400; 0.803;      ;  76;277.03608;+06.63583
18280903+0650251;NGC6633;   UVES; 8550;  50;   2.500;   0.200;  -0.327;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  77;277.03762;+06.84031
18281038+0647407;NGC6633;   UVES; 5590; 268;   4.585;   0.745;  -0.484;   0.192; ;        ;        ;   0;        ;        ; -14.395;   0.400; 0.028;      ;  78;277.04325;+06.79464
18281667+0642150;NGC6633;   UVES; 5366; 118;   4.407;   0.230;   0.112;   0.100;<;   5.800;        ;   3;        ;        ;  26.503;   0.400; 0.004;      ;  79;277.06946;+06.70417
18281702+0636284;NGC6633;   UVES; 5181; 113;   4.462;   0.230;   0.196;   0.097;<;   5.600;        ;   3;   0.981;        ; -78.177;   0.400; 0.072;      ;  80;277.07092;+06.60789
18282047+0635248;NGC6633;   UVES; 4765; 127;   2.556;   0.282;   0.025;   0.100; ;        ;        ;    ;        ;        ;  14.795;   0.400; 0.006;      ;  81;277.08529;+06.59022
18282204+0650074;NGC6633;   UVES; 6391; 125;   4.334;   0.228;   0.019;   0.096; ;  54.800;   1.200;   0;        ;        ; -53.680;   0.400; 0.056;      ;  82;277.09183;+06.83539
18282297+0642293;NGC6633;   UVES; 5074; 112;   2.839;   0.231;  -0.009;   0.092; ;  19.600;   0.700;   0;        ;        ; -29.807;   0.400; 0.832;      ;  83;277.09571;+06.70814
18283246+0644404;NGC6633;   UVES; 5902; 118;   4.338;   0.225;  -0.001;   0.094; ;  80.700;   0.800;   0;   1.001;        ; -27.382;   0.400; 0.878;      ;  84;277.13525;+06.74456
18283247+0644249;NGC6633;   UVES; 6057; 121;   4.166;   0.233;   0.055;   0.100; ;  39.100;   2.500;   0;        ;        ;   8.444;   0.400; 0.005;      ;  85;277.13529;+06.74025
18283303+0645562;NGC6633;   UVES; 5914; 240;   4.140;   0.535;  -0.562;   0.175; ;  32.200;        ;    ;   0.998;        ;  -6.546;   0.400; 0.008;      ;  86;277.13762;+06.76561
18260752+0623519;NGC6633;GIRAFFE; 4576; 261;   2.590;   0.400;   0.246;   0.310; ;  22.600;        ;    ;   1.020;        ;  21.750;   0.306;      ;      ;  87;276.53133;+06.39775
18260834+0624119;NGC6633;GIRAFFE; 4652; 253;   4.610;   0.360;  -0.361;   0.260; ;  37.200;        ;    ;   0.963;        ; -30.164;   0.321; 0.793;      ;  88;276.53475;+06.40331
18260879+0626352;NGC6633;GIRAFFE; 5055;  69;   2.950;   0.490;  -0.260;   0.200; ;  33.100;        ;    ;   1.016;        ; 160.548;   0.255;      ;      ;  89;276.53662;+06.44311
18260891+0622258;NGC6633;GIRAFFE; 4790;  86;   3.200;   0.370;  -0.362;   0.090; ;  55.400;        ;    ;        ;        ; -32.661;   1.145; 0.400;      ;  90;276.53712;+06.37383
18260963+0620448;NGC6633;GIRAFFE; 4023; 279;   4.800;   0.250;  -0.411;   0.270; ;  40.300;        ;    ;   0.851;        ; -28.079;   0.353; 0.871;      ;  91;276.54012;+06.34578
18261028+0625511;NGC6633;GIRAFFE; 4072; 333;   4.860;   0.360;  -0.076;   0.210; ;  75.100;        ;    ;   0.871;        ; -24.000;   0.517; 0.161;      ;  92;276.54283;+06.43086
18261053+0620394;NGC6633;GIRAFFE; 4662; 195;   2.940;   0.450;  -0.139;   0.160; ;  48.700;        ;    ;   1.008;        ;  40.241;   0.269;      ;      ;  93;276.54387;+06.34428
18261126+0619464;NGC6633;GIRAFFE; 4585; 156;   2.650;   0.350;   0.269;   0.270; ;  31.400;        ;    ;   1.012;        ;  24.516;   0.248;      ;      ;  94;276.54692;+06.32956
18261265+0622234;NGC6633;GIRAFFE; 5088;  63;   4.430;   0.580;   0.117;   0.150; ;  37.800;        ;    ;   0.990;        ; -44.666;   0.252; 0.046;      ;  95;276.55271;+06.37317
18261269+0628111;NGC6633;GIRAFFE; 5721; 125;   4.350;   0.360;  -0.002;   0.180; ;  42.200;        ;    ;   0.997;        ; -40.314;   0.240; 0.085;      ;  96;276.55287;+06.46975
18261303+0626402;NGC6633;GIRAFFE; 4407; 337;   4.690;   0.180;  -0.203;   0.270; ;  27.600;        ;    ;   0.921;        ; -26.998;   0.269; 0.711;      ;  97;276.55429;+06.44450
18261308+0627042;NGC6633;GIRAFFE; 4909; 126;   3.090;   0.420;  -0.132;   0.180; ;  18.000;        ;    ;   1.016;        ;  98.091;   0.309;      ;      ;  98;276.55450;+06.45117
18261312+0622509;NGC6633;GIRAFFE; 4379; 233;   2.430;   0.440;   0.137;   0.260; ;  30.600;        ;    ;   1.026;        ;   7.680;   0.245;      ;      ;  99;276.55467;+06.38081
