#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-02-13T00:26:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56be77f60b5d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+A/541/A150/table2
#-nav=cat:J/A+A/541/A150&tab:{J/A+A/541/A150/table2}&key:source=J/A+A/541/A150/table2&HTTPPRM:&&-ref=VIZ56be77f60b5d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=vB&-out=Vmag&-out=r_Vmag&-out=B-V&-out=Teff&-out=logg&-out=Mass&-out=l_EW&-out=EW&-out=e_EW&-out=r_EW&-out=l_A&-out=A&-out=e_A&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/541/A150/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/541/A150/table2
#-order=I
#-out=vB
#-out=Vmag
#-out=r_Vmag
#-out=B-V
#-out=Teff
#-out=logg
#-out=Mass
#-out=l_EW
#-out=EW
#-out=e_EW
#-out=r_EW
#-out=l_A
#-out=A
#-out=e_A
#-out=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_35410150
#Name: J/A+A/541/A150
#Title: Lithium in M67 and Hyades (Pace+, 2012)
#Table	J_A_A_541_A150_table2:
#Name: J/A+A/541/A150/table2
#Title: Photometry, lithium abundances and parameters in the Hyades
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	vB	(I3)	vanBueren identification number (1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	r_Vmag	(A1)	Reference flag for the photometry (3)	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Logarithm of the surface gravity	[ucd=phys.gravity]
#Column	Mass	(F6.3)	Mass, in solar masses	[ucd=phys.mass]
#Column	l_EW	(A1)	Limit flag on EW (upper limit)	[ucd=meta.code.error;spect.line.eqWidth]
#Column	EW	(F5.1)	Equivalent width of the lithium line	[ucd=spect.line.eqWidth]
#Column	e_EW	(I2)	? Error in the equivalent width [NULL integer written as an empty string]	[ucd=stat.error;spect.line.eqWidth]
#Column	r_EW	(A2)	Reference flag for the EW measurement (2)	[ucd=meta.ref;spect.line.eqWidth]
#Column	l_A	(A1)	Limit flag on A (upper limit)	[ucd=meta.code.error]
#Column	A	(F5.2)	Lithium abundance	[ucd=phys.abund]
#Column	e_A	(F5.2)	? Error in the lithium abundance	[ucd=stat.error]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;vB;Vmag;r_Vmag;B-V;Teff;logg;Mass;l_EW;EW;e_EW;r_EW;l_A;A;e_A;Simbad;_RA;_DE
066.09280;+17.07895; 51; 6.97;B; 0.443;6457; 4.23; 1.380; ;  6.5; 3;BT; ; 1.84; 0.17;Simbad;066.09280;+17.07895
066.05326;+16.37893; 49; 8.24;B; 0.585;6012; 4.58; 1.188; ; 57.0; 2; T; ; 2.55; 0.03;Simbad;066.05326;+16.37893
066.52442;+15.52433; 59; 7.49;B; 0.543;6136; 4.33; 1.248; ; 82.0; 2; T; ; 2.84; 0.03;Simbad;066.52442;+15.52433
066.48891;+05.15014; 61; 7.38;B; 0.514;6224; 4.32; 1.287; ;110.8; 3;BB; ; 3.08; 0.03;Simbad;066.48891;+05.15014
066.66717;+16.74690; 64; 8.12;B; 0.657;5707; 4.40; 1.039; ; 59.0; 2; T; ; 2.34; 0.03;Simbad;066.66717;+16.74690
066.89954;+15.58919; 65; 7.42;B; 0.535;6160; 4.31; 1.259; ;106.0; 2; T; ; 3.00; 0.03;Simbad;066.89954;+15.58919
066.94198;+11.73642; 66; 7.51;B; 0.555;6100; 4.32; 1.231; ; 73.0; 2; T; ; 2.75; 0.03;Simbad;066.94198;+11.73642
067.20124;+17.28546; 73; 7.84;B; 0.609;5940; 4.39; 1.152; ; 85.0; 2; T; ; 2.72; 0.03;Simbad;067.20124;+17.28546
067.33564;+17.54494; 77; 7.05;B; 0.500;6263; 4.20; 1.304; ; 19.0; 6;Re; ; 2.20; 0.13;Simbad;067.33564;+17.54494
067.37819;+26.67155; 76; 9.20;B; 0.759;5392; 4.72; 0.922; ; 16.0; 2; T; ; 1.45; 0.06;Simbad;067.37819;+26.67155
067.37646;+17.86316; 78; 6.92;B; 0.453;6422; 4.20; 1.367; ; 32.6; 3;BB; ; 2.56; 0.05;Simbad;067.37646;+17.86316
067.38169;+17.89318; 79; 8.93;J; 0.827;5171; 4.53; 0.863;<;  3.0;  ;T ;<; 0.56;     ;Simbad;067.38169;+17.89318
067.57488;+19.84058; 81; 7.10;B; 0.470;6365; 4.25; 1.345; ; 15.6; 3;BT; ; 2.18; 0.08;Simbad;067.57488;+19.84058
067.69498;+16.14870; 85; 6.51;B; 0.426;6519; 4.07; 1.402;<;  6.0;  ;BB;<; 1.85;     ;Simbad;067.69498;+16.14870
067.73821;+10.75177; 86; 7.05;B; 0.463;6388; 4.24; 1.354; ; 20.7; 3;BT; ; 2.32; 0.07;Simbad;067.73821;+10.75177
067.81537;+20.13316; 87; 8.58;B; 0.743;5437; 4.49; 0.936; ; 12.0; 2; T; ; 1.36; 0.07;Simbad;067.81537;+20.13316
067.87228;+13.90347; 88; 7.75;J; 0.554;6103; 4.42; 1.232; ; 89.0;10; S; ; 2.86; 0.06;Simbad;067.87228;+13.90347
068.02004;+05.41004; 90; 6.40;B; 0.413;6568; 4.05; 1.419;<;  3.0;  ;BB;<; 1.58;     ;Simbad;068.02004;+05.41004
068.24770;+15.81897; 92; 8.66;B; 0.741;5443; 4.52; 0.938; ; 15.0; 2; T; ; 1.46; 0.06;Simbad;068.24770;+15.81897
068.40818;+16.76249; 93; 9.40;B; 0.883;4968; 4.64; 0.820;<;  3.0;  ; T;<; 0.29;     ;Simbad;068.40818;+16.76249
068.44434;+13.25188; 94; 6.62;B; 0.431;6499; 4.11; 1.395;<;  2.2;  ;BT;<; 1.40;     ;Simbad;068.44434;+13.25188
068.64712;+15.50462; 97; 7.93;B; 0.634;5793; 4.36; 1.079; ; 84.0; 2; T; ; 2.60; 0.05;Simbad;068.64712;+15.50462
069.02193;+15.68401; 99; 9.38;B; 0.851;5090; 4.68; 0.845; ;  4.0; 2; T; ; 0.59; 0.13;Simbad;069.02193;+15.68401
069.16968;+15.86933;101; 6.65;B; 0.433;6493; 4.12; 1.393;<;  3.0;  ;BB;<; 1.53;     ;Simbad;069.16968;+15.86933
069.71371;+23.14997;105; 7.53;B; 0.575;6042; 4.31; 1.203; ; 87.0; 2; T; ; 2.81; 0.02;Simbad;069.71371;+23.14997
070.02434;+23.30454;109; 9.40;B; 0.817;5203; 4.73; 0.871; ;  5.0; 1;Ra; ; 0.74; 0.09;Simbad;070.02434;+23.30454
072.26467;+18.64124;116; 9.01;B; 0.821;5191; 4.57; 0.868;<;  5.0;  ; T;<; 0.73;     ;Simbad;072.26467;+18.64124
072.38385;+15.88875;118; 7.74;B; 0.580;6026; 4.39; 1.195; ; 77.0; 2; T; ; 2.72; 0.03;Simbad;072.38385;+15.88875
074.45627;+14.00219;127; 8.92;S; 0.710;5520; 4.65; 0.964; ; 18.0; 2; T; ; 1.62; 0.05;Simbad;074.45627;+14.00219
044.44447;+29.66146;153; 8.91;B; 0.859;5062; 4.48; 0.839; ;  8.0; 2; T; ; 0.82; 0.10;Simbad;044.44447;+29.66146
072.70226;+16.21045;121; 7.29;B; 0.504;6256; 4.29; 1.301; ;114.9; 3;BT; ; 3.12; 0.02;Simbad;072.70226;+16.21045
072.95828;+13.65515;124; 6.25;J; 0.501;6261; 3.88; 1.303; ;  9.0; 3;BT; ; 1.86; 0.13;Simbad;072.95828;+13.65515
074.93468;+15.91673;128; 6.75;B; 0.450;6433; 4.14; 1.371; ; 14.0; 3;BT; ; 2.17; 0.09;Simbad;074.93468;+15.91673
067.49053;+16.67284;180; 9.10;B; 0.853;5081; 4.57; 0.843; ;  5.0; 2; T; ; 0.65; 0.13;Simbad;067.49053;+16.67284
075.78191;+13.73067;187; 8.60;J; 0.776;5352; 4.46; 0.912; ; 17.0; 1;Ra; ; 1.44; 0.04;Simbad;075.78191;+13.73067

