#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-03-07T22:19:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c8198631d1d2	
#INFO	-out.max=99999	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=99999
#-order=I
#-out.src=J/A+A/590/A78/table1
#-nav=cat:J/A+A/590/A78&tab:{J/A+A/590/A78/table1}&key:source=J/A+A/590/A78/table1&HTTPPRM:&&-ref=VIZ5c8198631d1d2&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CSI&-out=GES&-out=RAJ2000&-out=DEJ2000&-out=Teff&-out=e_Teff&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Per&-out=r_Per&-out=RV&-out=e_RV&-out=Vsini&-out=e_Vsini&-out=Note&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/590/A78/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/590/A78/table1
#-out=CSI
#-out=GES
#-out=RAJ2000
#-out=DEJ2000
#-out=Teff
#-out=e_Teff
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Per
#-out=r_Per
#-out=RV
#-out=e_RV
#-out=Vsini
#-out=e_Vsini
#-out=Note
#-out=Simbad
#

#RESOURCE=yCat_35900078
#Name: J/A+A/590/A78
#Title: NGC2264 weak-line T Tauri lithium abundances (Bouvier+, 2016)
#Table	J_A_A_590_A78_table1:
#Name: J/A+A/590/A78/table1
#Title: Lithium and rotation measurements
#Column	CSI	(A13)	CSI designation (CSIMon-NNNNNN)	[ucd=meta.id;meta.main]
#Column	GES	(A16)	GES designation (HHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	Error on Teff	[ucd=stat.error;phys.temperature.effective]
#Column	EWLi	(F5.1)	Lithium equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F4.1)	Error on EW(Li)	[ucd=stat.error]
#Column	f_EWLi	(I1)	[1/3] Flag on EW(Li) (1)	[ucd=meta.code]
#Column	Per	(F5.2)	Rotational period	[ucd=time.period]
#Column	r_Per	(A4)	Period reference (2)	[ucd=meta.ref;pos.frame]
#Column	RV	(F4.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F4.1)	? Error on RV	[ucd=stat.error]
#Column	Vsini	(F5.1)	? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	e_Vsini	(F4.1)	? Error on vsini	[ucd=stat.error;phys.veloc.rotat]
#Column	Note	(I1)	[1/3]? Notes (3) [NULL integer written as an empty string]	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
CSI;GES;RAJ2000;DEJ2000;Teff;e_Teff;EWLi;e_EWLi;f_EWLi;Per;r_Per;RV;e_RV;Vsini;e_Vsini;Note;Simbad
CSIMon-000143;06410455+0926092;100.26895;+09.43590;3567; 42;512.8;10.7;1; 5.66;L+04;18.9; 2.7;  9.0; 0.5; ;Simbad
CSIMon-000149;06411330+0951544;100.30545;+09.86513;3949;224;570.7;16.4;1;11.50;A+13;20.3; 1.4; 12.0; 0.5; ;Simbad
CSIMon-000151;06411829+0928329;100.32623;+09.47585;3683; 18;538.8;12.2;1; 1.45;L+04;18.9; 5.2; 34.5; 3.0; ;Simbad
CSIMon-000159;06405146+0937145;100.21443;+09.62069;4057;228;523.1; 5.8;1; 8.80;V+16;18.1; 0.9; 10.3; 1.7; ;Simbad
CSIMon-000160;06405984+0951489;100.24930;+09.86359;3994;301;422.1; 3.8;1; 1.79;V+16;31.7; 3.1; 40.8; 3.5;1;Simbad
CSIMon-000169;06414807+0942433;100.45027;+09.71203;5135;159;317.9; 3.3;1; 1.17;V+16;14.8; 1.8; 93.7; 2.3; ;Simbad
CSIMon-000188;06410173+0955514;100.25721;+09.93095;3500; 15;634.7;13.6;1; 1.74;V+16;24.4; 2.6; 13.8; 1.7; ;Simbad
CSIMon-000198;06411963+0931443;100.33180;+09.52900;4556;180;544.5;22.5;2; 5.00;V+16;    ;    ; 25.9; 1.4; ;Simbad
CSIMon-000200;06410801+0930403;100.28340;+09.51121;4633;186;494.2; 6.1;1; 1.92;V+16;23.5; 1.1; 21.0; 0.5; ;Simbad
CSIMon-000207;06405904+0949062;100.24600;+09.81840;3673; 24;604.7; 6.6;1; 2.00;V+16;21.9; 2.6; 11.5; 2.7; ;Simbad
CSIMon-000217;06410696+0940544;100.27902;+09.68180;3347; 84;602.4;12.8;1; 7.46;V+16;29.2; 3.6; 56.0;10.5; ;Simbad
CSIMon-000223;06405542+0937237;100.23094;+09.62326;4327;280;595.3; 7.2;1; 1.90;V+16;23.8; 3.1; 47.9; 2.5; ;Simbad
CSIMon-000226;06410536+0933134;100.27234;+09.55375;4980;230;535.2; 4.5;1; 1.21;V+16;24.8; 0.9; 24.0; 0.5; ;Simbad
CSIMon-000236;06410254+0934557;100.26057;+09.58218;4842;117;429.0;37.0;2; 1.98;V+16;    ;    ; 47.6; 2.2; ;Simbad
CSIMon-000237;06410968+0924547;100.29033;+09.41521;4082;225;559.3;19.2;1; 3.38;V+16;14.8; 2.4; 18.4; 2.6; ;Simbad
CSIMon-000241;06412304+0927266;100.34599;+09.45742;5480;197;271.8; 6.3;1; 3.25;V+16;18.0; 1.0; 36.0; 0.5; ;Simbad
CSIMon-000255;06414274+0942566;100.42804;+09.71574;4474;424;502.5; 4.2;1; 3.93;V+16;18.3; 1.1; 21.0; 0.5; ;Simbad
CSIMon-000263;06410258+0935131;100.26077;+09.58697;4483;199;536.0; 7.9;1; 4.29;V+16;19.0; 1.1; 18.0; 0.5; ;Simbad
CSIMon-000278;06411985+0927049;100.33270;+09.45136;3437; 59;618.6;21.5;1; 1.18;L+04;18.7; 0.7; 12.0; 2.3; ;Simbad
CSIMon-000281;06405607+0942541;100.23362;+09.71501;3323; 20;623.4;28.0;1; 5.34;A+13;20.3; 0.6; 18.8; 1.6; ;Simbad
CSIMon-000283;06410716+0927480;100.27984;+09.46334;4546;  5;503.9;11.8;2; 9.48;L+04;    ;    ;  9.2; 1.0; ;Simbad
CSIMon-000292;06414742+0942003;100.44757;+09.70011;3945;240;558.4;16.1;1; 6.57;V+16;17.7; 1.2; 13.4; 1.7; ;Simbad
CSIMon-000298;06410568+0954187;100.27369;+09.90520;4044;312;636.6; 5.5;1; 1.31;V+16;20.8; 1.3; 32.2; 3.0; ;Simbad
CSIMon-000307;06411793+0933370;100.32470;+09.56029;4979;190;471.2;13.5;1; 6.55;A+13;28.3; 1.0; 15.0; 0.5; ;Simbad
CSIMon-000330;06413161+0948328;100.38170;+09.80912;4805;107;507.3; 2.6;1; 5.05;V+16;19.3; 0.5; 21.0; 0.5; ;Simbad
CSIMon-000348;06405008+0952275;100.20868;+09.87432;3469; 61;627.7; 9.9;1; 5.19;V+16;19.3; 2.8; 15.0; 0.5; ;Simbad
CSIMon-000351;06412280+0929389;100.34503;+09.49415;4699;231;199.9; 7.4;1;10.49;V+16;27.0; 1.2; 36.0; 0.5;1;Simbad
CSIMon-000372;06412054+0945355;100.33560;+09.75988;4932;128;449.3;14.4;2; 2.57;V+16;    ;    ; 24.7; 1.2; ;Simbad
CSIMon-000383;06405578+0940182;100.23242;+09.67172;3675; 32;666.3;19.4;1; 1.03;V+16;19.8; 2.7; 86.8; 2.1; ;Simbad
CSIMon-000384;06412310+0944052;100.34623;+09.73479;3408; 18;666.4;30.8;1; 3.30;L+04;19.9; 0.8; 11.0; 1.7; ;Simbad
CSIMon-000394;06410776+0941149;100.28235;+09.68749;4094;242;615.7;16.5;1; 1.96;V+16;24.8; 0.9; 22.4; 1.7; ;Simbad
CSIMon-000395;06411014+0931285;100.29227;+09.52461;3536; 40;613.8; 9.3;1; 1.65;V+16;19.3; 1.1; 13.6; 1.7; ;Simbad
CSIMon-000404;06404686+0932309;100.19527;+09.54192;3498; 24;648.2;23.9;1;13.68;M+04;18.3; 0.8;  7.0; 2.7; ;Simbad
CSIMon-000407;06412203+0951126;100.34180;+09.85352;4372;412;534.8; 6.8;1; 4.50;V+16;18.8; 1.1; 18.0; 0.5; ;Simbad
CSIMon-000411;06405631+0934180;100.23462;+09.57165;4054;313; 70.6; 0.0;3; 0.46;L+04;27.1; 9.3; 54.1; 2.5;1;Simbad
CSIMon-000413;06414644+0943068;100.44351;+09.71856;4384;312;559.2;21.2;1; 4.28;V+16;17.8; 0.6; 15.0; 0.5; ;Simbad
CSIMon-000420;06405420+0955520;100.22580;+09.93111;4182;398;528.1; 6.4;1; 8.10;V+16;20.0; 1.1; 14.0; 1.5; ;Simbad
CSIMon-000438;06410342+0930051;100.26425;+09.50142;3779;119;662.4;14.9;1; 1.31;V+16;17.3; 2.0; 54.0; 3.5; ;Simbad
CSIMon-000444;06414455+0942123;100.43566;+09.70342;3988;174;559.3;13.0;1;10.25;V+16;18.0; 1.5; 10.1; 1.7; ;Simbad
CSIMon-000445;06420256+0936525;100.51067;+09.61458;4447;241;518.2;16.3;1; 3.65;V+16;17.2; 1.2; 16.3; 1.7; ;Simbad
CSIMon-000450;06415804+0943062;100.49183;+09.71838;4324;295;582.5;11.3;1; 2.10;V+16;21.6; 1.2; 22.4; 1.7; ;Simbad
CSIMon-000451;06415148+0944097;100.46449;+09.73602;3808;188;624.9;25.2;1; 4.51;V+16;15.4; 1.7; 17.3; 1.6; ;Simbad
CSIMon-000461;06415497+0930065;100.47900;+09.50181;4082;451;520.6;13.7;1; 3.43;V+16;14.5; 1.6; 27.4; 2.6; ;Simbad
CSIMon-000477;06411575+0926168;100.31564;+09.43801;4691;106;501.7; 3.5;1; 6.23;V+16;20.9; 1.2; 24.0; 0.5; ;Simbad
CSIMon-000486;06410403+0949087;100.26682;+09.81911;4384;323;497.3; 8.3;1;12.39;V+16;18.0; 0.9; 15.0; 0.5; ;Simbad
CSIMon-000494;06414576+0926428;100.44064;+09.44524;3346; 64;683.7;38.9;1; 1.17;L+04;20.9; 2.4; 40.0; 6.6; ;Simbad
CSIMon-000497;06410221+0951519;100.25919;+09.86443;5377;177;312.1; 5.7;1; 9.99;V+16;24.1; 0.5; 10.4; 1.7; ;Simbad
CSIMon-000502;06405777+0930503;100.24071;+09.51400;4637;382;522.8; 6.0;1; 3.65;M+04;24.5; 0.8; 13.2; 1.7; ;Simbad
CSIMon-000508;06410432+0935478;100.26799;+09.59660;3387;  1;662.1;24.3;1; 1.30;L+04;24.4; 0.6;  9.3; 2.0; ;Simbad
CSIMon-000515;06413624+0939204;100.40098;+09.65568;4225;308;538.7;19.8;1; 6.54;V+16;15.9; 1.0; 12.0; 0.5; ;Simbad
CSIMon-000516;06404736+0948494;100.19733;+09.81373;4172;428;535.4; 3.5;1; 4.14;LRpv;20.5; 1.2; 30.0; 0.5; ;Simbad
CSIMon-000518;06410169+0948221;100.25700;+09.80620;4436;264;567.0; 3.6;1; 6.55;V+16;23.6; 1.3; 22.0; 1.6; ;Simbad
CSIMon-000519;06410992+0930202;100.29134;+09.50561;3830;101;571.8; 9.1;1; 6.01;V+16;21.6; 2.0;  9.5; 3.3; ;Simbad
CSIMon-000524;06410433+0948221;100.26806;+09.80614;4775; 41;477.3; 4.0;1; 5.15;V+16;20.3; 1.2; 19.8; 1.6; ;Simbad
CSIMon-000536;06405201+0945048;100.21671;+09.75134;3983;230;587.8; 5.3;1; 3.40;V+16;25.4; 2.6; 22.6; 1.7; ;Simbad
CSIMon-000541;06410471+0925075;100.26961;+09.41873;3387;108;658.9;13.0;1; 2.80;L+04;18.0; 2.9; 18.0; 0.5; ;Simbad
CSIMon-000545;06410581+0952478;100.27422;+09.87996;4269;324;599.9; 3.4;1; 4.30;A+13;21.9; 1.0; 22.2; 1.7; ;Simbad
CSIMon-000548;06410856+0942515;100.28567;+09.71431;4040;259;545.6; 5.8;1;10.70;V+16;21.6; 1.0; 12.0; 0.5; ;Simbad
CSIMon-000550;06404343+0928409;100.18094;+09.47806;3994;209;568.4;19.7;1; 9.25;L+04;16.9; 1.1; 12.0; 0.5; ;Simbad
CSIMon-000555;06412445+0932451;100.35189;+09.54588;3507;218;577.8;16.2;1; 1.05;V+16;23.2; 3.2; 28.7; 3.9; ;Simbad
CSIMon-000559;06412425+0931541;100.35106;+09.53171;4452;190;488.3; 6.1;1; 7.96;V+16;21.9; 1.1; 15.0; 0.5; ;Simbad
CSIMon-000560;06411572+0938182;100.31549;+09.63842;5834; 24; 82.8; 1.6;1; 5.31;V+16; 4.1; 0.5; 15.8; 2.2;1;Simbad
CSIMon-000565;06410077+0951223;100.25327;+09.85618;4643;212;489.0;18.8;2; 4.38;V+16;    ;    ; 19.6; 1.2; ;Simbad
CSIMon-000574;06405086+0955530;100.21193;+09.93141;4406;325;573.2; 5.5;1; 3.79;V+16;21.9; 0.3; 28.1; 1.6; ;Simbad
CSIMon-000591;06410777+0928135;100.28238;+09.47042;4135; 73;628.3; 8.3;1; 2.67;L+04;14.2; 2.2; 30.0; 0.5; ;Simbad
CSIMon-000596;06414745+0937527;100.44769;+09.63129;3875;124;594.6; 9.0;1; 9.14;V+16;18.7; 1.9; 12.0; 0.5; ;Simbad
CSIMon-000604;06410510+0951445;100.27124;+09.86237;4471;220;518.6; 5.8;1; 9.96;V+16;21.2; 1.0; 12.0; 0.5; ;Simbad
CSIMon-000606;06411447+0933214;100.31027;+09.55596;4314;297;516.0; 9.7;1;10.80;V+16;19.9; 0.9; 15.0; 0.5; ;Simbad
CSIMon-000607;06411563+0926334;100.31520;+09.44262;4180;350;609.1; 7.2;1; 1.58;V+16;20.0; 1.5; 22.4; 1.7; ;Simbad
CSIMon-000612;06405820+0955446;100.24251;+09.92905;3509;185;618.0;11.6;1; 4.30;V+16;15.8; 2.3; 16.7; 1.7; ;Simbad
CSIMon-000617;06410948+0951500;100.28954;+09.86389;3663; 31;635.2;12.7;1; 5.96;V+16;18.3; 1.9; 37.6; 2.2; ;Simbad
CSIMon-000620;06412075+0930120;100.33644;+09.50333;3914;139;574.5;17.8;1; 8.60;V+16;18.9; 1.0; 11.2; 1.5; ;Simbad
CSIMon-000621;06411282+0952433;100.30343;+09.87873;4419;276;553.8; 6.2;1; 4.72;L+04;21.8; 0.8; 21.7; 1.5; ;Simbad
CSIMon-000622;06412179+0945309;100.34081;+09.75860;4595;234;451.8; 5.4;1;12.63;V+16;20.6; 0.6; 12.0; 0.5; ;Simbad
CSIMon-000630;06405750+0949209;100.23959;+09.82246;3357; 65;675.4;10.2;1; 2.17;A+13;20.3; 0.9; 12.8; 1.6; ;Simbad
CSIMon-000635;06410513+0948555;100.27140;+09.81543;4314;345;524.7;10.8;1; 3.66;L+04;17.9; 0.8; 19.3; 1.7; ;Simbad
CSIMon-000647;06410295+0947543;100.26232;+09.79842;6535;  8; 55.6; 2.6;1; 1.18;V+16;12.8; 4.8; 66.2; 8.0; ;Simbad
CSIMon-000656;06412054+0947300;100.33557;+09.79167;3944;245;584.9;20.8;1; 4.44;V+16;16.7; 0.9; 14.6; 2.0; ;Simbad
CSIMon-000657;06411771+0929262;100.32379;+09.49061;4204; 63;603.4;13.8;1; 4.83;V+16;25.3; 2.3; 65.4; 2.5; ;Simbad
CSIMon-000661;06405024+0920023;100.20935;+09.33401;6393; 98;  5.2; 0.0;3;19.86;V+16; 0.0; 4.8; 56.8; 7.4;1;Simbad
CSIMon-000665;06410594+0927174;100.27473;+09.45484;3248; 61;568.2;14.5;1; 2.47;A+13;17.0; 2.7; 41.6; 3.0; ;Simbad
CSIMon-000680;06411333+0928075;100.30556;+09.46873;4318;413;543.7; 9.3;1; 5.77;V+16;20.6; 0.8; 16.3; 1.7; ;Simbad
CSIMon-000683;06412945+0939182;100.37269;+09.65504;3939;142;578.9;18.4;1; 4.13;L+04;19.0; 0.8; 14.2; 1.4; ;Simbad
CSIMon-000686;06405987+0949329;100.24945;+09.82581;3560; 21;603.3;30.5;1; 2.25;L+04;24.1; 1.7;     ;    ; ;Simbad
CSIMon-000688;06410510+0948479;100.27124;+09.81333;3984;202;606.3; 4.0;1; 3.76;V+16;22.5; 1.0; 17.4; 2.4; ;Simbad
CSIMon-000695;06413250+0938074;100.38539;+09.63538;4805; 95;482.8; 0.8;1; 3.23;V+16;17.6; 0.7; 15.0; 0.5; ;Simbad
CSIMon-000707;06412320+0930364;100.34666;+09.51012;4032;274;626.6;32.7;1; 4.30;L+04;17.7; 2.3; 13.2; 1.7; ;Simbad
CSIMon-000719;06410444+0951261;100.26849;+09.85725;4650;245;457.3; 0.8;1; 3.97;V+16;26.2; 0.3; 15.0; 0.5; ;Simbad
CSIMon-000722;06410374+0927398;100.26559;+09.46106;4408;304;502.6; 5.9;1; 4.35;L+04;18.7; 0.7; 18.0; 0.5; ;Simbad
CSIMon-000724;06405268+0944210;100.21947;+09.73917;3798; 88;586.4;15.8;1; 5.13;V+16;18.5; 1.5; 12.0; 0.5; ;Simbad
CSIMon-000728;06410778+0944030;100.28240;+09.73416;5529;188;287.0; 1.5;1; 5.16;V+16; 1.5; 0.8; 13.0; 1.5; ;Simbad
CSIMon-000738;06411710+0952405;100.32126;+09.87794;3839;112;561.0; 6.9;1; 9.25;L+04;25.1; 1.2;  9.0; 0.5; ;Simbad
CSIMon-000747;06412202+0943127;100.34176;+09.72022;4427;266;497.6;13.1;1; 6.61;V+16;19.5; 0.8; 15.0; 0.5; ;Simbad
CSIMon-000749;06411413+0926406;100.30890;+09.44459;4314;532;619.3; 5.4;1; 1.44;V+16;30.2; 3.8; 57.0; 5.5; ;Simbad
CSIMon-000755;06404696+0948480;100.19564;+09.81335;4816;266;493.5;13.4;1; 3.50;V+16;21.6; 1.2; 21.0; 0.5; ;Simbad
CSIMon-000757;06405219+0956433;100.21748;+09.94536;3761; 89;539.7;24.2;1; 8.61;A+13;22.3; 1.9; 12.0; 0.5; ;Simbad
CSIMon-000769;06405411+0929510;100.22546;+09.49753;3903;183;626.0;21.6;1; 9.58;A+13;18.1; 1.4;  9.0; 0.5; ;Simbad
CSIMon-000770;06411448+0937143;100.31033;+09.62065;4232;130;582.1; 7.3;1; 5.44;V+16;19.6; 1.6; 15.0; 0.5; ;Simbad
CSIMon-000779;06404820+0927008;100.20081;+09.45021;3536;  2;636.7;12.2;1; 3.13;V+16;20.9; 2.5; 18.0; 0.5; ;Simbad
CSIMon-000784;06410141+0934081;100.25590;+09.56895;4796;  6;475.3;10.0;1;10.10;V+16;19.0; 0.9; 10.8; 1.7; ;Simbad
CSIMon-000786;06412305+0943266;100.34603;+09.72407;3574;132;635.4;22.7;1; 0.94;L+04;23.2; 1.1; 40.8; 1.8; ;Simbad
CSIMon-000798;06405695+0948407;100.23729;+09.81132;6132; 80;165.5; 8.3;2; 3.81;V+16;    ;    ; 15.0; 3.9; ;Simbad
CSIMon-000805;06414494+0944403;100.43725;+09.74454;4897;167;456.5; 6.3;1; 3.42;V+16;18.0; 0.6; 12.0; 0.5; ;Simbad
CSIMon-000809;06410350+0931184;100.26458;+09.52179;5703; 35;228.0; 9.3;1; 2.17;V+16;19.2; 0.9; 49.8; 1.7; ;Simbad
CSIMon-000819;06412919+0939359;100.37160;+09.65998;5626;177;274.4; 3.7;1; 3.33;V+16;19.2; 0.5; 18.0; 0.5; ;Simbad
CSIMon-000826;06405208+0952138;100.21701;+09.87052;4159;319;515.9;16.2;1;14.53;V+16;19.7; 0.9; 13.8; 1.6; ;Simbad
CSIMon-000828;06411301+0927393;100.30423;+09.46093;3284;111;643.4; 9.6;1; 2.09;L+04;19.1; 1.5; 43.5; 6.4; ;Simbad
