#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T14:02:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0b8d99052c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ic2602}&key:source=J/A+A/612/A99/ic2391&HTTPPRM:&&-ref=VIZ5d0b8d99052c&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ic2391&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ic2602
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ic2391
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ic2602:
#Name: J/A+A/612/A99/ic2602
#Title: Parameters for IC2602
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
158.7450833;-64.1287778;10345882-6407436; IC2602;   UVES;10300;2000;   3.588;   1.000;  -0.394;        ; ;        ;        ;    ;        ;        ;  13.973;   0.400; 0.509;      ;  21;158.74508;-64.12878
159.0462917;-64.1660000;10361111-6409576; IC2602;   UVES; 4982;  47;   2.785;   0.110;  -0.046;   0.020; ;  34.800;        ;   0;   1.020;   0.003; -16.264;   0.400;      ;      ;  22;159.04629;-64.16600
159.2339167;-63.5666111;10365614-6333598; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  23;159.23392;-63.56661
159.4461250;-63.5891667;10374707-6335210; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  24;159.44612;-63.58917
159.5604583;-63.7721389;10381451-6346197; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  25;159.56046;-63.77214
159.5735833;-64.1351389;10381766-6408065; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  26;159.57358;-64.13514
159.6931250;-64.0135833;10384635-6400489; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  27;159.69312;-64.01358
160.0033333;-64.8225556;10400080-6449212; IC2602;   UVES; 4627;   9;   2.492;   0.101;   0.195;   0.045;<;  50.500;        ;   3;   1.020;   0.002;  20.951;   0.400;      ;      ;  28;160.00333;-64.82256
160.1593750;-65.0294167;10403825-6501459; IC2602;   UVES; 4718;   9;   2.381;   0.088;  -0.248;   0.029; ;  24.400;        ;   0;        ;        ;  19.206;   0.400;      ;      ;  29;160.15937;-65.02942
160.1754583;-64.6532222;10404211-6439116; IC2602;   UVES;12300;2000;   4.488;   1.000;   1.041;        ; ;        ;        ;    ;        ;        ;  29.195;   0.400; 0.230;      ;  30;160.17546;-64.65322
160.1980000;-64.9321111;10404752-6455556; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  31;160.19800;-64.93211
160.2267917;-64.7998056;10405443-6447593; IC2602;   UVES; 4998;  17;   2.653;   0.065;   0.081;   0.017;<;  22.700;        ;   3;   1.024;   0.002; -23.464;   0.400;      ;      ;  32;160.22679;-64.79981
160.2767083;-64.4744167;10410641-6428279; IC2602;   UVES;11600;2000;   4.070;   1.000;  -0.025;        ; ;        ;        ;    ;        ;        ;  30.024;   0.400; 0.213;      ;  33;160.27671;-64.47442
160.2907500;-65.6012500;10410978-6536045; IC2602;   UVES; 5025;   5;   3.468;   0.015;   0.028;   0.010; ;  30.700;        ;   0;        ;        ;  22.614;   0.400;      ;      ;  34;160.29075;-65.60125
160.3181667;-64.9153333;10411636-6454552; IC2602;   UVES; 4832;  76;   2.589;   0.050;   0.165;   0.060;<;  31.800;        ;   3;   1.018;   0.002; -17.380;   0.400;      ;      ;  35;160.31817;-64.91533
160.3425000;-64.7868889;10412220-6447128; IC2602;   UVES; 5033;  22;   2.993;   0.069;   0.187;   0.012;<;  27.900;        ;   3;   1.017;   0.002; -16.257;   0.400;      ;      ;  36;160.34250;-64.78689
160.3730000;-65.5898611;10412952-6535235; IC2602;   UVES; 4658;  28;   2.704;   0.088;   0.102;   0.026;<;  30.800;        ;   3;   1.017;   0.002;   6.257;   0.400;      ;      ;  37;160.37300;-65.58986
160.4400417;-65.5760278;10414561-6534337; IC2602;   UVES; 5133;  19;   2.894;   0.033;  -0.027;   0.007; ;  13.900;        ;   0;        ;        ;  45.376;   0.400;      ;      ;  38;160.44004;-65.57603
160.4627500;-64.2237778;10415106-6413256; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  39;160.46275;-64.22378
160.4682500;-64.9756111;10415238-6458322; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  40;160.46825;-64.97561
160.4777917;-64.1251944;10415467-6407307; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  41;160.47779;-64.12519
160.4902917;-64.1595000;10415767-6409342; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  42;160.49029;-64.15950
160.5737083;-64.1186944;10421769-6407073; IC2602;   UVES; 5683;    ;   4.752;        ;  -0.439;        ; ;  21.900;        ;    ;        ;        ;        ;        ;      ;      ;  43;160.57371;-64.11869
160.6048750;-64.3988611;10422517-6423559; IC2602;   UVES; 8222;2000;   3.000;   1.000;  -0.472;        ; ;        ;        ;    ;        ;        ;  54.760;   0.400; 0.130;      ;  44;160.60487;-64.39886
160.6561667;-64.1871389;10423748-6411137; IC2602;   UVES; 4750;   6;   2.180;   0.020;  -0.059;   0.020; ;  34.900;        ;   0;        ;        ;  37.930;   0.400;      ;      ;  45;160.65617;-64.18714
160.6595833;-64.1422222;10423830-6408320; IC2602;   UVES; 6305;    ;   3.970;        ;   0.010;        ; ; 106.000;        ;   0;        ;        ;   6.416;   0.400; 0.090;      ;  46;160.65958;-64.14222
160.6736250;-65.7281944;10424167-6543415; IC2602;   UVES; 5044;  21;   3.229;   0.069;  -0.084;   0.013;<;  13.300;        ;   3;   1.010;   0.002;  -5.423;   0.400;      ;      ;  47;160.67362;-65.72819
160.6737917;-64.3513056;10424171-6421047; IC2602;   UVES; 5814;    ;   4.350;        ;   0.010;        ; ; 190.000;        ;   0;        ;        ;   6.733;   0.400; 0.156;      ;  48;160.67379;-64.35131
160.6955000;-63.8885000;10424692-6353186; IC2602;   UVES; 5169;  17;   2.877;   0.012;   0.118;   0.030;<;  25.400;        ;   3;   1.013;   0.002;   8.691;   0.400;      ;      ;  49;160.69550;-63.88850
160.7118333;-64.0041111;10425084-6400148; IC2602;   UVES; 5610;  44;   3.971;   0.030;  -0.276;   0.015; ;  15.700;        ;   0;        ;        ;  -3.048;   0.400;      ;      ;  50;160.71183;-64.00411
160.7222083;-64.1005556;10425333-6406020; IC2602;   UVES; 5018;  25;   2.780;   0.061;  -0.020;   0.010; ;  22.500;        ;   0;        ;        ; -15.322;   0.400;      ;      ;  51;160.72221;-64.10056
160.7384583;-64.0406944;10425723-6402265; IC2602;   UVES; 4702;   3;   2.741;   0.093;   0.104;   0.014;<;  30.800;        ;   3;   1.018;   0.003;  33.172;   0.400;      ;      ;  52;160.73846;-64.04069
160.7564167;-64.2488056;10430154-6414557; IC2602;   UVES; 4809;   6;   2.524;   0.010;   0.095;   0.005; ; 100.000;        ;   0;        ;        ;  26.951;   0.400;      ;      ;  53;160.75642;-64.24881
160.7572917;-64.1978611;10430175-6411523; IC2602;   UVES; 6828;    ;   3.990;        ;  -0.040;        ; ;  65.600;        ;   0;        ;        ; -15.769;   0.400; 0.015;      ;  54;160.75729;-64.19786
160.7650833;-64.0631667;10430362-6403474; IC2602;   UVES; 5258;  88;   3.755;   0.061;  -0.003;   0.041;<;  21.600;        ;   3;   1.001;   0.002;  21.063;   0.400;      ;      ;  55;160.76508;-64.06317
160.7657083;-64.0387222;10430377-6402194; IC2602;   UVES; 4925;  28;   2.689;   0.068;  -0.007;   0.003;<;  20.100;        ;   3;   1.021;   0.002;   1.708;   0.400;      ;      ;  56;160.76571;-64.03872
160.7780000;-65.5870556;10430672-6535134; IC2602;   UVES; 4752;  15;   2.772;   0.079;   0.264;   0.043;<;  49.600;        ;   3;   1.009;   0.002;  23.256;   0.400;      ;      ;  57;160.77800;-65.58706
160.8052917;-65.6349167;10431327-6538057; IC2602;   UVES; 4977;  13;   2.759;   0.098;   0.003;   0.029; ;  27.200;        ;   0;        ;        ;  -9.849;   0.400;      ;      ;  58;160.80529;-65.63492
160.8146250;-64.0732778;10431551-6404238; IC2602;   UVES; 7127;    ;   4.000;        ;  -0.090;        ; ;  14.600;        ;   0;        ;        ;   0.519;   0.400; 0.042;      ;  59;160.81462;-64.07328
160.8214583;-64.0862500;10431715-6405105; IC2602;   UVES; 5116;    ;   4.374;        ;  -0.815;        ; ; 110.100;        ;    ;        ;        ;        ;        ;      ;      ;  60;160.82146;-64.08625
160.8551250;-64.2183889;10432523-6413062; IC2602;   UVES; 4139;    ;   1.774;        ;  -0.180;        ; ; 184.400;        ;   0;        ;        ; -17.157;   0.400; 0.020;      ;  61;160.85512;-64.21839
160.8600000;-64.1107500;10432640-6406387; IC2602;   UVES; 6483; 374;   3.935;   0.204;   0.006;   0.035; ;  61.200;        ;   0;        ;        ;  51.893;   0.400; 0.088;      ;  62;160.86000;-64.11075
160.8830000;-63.7919722;10433192-6347311; IC2602;   UVES; 5052;  22;   2.760;   0.045;   0.021;   0.018; ;  16.800;        ;   0;        ;        ; -14.034;   0.400;      ;      ;  63;160.88300;-63.79197
160.8954583;-64.8734167;10433491-6452243; IC2602;   UVES; 4641;  25;   2.453;   0.076;   0.099;   0.035;<;  32.800;        ;   3;   1.018;   0.002; -10.311;   0.400;      ;      ;  64;160.89546;-64.87342
160.9078750;-65.7499167;10433789-6544597; IC2602;   UVES; 7092;    ;   4.030;        ;  -0.140;        ; ;   6.100;        ;   0;        ;        ;   6.999;   0.400; 0.110;      ;  65;160.90787;-65.74992
160.9178750;-64.7395278;10434029-6444223; IC2602;   UVES; 4970;  37;   2.587;   0.103;  -0.260;   0.010;<;  20.200;        ;   3;   1.020;   0.003; -16.456;   0.400;      ;      ;  66;160.91787;-64.73953
160.9739583;-64.1309444;10435375-6407514; IC2602;   UVES; 7094;    ;   4.120;        ;  -0.130;        ; ;  15.900;        ;   0;        ;        ;   1.517;   0.400; 0.052;      ;  67;160.97396;-64.13094
160.9875000;-64.7943611;10435700-6447397; IC2602;   UVES; 6070;    ;   3.790;        ;  -0.040;        ; ;  10.800;        ;   0;        ;        ;  22.312;   0.400; 0.474;      ;  68;160.98750;-64.79436
160.9914583;-64.2783611;10435795-6416421; IC2602;   UVES; 6208;    ;   3.880;        ;  -0.340;        ; ;  80.300;        ;   0;        ;        ;  -3.753;   0.400; 0.027;      ;  69;160.99146;-64.27836
161.0283750;-63.9930833;10440681-6359351; IC2602;   UVES; 5792;  11;   4.466;   0.098;   0.025;   0.007; ; 195.000;        ;   0;        ;        ;  17.404;   0.400; 0.947;      ;  70;161.02837;-63.99308
161.0302917;-63.9157778;10440727-6354568; IC2602;   UVES; 4625;  15;   2.275;   0.090;  -0.002;   0.040;<;  39.600;        ;   3;   1.030;   0.001;   9.363;   0.400;      ;      ;  71;161.03029;-63.91578
161.0347917;-64.0288889;10440835-6401440; IC2602;   UVES; 7427;    ;   4.070;        ;  -0.170;        ; ;   5.200;        ;   0;        ;        ;  -0.480;   0.400; 0.047;      ;  72;161.03479;-64.02889
161.0508750;-64.0625556;10441221-6403452; IC2602;   UVES; 4824;  53;   2.752;   0.065;  -0.419;   0.020;<;  11.700;        ;   3;   1.013;   0.002;  49.523;   0.400;      ;      ;  73;161.05087;-64.06256
161.0608750;-64.9655278;10441461-6457559; IC2602;   UVES; 4917;  34;   2.633;   0.084;  -0.018;   0.021;<;  22.200;        ;   3;   1.021;   0.003;  13.695;   0.400;      ;      ;  74;161.06087;-64.96553
161.0940000;-64.2583611;10442256-6415301; IC2602;   UVES; 5854;  33;   4.509;   0.090;   0.026;   0.060; ; 165.000;        ;   0;        ;        ;  17.444;   0.400; 0.948;      ;  75;161.09400;-64.25836
161.1044167;-64.2610278;10442506-6415397; IC2602;   UVES; 4936;  38;   2.670;   0.096;  -0.092;   0.040;<;  23.600;        ;   3;   1.020;   0.004; -10.464;   0.400;      ;      ;  76;161.10442;-64.26103
161.1235417;-64.1495000;10442965-6408582; IC2602;   UVES; 4799;  11;   2.501;   0.030;   0.057;   0.041; ;  39.300;        ;   0;        ;        ;   7.063;   0.400;      ;      ;  77;161.12354;-64.14950
161.1692083;-64.9425556;10444061-6456332; IC2602;   UVES; 4939;  29;   2.798;   0.071;  -0.017;   0.005;<;  30.500;        ;   3;   1.020;   0.003; -35.371;   0.400;      ;      ;  78;161.16921;-64.94256
161.1895000;-64.3503611;10444548-6421013; IC2602;   UVES; 4751;  13;   2.521;   0.131;  -0.169;   0.115;<;  22.700;        ;   3;   1.018;   0.004; -44.274;   0.400;      ;      ;  79;161.18950;-64.35036
161.2287083;-63.9005000;10445489-6354018; IC2602;   UVES; 4695;  23;   2.089;   0.077;  -0.748;   0.029;<;  18.900;        ;   3;   1.017;   0.002;  47.190;   0.400;      ;      ;  80;161.22871;-63.90050
161.2484167;-65.0386389;10445962-6502191; IC2602;   UVES; 5795;    ;   4.390;        ;   0.070;        ; ; 220.500;        ;   0;        ;        ;  25.035;   0.400; 0.280;      ;  81;161.24842;-65.03864
161.2549583;-64.0335833;10450119-6402009; IC2602;   UVES; -999;    ;        ;        ;        ;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  82;161.25496;-64.03358
161.3336667;-63.9241944;10452008-6355271; IC2602;   UVES; 4966;  40;   3.317;   0.047;   0.066;   0.018;<;  21.700;        ;   3;   1.006;   0.002;  46.440;   0.400;      ;      ;  83;161.33367;-63.92419
161.3677500;-64.2291667;10452826-6413450; IC2602;   UVES; 6426;    ;   3.980;        ;  -0.090;        ; ;  79.100;        ;   0;        ;        ;  19.452;   0.400; 0.883;      ;  84;161.36775;-64.22917
