#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T14:23:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0b96cbb391	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ic4665}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/612/A99/ic4665
#-order=I
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ic4665:
#Name: J/A+A/612/A99/ic4665
#Title: Parameters for IC4665
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
17455679+0601044; IC4665;   UVES; 6285;  75;   4.151;   0.015;   0.167;   0.026; ;  25.300;        ;   0;        ;        ; -35.489;   0.400; 0.027;      ;  17;266.48662;+06.01789
17460709+0555486; IC4665;   UVES; 6080;  42;   4.432;   0.065;   0.098;   0.015; ; 181.150;   1.650;   0;   0.999;   0.002; -16.831;   0.400; 0.365;      ;  18;266.52954;+05.93017
17461845+0528170; IC4665;   UVES; 6058;  17;   4.152;   0.058;   0.099;   0.020; ;  56.100;        ;   0;        ;        ; -36.803;   0.400; 0.024;      ;  19;266.57687;+05.47139
17461964+0534066; IC4665;   UVES; 7055;    ;   4.100;        ;  -0.050;        ; ;  12.300;        ;   0;        ;        ; -28.429;   0.400; 0.049;      ;  20;266.58183;+05.56850
17462473+0517214; IC4665;   UVES; 5960;    ;   4.370;        ;   0.000;        ; ; 157.300;        ;   0;        ;        ; -13.285;   0.400; 0.923;      ;  21;266.60304;+05.28928
17463149+0605280; IC4665;   UVES; 6029;    ;   4.200;        ;   0.020;        ; ; 162.567;   3.290;   0;   0.998;   0.003; -14.651;   0.400; 0.926;      ;  22;266.63121;+06.09111
17470638+0526026; IC4665;   UVES; 6387; 214;   4.070;   0.253;  -0.014;   0.098; ;  34.500;        ;   0;        ;        ;   7.695;   0.400; 0.033;      ;  23;266.77658;+05.43406
17471166+0541502; IC4665;   UVES; 5525;  22;   3.936;   0.050;   0.130;   0.011; ;  37.900;        ;   0;        ;        ; -34.111;   0.400;      ;      ;  24;266.79858;+05.69728
17471544+0556358; IC4665;   UVES; 5733;    ;   4.420;        ;   0.060;        ; ; 233.600;        ;   0;   0.995;   0.002; -13.531;   0.400; 0.913;      ;  25;266.81433;+05.94328
17471599+0535094; IC4665;   UVES; 7661;    ;   4.129;        ;   0.050;        ;<;  28.700;        ;   3;   1.003;   0.001; -11.916;   0.400; 0.075;      ;  26;266.81662;+05.58594
17471834+0530062; IC4665;   UVES; 6229; 132;   3.976;   0.166;  -0.184;   0.166; ;  61.100;   1.650;   0;   1.004;   0.002; -45.949;   0.400; 0.019;      ;  27;266.82642;+05.50172
17473252+0552316; IC4665;   UVES; 6186;  38;   4.280;   0.028;   0.145;   0.011; ;  69.200;        ;   0;        ;        ; -14.465;   0.400; 0.908;      ;  28;266.88550;+05.87544
17473331+0531460; IC4665;   UVES; 5781;    ;   4.380;        ;   0.110;        ; ; 242.800;   2.763;   0;   0.988;   0.002; -13.428;   0.400; 0.949;      ;  29;266.88879;+05.52944
17474322+0540474; IC4665;   UVES; 7099;    ;   4.030;        ;  -0.130;        ; ;   8.300;        ;   0;        ;        ;  21.559;   0.400; 0.019;      ;  30;266.93008;+05.67983
17474907+0532396; IC4665;   UVES; 4925;  39;   4.531;   0.032;  -0.035;   0.053; ;  19.800;        ;   0;        ;        ; -10.978;   0.400;      ;      ;  31;266.95446;+05.54433
17475250+0513595; IC4665;   UVES; 6317;    ;   3.880;        ;  -0.010;        ; ;  76.900;        ;   0;        ;        ; -35.632;   0.400; 0.026;      ;  32;266.96875;+05.23319
17475820+0559576; IC4665;   UVES; 5908;  11;   3.963;   0.003;   0.040;   0.011; ;  56.400;        ;   0;        ;        ; -20.963;   0.400;      ;      ;  33;266.99250;+05.99933
17480498+0548421; IC4665;   UVES; 5239;    ;   4.520;        ;  -0.050;        ; ; 257.200;        ;   0;        ;        ; -13.983;   0.400; 0.940;      ;  34;267.02075;+05.81169
17442333+0602275; IC4665;GIRAFFE; 4597;    ;   3.971;        ;  -0.030;        ; ; 207.800;        ;    ;   0.903;        ; -25.151;   0.988; 0.047;      ;  35;266.09721;+06.04097
17442342+0555437; IC4665;GIRAFFE; 5084; 172;   4.070;        ;  -0.047;   0.086;<;  25.400;        ;   3;   0.977;   0.011;  -5.765;   0.325;      ;      ;  36;266.09758;+05.92881
17442485+0556585; IC4665;GIRAFFE; 4519;   4;   4.529;   0.061;  -0.046;   0.072;<;  22.100;        ;   3;   0.938;   0.006;   0.280;   0.251;      ;      ;  37;266.10354;+05.94958
17442698+0551456; IC4665;GIRAFFE; 3647;  23;   4.231;        ;  -0.190;        ; ; 175.600;        ;   0;   0.829;   0.010; -16.155;   0.423; 0.462;      ;  38;266.11242;+05.86267
17442847+0523464; IC4665;GIRAFFE; 5230;  35;   3.599;   0.016;   0.044;   0.102; ;  41.900;        ;   0;   0.997;   0.007;  25.365;   0.258;      ;      ;  39;266.11862;+05.39622
17443019+0542317; IC4665;GIRAFFE; 3926;    ;   4.260;        ;  -0.001;        ;<;  80.100;        ;   3;   0.871;   0.017; -29.159;   0.395; 0.030;      ;  40;266.12579;+05.70881
17443040+0529030; IC4665;GIRAFFE; 5611;   8;   4.110;   0.041;   0.064;   0.053; ;  42.833;   4.265;   0;   0.988;   0.005; -11.222;   0.254;      ;      ;  41;266.12667;+05.48417
17443177+0518564; IC4665;GIRAFFE; 4895;  57;   4.362;   0.087;   0.032;   0.031;<;  25.400;        ;   3;   0.966;   0.004;  11.135;   0.243;      ;      ;  42;266.13237;+05.31567
17443184+0555058; IC4665;GIRAFFE; 3945; 240;   4.511;   0.073;  -0.150;        ; ; 120.700;        ;   0;   0.820;   0.011; -13.600;   0.296; 0.951;      ;  43;266.13267;+05.91828
17443216+0529099; IC4665;GIRAFFE; 5968; 110;   4.163;   0.058;   0.051;   0.089; ;  46.067;   5.815;   0;   0.994;   0.004; -13.444;   0.246;      ;      ;  44;266.13400;+05.48608
17443272+0522466; IC4665;GIRAFFE; 5021; 231;   2.786;        ;  -0.298;   0.087; ;  17.833;   1.640;   0;   1.008;   0.002; -79.546;   0.240;      ;      ;  45;266.13633;+05.37961
17443418+0518051; IC4665;GIRAFFE; 4596;   2;   2.207;   0.201;  -0.274;   0.115;<;  30.600;        ;   3;   1.026;   0.005;  49.071;   0.245;      ;      ;  46;266.14242;+05.30142
17443585+0539160; IC4665;GIRAFFE; 5179; 153;   3.910;        ;   0.059;   0.102;<;  35.100;        ;   3;   0.967;   0.013; -15.752;   0.336;      ;      ;  47;266.14937;+05.65444
17443619+0554141; IC4665;GIRAFFE; 4371; 246;   4.665;   0.121;  -0.139;   0.056; ;  35.800;        ;   0;   0.885;   0.005;   8.223;   0.248;      ;      ;  48;266.15079;+05.90392
17443667+0537161; IC4665;GIRAFFE; 6291;    ;   3.890;        ;  -0.010;        ; ;  51.500;   6.975;   0;   1.008;   0.003;   2.767;   0.271;      ;      ;  49;266.15279;+05.62114
17443691+0536555; IC4665;GIRAFFE; 5238; 296;   2.815;        ;  -0.546;   0.135;<;  19.800;        ;   3;   1.006;   0.010; -43.024;   0.352;      ;      ;  50;266.15379;+05.61542
17443784+0525421; IC4665;GIRAFFE; 4702;  42;   2.666;   0.126;   0.002;   0.027;<;  38.000;        ;   3;   1.015;   0.005; -67.015;   0.244;      ;      ;  51;266.15767;+05.42836
17443819+0516522; IC4665;GIRAFFE; 5464;    ;   2.924;        ;  -0.290;        ; ;  22.900;        ;   0;   1.011;   0.005;  41.867;   0.260;      ;      ;  52;266.15912;+05.28117
17443820+0536180; IC4665;GIRAFFE; 5023;    ;   2.960;        ;  -0.280;        ;<;  39.300;        ;   3;   1.030;   0.014;-119.846;   0.379;      ;      ;  53;266.15917;+05.60500
17443887+0542306; IC4665;GIRAFFE; 4990;  94;   2.775;        ;  -0.377;   0.189; ;  18.300;   2.595;   0;   1.011;   0.004;  83.365;   0.246;      ;      ;  54;266.16196;+05.70850
17443893+0539341; IC4665;GIRAFFE; 5769; 132;   4.028;        ;   0.007;   0.080;<;  24.500;        ;   3;   0.992;   0.005;  44.359;   0.253;      ;      ;  55;266.16221;+05.65947
17443897+0536053; IC4665;GIRAFFE; 4421;    ;   2.834;        ;  -0.440;        ; ;  49.200;        ;    ;   1.009;        ;-132.802;   0.321;      ;      ;  56;266.16237;+05.60147
17444130+0542524; IC4665;GIRAFFE; 5111;  69;   3.091;        ;  -0.168;   0.138; ;  33.000;        ;   0;   1.011;   0.004;  23.859;   0.245;      ;      ;  57;266.17208;+05.71456
17444177+0530043; IC4665;GIRAFFE; 5266; 130;   4.206;   0.020;   0.093;   0.058;<;  17.800;        ;   3;   0.981;   0.005; -15.781;   0.246;      ;      ;  58;266.17404;+05.50119
17444213+0527167; IC4665;GIRAFFE; 5751;  18;   3.503;        ;  -0.149;   0.073; ;  31.750;   1.860;   0;   1.007;   0.003;  25.433;   0.242;      ;      ;  59;266.17554;+05.45464
17444266+0554454; IC4665;GIRAFFE; 4739; 113;   2.847;        ;  -0.281;   0.144;<;  11.100;        ;   3;   1.023;   0.005; -79.899;   0.245;      ;      ;  60;266.17775;+05.91261
17444331+0547537; IC4665;GIRAFFE; 5269; 309;   2.703;        ;  -0.507;   0.227;<;  28.700;        ;   3;   1.030;   0.012; -30.708;   0.436;      ;      ;  61;266.18046;+05.79825
17444351+0544201; IC4665;GIRAFFE; 5783; 107;   4.151;   0.027;   0.106;   0.005;<;  15.200;        ;   3;   0.993;   0.003; -11.979;   0.243;      ;      ;  62;266.18129;+05.73892
17444501+0602115; IC4665;GIRAFFE; 3625;  21;   4.247;        ;  -0.210;        ; ;  92.200;        ;   0;   0.827;   0.012; -31.336;   0.285; 0.027;      ;  63;266.18754;+06.03653
17444611+0538404; IC4665;GIRAFFE; 4956; 202;   4.344;   0.101;  -0.189;   0.027;<;   8.400;        ;   3;   0.966;   0.004;  44.468;   0.243;      ;      ;  64;266.19212;+05.64456
17444642+0533555; IC4665;GIRAFFE; 4831;    ;   4.039;        ;  -0.232;        ;<;  24.300;        ;   3;   0.946;   0.007; -24.587;   0.253;      ;      ;  65;266.19342;+05.56542
17444715+0548020; IC4665;GIRAFFE; 5085; 108;   3.432;        ;  -0.384;   0.082;<;  40.400;        ;   3;   0.994;   0.007;  41.362;   0.268;      ;      ;  66;266.19646;+05.80056
17444882+0529193; IC4665;GIRAFFE; 5225;  43;   4.065;   0.099;  -0.116;   0.038;<;   8.200;        ;   3;   0.986;   0.004; -13.774;   0.247;      ;      ;  67;266.20342;+05.48869
17444951+0522105; IC4665;GIRAFFE; 5114; 302;   2.763;        ;  -0.481;   0.198;<;  24.600;        ;   3;   1.009;   0.005;  79.646;   0.250;      ;      ;  68;266.20629;+05.36958
17445068+0527176; IC4665;GIRAFFE; 4730; 112;   4.605;   0.073;  -0.097;   0.025;<;   5.800;        ;   3;   0.944;   0.004;  22.617;   0.252;      ;      ;  69;266.21117;+05.45489
17445249+0548354; IC4665;GIRAFFE; 4488; 120;   2.543;        ;  -0.200;   0.177; ;  45.033;   6.389;   0;   1.026;   0.004; -10.646;   0.243;      ;      ;  70;266.21871;+05.80983
17445275+0527104; IC4665;GIRAFFE; 5040; 177;   3.021;        ;  -0.385;   0.100; ;  22.600;        ;   0;   1.002;   0.004; -70.415;   0.242;      ;      ;  71;266.21979;+05.45289
17445329+0547051; IC4665;GIRAFFE; 5035; 154;   3.052;        ;  -0.113;   0.183;<;  21.400;        ;   3;   1.003;   0.003;  30.641;   0.242;      ;      ;  72;266.22204;+05.78475
17445399+0514548; IC4665;GIRAFFE; 5777;    ;   4.275;        ;  -0.365;        ; ;  64.700;   3.085;   0;   1.000;   0.004; -16.364;   0.254;      ;      ;  73;266.22496;+05.24856
17445421+0539489; IC4665;GIRAFFE; 4843; 226;   3.886;        ;  -0.068;   0.030; ;  34.400;        ;   0;   0.973;   0.005; -18.976;   0.258;      ;      ;  74;266.22587;+05.66358
17445460+0513165; IC4665;GIRAFFE; 5094;  54;   3.380;        ;  -0.296;   0.206;<;   7.100;        ;   3;   1.006;   0.005;  12.715;   0.250;      ;      ;  75;266.22750;+05.22125
17445460+0539152; IC4665;GIRAFFE; 6163;  37;   3.862;   0.043;  -0.071;   0.013;<;   9.600;        ;   3;   1.005;   0.002; -13.525;   0.248; 0.943;      ;  76;266.22750;+05.65422
17445499+0526447; IC4665;GIRAFFE; 4140; 118;   4.654;   0.097;   0.023;   0.182;<;  26.800;        ;   3;   0.862;   0.007;  18.467;   0.262;      ;      ;  77;266.22912;+05.44575
17445500+0523478; IC4665;GIRAFFE; 5017; 122;   2.950;        ;  -0.073;   0.096;<;  29.000;        ;   3;   1.007;   0.005; -30.205;   0.246;      ;      ;  78;266.22917;+05.39661
17445512+0518222; IC4665;GIRAFFE; 5119;   7;   3.649;   0.008;  -0.146;   0.151; ;  18.000;   3.096;   0;   0.997;   0.005; -13.445;   0.247;      ;      ;  79;266.22967;+05.30617
17445512+0538520; IC4665;GIRAFFE; 4613;  14;   4.470;        ;  -0.118;   0.011;<;  25.400;        ;   3;   0.931;   0.006;  19.208;   0.248;      ;      ;  80;266.22967;+05.64778
17445522+0546182; IC4665;GIRAFFE; 4992;  81;   3.070;        ;  -0.225;   0.132;<;  18.900;        ;   3;   1.013;   0.004;  61.133;   0.245;      ;      ;  81;266.23008;+05.77172
17445628+0535087; IC4665;GIRAFFE; 4648; 310;   2.790;        ;  -0.161;   0.319;<;  31.600;        ;   3;   1.017;   0.008;  23.139;   0.259;      ;      ;  82;266.23450;+05.58575
17445666+0534379; IC4665;GIRAFFE; 5094;    ;   3.280;        ;  -0.070;        ;<;  15.700;        ;   3;   1.020;   0.003; -19.546;   0.241;      ;      ;  83;266.23608;+05.57719
17445810+0551329; IC4665;GIRAFFE; 5512; 124;   4.486;   0.035;  -0.045;   0.073; ; 223.633;   5.583;   0;   0.993;   0.004; -14.112;   0.248;      ;      ;  84;266.24208;+05.85914
17445859+0514317; IC4665;GIRAFFE; 5516; 203;   3.968;   0.017;  -0.083;   0.075;<;  10.200;        ;   3;   0.994;   0.003; -74.777;   0.243;      ;      ;  85;266.24412;+05.24214
17445883+0529395; IC4665;GIRAFFE; 5176;   0;   3.747;   0.152;  -0.139;   0.089;<;  19.200;        ;   3;   1.000;   0.004; -12.525;   0.245;      ;      ;  86;266.24512;+05.49431
17450031+0542442; IC4665;GIRAFFE; 4977; 152;   3.450;        ;  -0.235;   0.151; ;  20.300;        ;   0;   1.006;   0.004; -57.911;   0.244;      ;      ;  87;266.25129;+05.71228
17450096+0537407; IC4665;GIRAFFE; 4282; 276;   4.202;        ;  -0.247;   0.086; ;  17.550;   3.350;   0;   0.902;   0.005;  -4.949;   0.249;      ;      ;  88;266.25400;+05.62797
17450156+0556223; IC4665;GIRAFFE; 4048;  78;   4.560;   0.029;   0.088;   0.267; ;  63.200;        ;   0;   0.862;   0.010; -68.212;   0.267; 0.006;      ;  89;266.25650;+05.93953
17450157+0539316; IC4665;GIRAFFE; 5281; 203;   3.279;        ;  -0.428;   0.138; ;  20.000;   2.785;   0;   1.002;   0.004; -18.577;   0.254;      ;      ;  90;266.25654;+05.65878
17450217+0535374; IC4665;GIRAFFE; 4873; 254;   2.628;        ;  -0.166;   0.207;<;  24.100;        ;   3;   1.017;   0.005;  28.804;   0.247;      ;      ;  91;266.25904;+05.59372
17450296+0523592; IC4665;GIRAFFE; 4986;  97;   3.200;        ;  -0.258;   0.210;<;  13.000;        ;   3;   1.010;   0.003;  51.337;   0.242;      ;      ;  92;266.26233;+05.39978
17450327+0540388; IC4665;GIRAFFE; 4388; 249;   4.375;   0.007;   0.086;   0.214;<;  16.700;        ;   3;   0.908;   0.006; -68.574;   0.248;      ;      ;  93;266.26362;+05.67744
17450439+0559410; IC4665;GIRAFFE; 4883;    ;   4.471;        ;  -0.200;        ;<;  22.900;        ;   3;   0.928;   0.009; -88.471;   0.321;      ;      ;  94;266.26829;+05.99472
17450471+0524488; IC4665;GIRAFFE; 4561; 138;   2.237;   0.199;  -0.132;   0.079;<;  21.400;        ;   3;   1.021;   0.002;   2.441;   0.240;      ;      ;  95;266.26962;+05.41356
17450496+0541287; IC4665;GIRAFFE; 4072;    ;   4.860;        ;  -0.076;        ; ;  29.500;        ;    ;   1.044;        ;-101.806;   0.385;      ;      ;  96;266.27067;+05.69131
17450500+0513517; IC4665;GIRAFFE; 5688; 117;   3.788;        ;   0.180;   0.041; ;  33.400;   2.490;   0;   1.002;   0.003; -35.055;   0.242;      ;      ;  97;266.27083;+05.23103
17450514+0531171; IC4665;GIRAFFE; 4696; 121;   2.125;   0.029;  -0.301;   0.046;<;  15.000;        ;   3;   1.020;   0.004;  18.044;   0.243;      ;      ;  98;266.27142;+05.52142
17450570+0536105; IC4665;GIRAFFE; 4596; 220;   4.577;   0.036;  -0.139;   0.074; ;  28.867;   4.556;   0;   0.925;   0.006;  41.230;   0.247;      ;      ;  99;266.27375;+05.60292
17450599+0520492; IC4665;GIRAFFE; 4780;   5;   3.509;        ;   0.087;   0.009;<;  37.100;        ;   3;   0.999;   0.006;   1.612;   0.246;      ;      ; 100;266.27496;+05.34700
17450613+0551064; IC4665;GIRAFFE; 4189;  94;   4.688;   0.167;   0.059;   0.208;<;  17.800;        ;   3;   0.869;   0.010;  23.519;   0.279; 0.010;      ; 101;266.27554;+05.85178
17450746+0550594; IC4665;GIRAFFE; 4996; 144;   3.340;        ;  -0.317;   0.228;<;  35.400;        ;   3;   1.021;   0.006; -47.796;   0.251;      ;      ; 102;266.28108;+05.84983
17450789+0530219; IC4665;GIRAFFE; 5048; 146;   4.099;   0.077;   0.047;   0.050;<;  20.800;        ;   3;   0.976;   0.003; -24.436;   0.241;      ;      ; 103;266.28287;+05.50608
17450816+0604037; IC4665;GIRAFFE; 6085; 114;   4.102;   0.105;  -0.163;   0.112; ;  35.033;   5.587;   0;   0.997;   0.003;  37.396;   0.253; 0.014;      ; 104;266.28400;+06.06769
