#THE EVOLUTION OF THE LITHIUM ABUNDANCES OF SOLAR-TYPE STARS. III. THE PLEIADES (1993),,,,,,,,,,,
# SODERBLOM ETAL.: LITHIUM IN THE PLEIADES,,,,,,,,,,,
#Table 2. Lithium abundances for the 6708 ç feature.,,,,,,,,,,,
1.35,-0.196,0.057,0.4,0.747,1.063,1.358,1.628,1.875,2.101,2.312,2.506
1.3,-0.249,0.002,0.347,0.694,1.009,1.305,1.573,1.82,2.046,2.257,2.451
1.25,-0.302,-0.052,0.293,0.64,0.956,1.251,1.519,1.766,1.992,2.202,2.396
1.2,-0.355,-0.107,0.24,0.586,0.903,1.198,1.466,1.713,1.939,2.149,2.342
1.15,-0.409,-0.162,0.186,0.534,0.85,1.146,1.412,1.66,1.886,2.096,2.289
1.1,-0.462,-0.216,0.134,0.482,0.797,1.093,1.359,1.606,1.834,2.043,2.235
1.05,-0.515,-0.271,0.082,0.43,0.745,1.041,1.307,1.555,1.781,1.99,2.182
1,-0.568,-0.326,0.03,0.378,0.693,0.989,1.254,1.503,1.73,1.937,2.13
0.95,-0.621,-0.38,-0.022,0.327,0.641,0.937,1.202,1.452,1.678,1.885,2.078
0.9,-0.674,-0.435,-0.074,0.275,0.589,0.886,1.151,1.4,1.626,1.832,2.026
0.85,-0.728,-0.49,-0.126,0.224,0.538,0.834,1.099,1.349,1.574,1.781,1.974
0.8,-0.781,-0.544,-0.178,0.173,0.487,0.783,1.048,1.297,1.523,1.729,1.923
0.75,-0.834,-0.599,-0.23,0.122,0.436,0.731,0.997,1.246,1.472,1.678,1.872
0.7,-0.887,-0.654,-0.282,0.071,0.385,0.68,0.946,1.195,1.421,1.627,1.821
0.65,-0.94,-0.708,-0.334,0.02,0.334,0.629,0.895,1.144,1.37,1.576,1.769
0.6,-0.994,-0.763,-0.386,-0.03,0.283,0.578,0.844,1.093,1.319,1.524,1.718
0.55,-1.047,-0.817,-0.439,-0.081,0.232,0.527,0.793,1.043,1.268,1.473,1.667
0.5,-1.1,-0.872,-0.491,-0.132,0.182,0.476,0.742,0.992,1.217,1.422,1.616
0.45,-1.153,-0.927,-0.543,-0.183,0.131,0.424,0.692,0.941,1.167,1.372,1.566
0.4,-1.206,-0.981,-0.595,-0.234,0.081,0.374,0.641,0.891,1.116,1.321,1.515
0.35,-1.26,-1.036,-0.647,-0.284,0.03,0.323,0.591,0.84,1.066,1.271,1.465
0.3,-1.313,-1.091,-0.699,-0.335,-0.02,0.273,0.541,0.79,1.015,1.22,1.414
0.25,-1.366,-1.145,-0.751,-0.386,-0.071,0.222,0.49,0.74,0.965,1.17,1.364
0.2,-1.419,-1.2,-0.803,-0.437,-0.121,0.172,0.44,0.689,0.915,1.119,1.313
0.15,-1.472,-1.255,-0.855,-0.487,-0.172,0.122,0.39,0.639,0.864,1.069,1.263
0.1,-1.526,-1.309,-0.907,-0.538,-0.222,0.071,0.34,0.589,0.814,1.018,1.212
0.05,-1.579,-1.364,-0.959,-0.589,-0.273,0.021,0.289,0.539,0.764,0.968,1.162
0,-1.632,-1.419,-1.011,-0.64,-0.323,-0.029,0.239,0.489,0.714,0.918,1.112
