#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:29:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc2516}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ngc2516
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ngc2451
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc2516:
#Name: J/A+A/612/A99/ngc2516
#Title: Parameters for NGC2516
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
07573608-6048128;NGC2516;   UVES; 5601; 115;   4.516;   0.249;  -0.023;   0.092; ; 155.000;   2.000;   0;   0.995;        ;  23.009;   0.400; 0.968;      ;  21;119.40033;-60.80356
07574106-6043386;NGC2516;   UVES; 9250;  50;   4.200;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;  23.156;   0.400; 0.989;      ;  22;119.42108;-60.72739
07574551-6047026;NGC2516;   UVES;10800;2000;   4.449;   1.000;  -0.230;        ; ;        ;        ;    ;        ;        ;  53.181;   0.400; 0.201;      ;  23;119.43962;-60.78406
07574792-6056131;NGC2516;   UVES; 5560; 121;   4.526;   0.227;  -0.002;   0.092; ; 157.500;  17.000;   0;   0.991;        ;  25.369;   0.400; 0.987;      ;  24;119.44967;-60.93697
07575215-6100318;NGC2516;   UVES; 5304; 120;   4.494;   0.247;  -0.087;   0.099; ; 107.400;   2.300;   0;   0.990;        ;  24.453;   0.400; 0.991;      ;  25;119.46729;-61.00883
07575737-6044162;NGC2516;   UVES; 8500;  50;   4.100;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  26;119.48904;-60.73783
07580698-6027260;NGC2516;   UVES; 5029; 113;   3.575;   0.219;  -0.353;   0.094;<;   9.500;        ;   3;   1.000;        ;  74.991;   0.400;      ;      ;  27;119.52908;-60.45722
07583076-6025129;NGC2516;   UVES; 4964; 119;   3.500;   0.247;   0.028;   0.101;<;  13.100;        ;   3;        ;        ;  50.316;   0.400;      ;      ;  28;119.62817;-60.42025
07583206-6053513;NGC2516;   UVES; 8350;  50;   3.800;   0.200;  -0.200;   0.100; ;        ;        ;    ;        ;        ;  37.168;   0.400; 0.412;      ;  29;119.63358;-60.89758
07583485-6103121;NGC2516;   UVES; 6043; 131;   4.683;   0.227;  -0.080;   0.100; ; 133.700;   1.300;   0;   0.997;        ;  23.510;   0.400; 0.978;      ;  30;119.64521;-61.05336
07584257-6040199;NGC2516;   UVES; 5591; 119;   4.432;   0.250;  -0.096;   0.111; ; 109.300;   4.200;   0;   0.996;        ;  25.546;   0.400; 0.992;      ;  31;119.67737;-60.67219
07584349-6051425;NGC2516;   UVES; 5444; 122;   3.821;   0.239;  -0.236;   0.097;<;  10.000;        ;   3;   0.999;        ;  68.802;   0.400;      ;      ;  32;119.68121;-60.86181
07585302-6036106;NGC2516;   UVES; 7750;2000;   5.000;   1.000;  -0.396;        ; ;        ;        ;    ;        ;        ;  23.282;   0.400; 0.990;      ;  33;119.72092;-60.60294
07585971-6110550;NGC2516;   UVES; 5172;    ;   4.018;        ;  -0.151;        ; ; 198.600;        ;    ;   0.985;        ;        ;        ; 0.979;      ;  34;119.74879;-61.18194
07590020-6109585;NGC2516;   UVES; 5592; 120;   4.363;   0.223;  -0.486;   0.098;<;   9.600;        ;   3;   0.993;        ;  15.862;   0.400;      ;      ;  35;119.75083;-61.16625
07591536-6052051;NGC2516;   UVES; 8700;  50;   2.700;   0.200;  -0.300;   0.100; ;        ;        ;    ;        ;        ;  62.006;   0.400; 0.169;      ;  36;119.81400;-60.86808
07592548-6040508;NGC2516;   UVES; 6022; 110;   4.332;   0.220;   0.083;   0.101; ;  30.300;   0.900;   0;   0.996;        ;  17.261;   0.400; 0.605;      ;  37;119.85617;-60.68078
07593210-6048450;NGC2516;   UVES; 5490; 125;   4.740;   0.276;  -0.135;   0.108; ; 219.600;   1.600;   0;   0.994;        ;  50.096;   0.400; 0.161;      ;  38;119.88375;-60.81250
07593671-6021483;NGC2516;   UVES; 5765; 147;   4.819;   0.274;  -0.100;   0.132; ;        ;        ;   0;        ;        ;  49.290;   0.400; 0.175;      ;  39;119.90296;-60.36342
07594121-6109251;NGC2516;   UVES; 6036;    ;   4.233;        ;  -0.158;        ; ;  70.200;        ;    ;   0.996;        ; -19.495;   0.400; 0.207;      ;  40;119.92171;-61.15697
08000021-6040083;NGC2516;   UVES; 5175; 120;   4.393;   0.242;  -0.110;   0.103; ; 140.400;   2.600;   0;   0.982;        ;  22.364;   0.400; 0.952;      ;  41;120.00087;-60.66897
08000767-6040594;NGC2516;   UVES; 7850;  50;   3.000;   0.200;   0.100;   0.100; ;        ;        ;    ;        ;        ;  16.706;   0.400; 0.658;      ;  42;120.03196;-60.68317
08000944-6033355;NGC2516;   UVES; 5896; 123;   4.524;   0.236;  -0.053;   0.092; ; 119.100;   1.600;   0;   0.997;        ;  23.609;   0.400; 0.992;      ;  43;120.03933;-60.55986
08001019-6107367;NGC2516;   UVES; 4827; 113;   2.728;   0.221;  -0.207;   0.095;<;  11.600;        ;   3;   1.020;        ;  34.331;   0.400;      ;      ;  44;120.04246;-61.12686
08002823-6021348;NGC2516;   UVES; 5465; 119;   4.307;   0.222;  -0.375;   0.095;<;  14.200;        ;   3;   0.993;        ;  51.626;   0.400;      ;      ;  45;120.11762;-60.35967
08003117-6108595;NGC2516;   UVES; 5483; 122;   4.471;   0.242;   0.064;   0.104;<;  11.200;        ;   3;        ;        ;  -8.454;   0.400;      ;      ;  46;120.12987;-61.14986
08003141-6036306;NGC2516;   UVES; 7600;  50;   1.900;   0.200;  -0.300;   0.100; ;        ;        ;    ;        ;        ;  15.549;   0.400; 0.592;      ;  47;120.13087;-60.60850
08003446-6042560;NGC2516;   UVES;10700;  50;   3.600;   0.200;  -0.130;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  48;120.14358;-60.71556
08004530-6030299;NGC2516;   UVES; 9300;  50;   4.000;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;  35.802;   0.400; 0.471;      ;  49;120.18875;-60.50831
08012041-6025193;NGC2516;   UVES; 5843; 143;   4.189;   0.254;   0.088;   0.098; ;  23.300;   1.000;   0;   0.996;        ;   1.270;   0.400;      ;      ;  50;120.33504;-60.42203
08012920-6027429;NGC2516;   UVES; 5142; 118;   3.643;   0.239;  -0.222;   0.102;<;  10.700;        ;   3;   1.007;        ; -41.295;   0.400;      ;      ;  51;120.37167;-60.46192
08013658-6059021;NGC2516;   UVES; 5617; 120;   4.393;   0.239;  -0.118;   0.102; ; 141.300;  39.000;   0;        ;        ;  24.204;   0.400; 0.992;      ;  52;120.40242;-60.98392
08014071-6106068;NGC2516;   UVES; 5604; 113;   4.437;   0.235;   0.104;   0.099;<;   8.800;        ;   3;        ;        ;   6.753;   0.400;      ;      ;  53;120.41962;-61.10189
07515457-6047568;NGC2516;GIRAFFE; 4406; 289;   4.830;   0.250;  -0.330;   0.230; ;  34.800;        ;    ;   0.915;        ;   7.440;   0.301; 0.241;      ;  54;117.97737;-60.79911
07515966-6047220;NGC2516;GIRAFFE; 4206; 337;   4.500;   0.110;   0.107;   0.210; ;  53.600;        ;    ;   0.903;        ;  25.700;   0.247; 0.947;      ;  55;117.99858;-60.78944
07520129-6043233;NGC2516;GIRAFFE; 3890; 496;   4.920;   0.590;  -0.966;   0.050; ;  43.100;        ;    ;   0.825;        ;  16.344;   0.842; 0.524;      ;  56;118.00537;-60.72314
07520389-6050116;NGC2516;GIRAFFE; 4193; 233;   4.880;   0.390;   0.073;   0.190; ;  41.800;        ;    ;   0.883;        ;  25.475;   0.246; 0.962;      ;  57;118.01621;-60.83656
07521002-6044245;NGC2516;GIRAFFE; 4124; 339;   4.610;   0.130;   0.090;   0.190; ;  45.700;        ;    ;   0.887;        ;  25.557;   0.250; 0.957;      ;  58;118.04175;-60.74014
07521382-6047151;NGC2516;GIRAFFE; 3929; 192;   4.650;   0.110;   0.043;   0.200; ;  54.800;        ;    ;   0.844;        ;  24.010;   0.268; 0.993;      ;  59;118.05758;-60.78753
07521911-6039241;NGC2516;GIRAFFE; 3725; 491;   4.700;   0.170;  -1.167;        ; ; 136.900;        ;    ;   0.792;        ;  -6.302;   0.702; 0.098;      ;  60;118.07962;-60.65669
07522464-6043006;NGC2516;GIRAFFE; 3833; 168;   4.290;   0.260;   0.001;   0.190; ; 119.600;        ;    ;   0.863;        ;  -2.580;   0.576; 0.122;      ;  61;118.10267;-60.71683
07523060-6049134;NGC2516;GIRAFFE; 3602; 122;   4.590;   0.120;  -0.066;   0.140; ; 180.700;        ;    ;   0.799;        ;  23.431;   0.319; 0.992;      ;  62;118.12750;-60.82039
07523629-6046405;NGC2516;GIRAFFE; 3899; 306;   4.850;   0.210;   0.004;   0.120; ; 132.400;        ;    ;   0.790;        ;  31.300;   0.362; 0.528;      ;  63;118.15121;-60.77792
07524604-6039537;NGC2516;GIRAFFE; 4106; 302;   4.650;   0.160;   0.079;   0.200; ;  33.400;        ;    ;   0.881;        ;  23.715;   0.252; 0.993;      ;  64;118.19183;-60.66492
07525073-6054177;NGC2516;GIRAFFE; 3905; 428;   4.650;   0.130;   0.039;   0.190; ;  50.200;        ;    ;        ;        ;  35.319;   2.852; 0.406;      ;  65;118.21137;-60.90492
07525994-6053288;NGC2516;GIRAFFE; 3936; 180;   4.760;   0.210;   0.030;   0.190; ;  90.000;        ;    ;   0.838;        ;  23.800;   0.287; 0.993;      ;  66;118.24975;-60.89133
07530001-6042137;NGC2516;GIRAFFE; 3961; 347;   4.590;   0.200;  -0.335;   0.180; ;  82.600;        ;    ;   0.852;        ;   6.574;   0.303; 0.214;      ;  67;118.25004;-60.70381
07530057-6048094;NGC2516;GIRAFFE; 3920; 218;   4.680;   0.130;  -0.033;   0.230; ;  59.600;        ;    ;   0.828;        ;  24.643;   0.278; 0.989;      ;  68;118.25237;-60.80261
07530259-6050259;NGC2516;GIRAFFE; 4235; 540;   4.770;   0.250;   0.101;   0.190; ;  19.100;        ;    ;   0.899;        ;  22.333;   0.645; 0.974;      ;  69;118.26079;-60.84053
07531031-6046400;NGC2516;GIRAFFE; 3587; 133;   4.460;   0.120;  -0.046;   0.120; ; 124.000;        ;    ;   0.810;        ;  23.289;   0.330; 0.991;      ;  70;118.29296;-60.77778
07531177-6041390;NGC2516;GIRAFFE; 3837; 215;   4.560;   0.170;  -0.016;   0.130; ; 130.300;        ;    ;   0.828;        ;  23.966;   0.316; 0.993;      ;  71;118.29904;-60.69417
07531326-6043422;NGC2516;GIRAFFE; 4039; 314;   4.900;   0.310;  -0.231;   0.230; ;  58.300;        ;    ;   0.845;        ;   4.050;   0.262; 0.184;      ;  72;118.30525;-60.72839
07532107-6058131;NGC2516;GIRAFFE; 3824; 291;   4.570;   0.100;  -0.006;   0.140; ; 134.800;        ;    ;   0.822;        ;  23.311;   0.386; 0.991;      ;  73;118.33779;-60.97031
07532163-6102129;NGC2516;GIRAFFE; 3651; 192;   4.470;   0.260;  -0.016;   0.130; ; 100.000;        ;    ;   0.821;        ;  24.485;   0.400; 0.991;      ;  74;118.34012;-61.03692
07532312-6102429;NGC2516;GIRAFFE; 3958; 323;   4.570;   0.090;   0.014;   0.200; ;  24.500;        ;    ;   0.857;        ;  23.474;   0.245; 0.992;      ;  75;118.34633;-61.04525
07532554-6037497;NGC2516;GIRAFFE; 3737; 221;   4.750;   0.130;  -0.016;   0.130; ;  81.800;        ;    ;   0.793;        ;   6.264;   0.351; 0.203;      ;  76;118.35642;-60.63047
07533218-6108527;NGC2516;GIRAFFE; 3979; 391;   4.610;   0.100;  -0.313;   0.230; ;  66.100;        ;    ;        ;        ;  54.272;   1.477; 0.122;      ;  77;118.38408;-61.14797
07533937-6039585;NGC2516;GIRAFFE; 3802; 400;   4.930;   0.470;  -0.628;   0.510; ;  68.800;        ;    ;   0.805;        ;  34.612;   0.286; 0.380;      ;  78;118.41404;-60.66625
07534864-6039002;NGC2516;GIRAFFE; 3610; 548;   4.880;   0.190;  -0.168;        ; ; 146.200;        ;    ;   0.798;        ;  48.106;   0.651; 0.139;      ;  79;118.45267;-60.65006
07534951-6111396;NGC2516;GIRAFFE; 4153; 484;   4.180;   0.410;   0.113;   0.210; ;  59.900;        ;    ;   0.924;        ;  29.942;   0.416; 0.642;      ;  80;118.45629;-61.19433
07540165-6045292;NGC2516;GIRAFFE; 3401; 148;   4.960;   0.180;  -0.076;   0.150; ; 135.100;        ;    ;   0.787;        ;  21.536;   0.456; 0.928;      ;  81;118.50687;-60.75811
07540422-6110109;NGC2516;GIRAFFE; 3548; 128;   4.540;   0.140;  -0.066;   0.140; ; 136.600;        ;    ;   0.802;        ;  23.177;   0.316; 0.990;      ;  82;118.51758;-61.16969
07540602-6101251;NGC2516;GIRAFFE; 4109; 396;   4.430;   0.160;   0.067;   0.190; ;  27.933;        ;    ;   0.898;        ;  23.833;   0.253; 0.993;      ;  83;118.52508;-61.02364
07540665-6043081;NGC2516;GIRAFFE; 3941;  33;   2.980;   0.130;  -0.226;   0.120; ;  30.500;        ;    ;   0.971;        ;  62.175;   0.421; 0.089;      ;  84;118.52771;-60.71892
07540943-6107554;NGC2516;GIRAFFE; 4458; 176;   4.780;   0.260;  -0.067;   0.120; ;  39.000;        ;    ;   0.932;        ;  24.749;   0.244; 0.987;      ;  85;118.53929;-61.13206
07541167-6048001;NGC2516;GIRAFFE; 5518; 130;   4.325;   0.248;  -0.113;   0.109; ; 203.100;   1.900;   0;   0.986;        ;  24.149;   0.248;      ;      ;  86;118.54862;-60.80003
07541520-6025485;NGC2516;GIRAFFE; 3877; 362;   4.430;   0.200;  -0.286;   0.320; ; 124.500;        ;    ;   0.835;        ;   5.185;   0.700; 0.187;      ;  87;118.56333;-60.43014
07541553-6058079;NGC2516;GIRAFFE; 5515; 129;   4.537;   0.270;   0.007;   0.117; ; 187.500;   2.400;   0;   0.989;        ;  23.521;   0.243;      ;      ;  88;118.56471;-60.96886
07541858-6041516;NGC2516;GIRAFFE; 3678; 168;   4.790;   0.150;  -0.026;   0.140; ; 147.800;        ;    ;   0.783;        ;  23.288;   0.309; 0.991;      ;  89;118.57742;-60.69767
07541880-6042229;NGC2516;GIRAFFE; 4437; 264;   4.700;   0.220;  -0.012;   0.150; ;  22.400;        ;    ;   0.932;        ;  23.374;   0.243; 0.992;      ;  90;118.57833;-60.70636
07541976-6049150;NGC2516;GIRAFFE; 5368;  74;   4.470;   0.290;   0.062;   0.120; ;  19.600;        ;    ;   0.978;        ;  49.961;   0.250;      ;      ;  91;118.58233;-60.82083
07542108-6027081;NGC2516;GIRAFFE; 4227; 231;   4.850;   0.240;  -0.362;   0.180; ;  27.000;        ;    ;   0.883;        ;  -4.248;   0.264; 0.122;      ;  92;118.58783;-60.45225
07542118-6058130;NGC2516;GIRAFFE; 3870; 409;   4.550;   0.090;  -0.066;   0.130; ;  86.500;        ;    ;   0.818;        ;  24.490;   0.961; 0.990;      ;  93;118.58825;-60.97028
07542124-6111181;NGC2516;GIRAFFE; 4981; 131;   3.270;   0.270;  -0.103;   0.170; ;  27.200;        ;    ;   1.006;        ;   2.154;   0.246;      ;      ;  94;118.58850;-61.18836
07542147-6022136;NGC2516;GIRAFFE; 4074; 327;   4.700;   0.480;  -0.180;   0.140; ;  35.100;        ;    ;   0.891;        ;  28.371;   0.317; 0.734;      ;  95;118.58946;-60.37044
07542312-6041099;NGC2516;GIRAFFE; 3899; 507;   5.170;   0.610;  -0.036;   0.150; ;  64.700;        ;    ;   0.751;        ;  28.633;   1.666; 0.810;      ;  96;118.59633;-60.68608
