Target,B-V,B,V,Sp. Type (Simbad),Sp. Type (Eric),combined,Li EW,REF,split,Li Age (Myr),combined,split,R'HK,REF,R'HK Age,Group Membershipc,Group Agec,Adopted Aged
HD 91901,0.85,9.6,8.75,K2V            ,K2V7,766,7,66,1,1000,0,2,,0,,,,1000
HD 93528,0.802,9.19,8.388,K0V            ,K1V17,1008,100,8,3,260,-4.4246,1,-4.424,6,360,,,310
HIP 53020,1.644,13.319,11.675,M4V            ,M467,,,,3,,0,,,,,Her/Lyr,200,200
HD 96064,0.77,8.41,7.64,G8V            ,G8V68,1148,114,8,3,250,-4.37313,2,-4.373,13,250,,,250
HD 102392,1.154,10.187,9.033,K4.5V          ,K4.5V17,,,,3,,-4.8116,2,-4.81,16,3400,,,3400
HD 105631,,8.26,     ~,G7V            ,K0V69,,,,3,,-4.65021,2,-4.65,21,1500,,,1500
HD 107146,,7.61,     ~,G2V            ,G2V70,1258,125,8,3,180,-4.34021,2,-4.34,21,190,,,190
HD 108767 B,0.95,9.38,8.43,K1             ,K2V71,17572,175,72,3,140,0,2,,0,,,,140
HD 109085,0.38,4.69,4.31,F2V            ,F2V17,3773,37,73,2,100,0,2,,0,,,,100
BD +60 1417,1.01,10.38,9.37,K0             ,K074,968,96,8,2,270,0,2,,0,,,,270
HD 111395,,6.98,     ~,G5V            ,G5V52,,,,3,,-4.58021,2,-4.58,21,1000,,,1000
HD 113449,0.876,8.555,7.679,K1V            ,K1V17,1428,142,8,3,200,-4.34013,2,-4.34,13,190,AB Dor,70,70
HD 116956,,8.09,     ~,G9V            ,G9V68,3124,31,24,2,1000,-4.44713,2,-4.447,13,420,,,710
HD 118100,1.18,10.552,9.372,K5Ve           ,K4.5V68,2515,25,15,2,280,-4.09013,2,-4.09,13,,,,280
HD 124106,0.873,8.819,7.946,K1V            ,K1V17,,,,3,,-4.6756,1,-4.675,6,1700,,,1700
HD 130004,0.88,8.75,7.87,K0V            ,K2.5V68,,,,3,,-4.91913,2,-4.919,13,5100,,,5100
HD 130322,0.78,8.82,8.04,K0V            ,KOIII75,,,,3,,-4.78021,2,-4.78,21,2900,,,2900
HD 130948,0.589,6.456,5.867,F9IV-V         ,G2V52,1168,116,8,3,230,-4.50021,2,-4.5,21,610,,,420
HD 139813,,8.1,     ~,G9V            ,G576,1198,119,8,3,230,-4.40021,2,-4.4,21,300,,,270
HD 141272,0.82,8.242,7.422,K0V            ,G9V68,,,,3,,-4.39021,2,-4.39,21,280,,,280
HIP 81084,1.62,12.9,11.28,K9Vkee         ,K9Vkee77,,,,3,,-4.2106,1,-4.21,6,,AB Dor,70,70
HD 160934,1.19,11.34,10.15,K7Ve           ,K778,4079,40,79,2,280,0,,,,,AB Dor,70,70
HD 166181,0.7,8.4,7.7,G5             ,G5V80,1868,186,8,3,60,0,,,,,,,60
HD 167605,,     ~,     ~,K2V            ,K2V81,1457,14,57,2,500,0,,,,,,,500
HD 187748,0.58,7.22,6.64,G0             ,G063,1148,114,8,3,140,0,,,,,,,140
HD 201651,0.74,8.94,8.2,K0             ,K047,,,,3,,-5.01021,2,-5.01,21,6800,,,6800
HD 202575,1.045,8.923,7.878,K3V            ,K3V68,,,,3,,-4.52213,2,-4.522,13,700,,,700
HIP 106231,1.027,10.28,9.253,K3Vke          ,K3Vke68,1408,140,8,3,180,-3.90613,2,-3.906,13,,AB Dor,70,70
HD 206860,,     ~,     ~,G0V+           ,G0VCH-0.517,11082,110,82,3,190,-4.4006,1,-4.4,6,300,Her/Lyr,200,200
HD 208313,,8.69,     ~,K1             ,K2V68,,,,3,,-4.98713,2,-4.987,13,6400,,,6400
V383 Lac,0.84,9.42,8.58,K1V            ,K083,2598,259,8,3,40,0,,,,,,,40
HD 213845,0.44,5.64,5.2,F7V            ,F5V17,,,,3,,-4.5476,1,-4.547,6,830,Her/Lyr,200,200
HIP 114066,1.42,12.31,10.89,M0.3V          ,M078,,,,3,,0,,,,,AB Dor,70,70
HD 220140,0.89,8.43,7.54,G9V            ,K2Vk68,2188,218,8,3,85,-4.07413,2,-4.074,13,,,,85
HD 221503,1.296,9.903,8.607,K6V            ,K6Vk17,,,,3,,-4.4866,1,-4.486,6,550,,,550
HIP 117410,0.945,10.797,9.852,K5Vke          ,K5Vke17,,,,3,,-4.1946,1,-4.194,6,55,,,55
