# Brandt 2014 Table 1   (with B-V from Simbad querry),,,,,,,,,,,,,      typed ident      ,       identifier        ,"       coord1 (ICRS,J2000/2000)        ",  spec. type   ,#not
Name,       identifier        ,Mag B ,Mag V ,  spec. type   ,Moving Group,Prob Member,logR'HK,log RX,Li EW (mA)/,Prot (days),Referencese,Name,-----------------------,-------------------------,---------------------------------------,---------------,----
HIP 42333,V* V401 Hya              ,7.394,6.725,G8/K0(IV)      ,...,...,-4.55,4.78B,[A] 2.35,6.14,T05; G00,HIP 42333,HIP 42333              ,V* V401 Hya              ,08 37 50.2937802584 -06 48 24.777904953,G8/K0(IV)      ,0
HIP 42430,HD 73752                 ,6,5.17,G3V+K0V        ,...,...,-5.11,6.03B,...,...,...,HIP 42430,HIP 42430              ,HD 73752                 ,08 39 07.90110 -22 39 42.8110          ,G3V+K0V        ,0
HIP 42438,V* pi.01 UMa             ,6.26,5.64,G0.5V          ,UMa,60,-4.37,4.45,120,4.89,W07; G00,HIP 42438,HIP 42438              ,V* pi.01 UMa             ,08 39 11.7043265307 +65 01 15.268273190,G0.5V          ,0
HIP 43726,HD 76151                 ,6.67,6,G2V            ,...,...,-4.64,5.25,19,...,T05,HIP 43726,HIP 43726              ,HD 76151                 ,08 54 17.9469808897 -05 26 04.046487788,G2V            ,0
HIP 49809,HD 88215                 ,5.644,5.296,F3V            ,...,...,,6.22,...,...,...,HIP 49809,HIP 49809              ,HD 88215                 ,10 10 05.8867116081 -12 48 57.321344772,F3V            ,0
HIP 51658,HD 91312                 ,4.921,4.715,A7IV           ,...,...,,<6.27,...,...,...,HIP 51658,HIP 51658              ,HD 91312                 ,10 33 13.8923916117 +40 25 31.944137794,A7IV           ,0
HIP 52462,V* V419 Hya              ,8.596,7.719,K1V            ,...,...,-4.4,4.37,138,13.5,T06; S09,HIP 52462,HIP 52462              ,V* V419 Hya              ,10 43 28.2716326261 -29 03 51.429322869,K1V            ,0
HIP 57632,* bet Leo                ,2.22,2.13,A3Va           ,Argus,90,,<7.29,...,...,...,HIP 57632,HIP 57632              ,* bet Leo                ,11 49 03.57834 +14 34 19.4090          ,A3Va           ,0
HIP 58876,HD 104860                ,8.5,7.91,G0/F9V         ,...,...,-4.36,4.36,122,...,W07,HIP 58876,HIP 58876              ,HD 104860                ,12 04 33.7309194735 +66 20 11.714041465,G0/F9V         ,0
HIP 59774,* del UMa                ,3.41,3.32,A2Vn           ,UMa,95+,,<6.77,...,...,...,HIP 59774,HIP 59774              ,* del UMa                ,12 15 25.5606327 +57 01 57.415606      ,A2Vn           ,0
HIP 60074,HD 107146                ,7.61,     ~,G2V            ,...,...,-4.33,4.33,123,7.13,W07; K02,HIP 60074,HIP 60074              ,HD 107146                ,12 19 06.5022221429 +16 32 53.870713669,G2V            ,0
HIP 61174,* eta Crv                ,4.69,4.31,F2V            ,...,...,,5.59,...,...,...,HIP 61174,HIP 61174              ,* eta Crv                ,12 32 04.2265302 -16 11 45.616473      ,F2V            ,0
HIP 61498,HD 109573                ,5.786,5.774,A0V            ,TW Hya,95+,,5.24,550,...,D09,HIP 61498,HIP 61498              ,HD 109573                ,12 36 01.0317721349 -39 52 10.222698506,A0V            ,1
HIP 61960,* rho Vir                ,4.97,4.88,A0Va_lB        ,...,...,,<6.22,...,...,...,HIP 61960,HIP 61960              ,* rho Vir                ,12 41 53.0567802922 +10 14 08.229084878,A0Va_lB        ,0
HIP 63076,* 8 Dra                  ,5.516,5.225,F3IV           ,...,...,,<6.08,...,...,...,HIP 63076,HIP 63076              ,* 8 Dra                  ,12 55 28.5500146686 +65 26 18.507881543,F3IV           ,0
HIP 63584,HD 113337                ,     ~,     ~,F6V            ,...,...,,5.00B,...,...,...,HIP 63584,HIP 63584              ,HD 113337                ,13 01 46.9272298588 +63 36 36.795768085,F6V            ,1
HIP 69732,* lam Boo                ,4.26,4.18,A0Va_lB        ,...,...,,<6.80,...,...,...,HIP 69732,HIP 69732              ,* lam Boo                ,14 16 23.0187965 +46 05 17.900526      ,A0Va_lB        ,0
HIP 70952,HD 127821                ,     ~,     ~,F4IV           ,...,...,,5.03,...,...,...,HIP 70952,HIP 70952              ,HD 127821                ,14 30 46.0709585740 +63 11 08.832031370,F4IV           ,0
HIP 71284,* sig Boo                ,4.84,4.47,F4VkF2mF1      ,...,...,,5.55,3,...,T05,HIP 71284,HIP 71284              ,* sig Boo                ,14 34 40.8171808483 +29 44 42.463685978,F4VkF2mF1      ,0
HIP 71395,HD 128311                ,8.441,7.446,K3V            ,...,...,-4.52,4.47,[A] 0.3,11.5,M08; W11,HIP 71395,HIP 71395              ,HD 128311                ,14 36 00.5607343227 +09 44 47.453643485,K3V            ,1
HIP 74702,HD 135599                ,7.748,6.905,K0V            ,...,...,-4.5,<5.18,1.4,5.97,G09; G00,HIP 74702,HIP 74702              ,HD 135599                ,15 15 59.1669446403 +00 47 46.901123937,K0V            ,0
HIP 76267,* alf CrB                ,2.22,2.24,A1IV           ,UMa,95+,...,6.64,...,...,...,HIP 76267,HIP 76267              ,* alf CrB                ,15 34 41.26800 +26 42 52.8940          ,A1IV           ,0
HIP 76829,* g Lup                  ,5.04,4.64,F3/5V          ,beta Pic,84,...,4.98,...,...,...,HIP 76829,HIP 76829              ,* g Lup                  ,15 41 11.3769921 -44 39 40.342813      ,F3/5V          ,0
HIP 77542,HD 141569                ,7.2,7.12,A2VekB9mB9(_lB),. . . PMS,...,...,4.45B,500,...,F08,HIP 77542,HIP 77542              ,HD 141569                ,15 49 57.7484743862 -03 55 16.344023102,A2VekB9mB9(_lB),0
HIP 79977,HD 146897                ,9.58,9.11,F2/3V          ,USco,95+,...,<4.27,66,...,C11,HIP 79977,HIP 79977              ,HD 146897                ,16 19 29.2420604682 -21 24 13.271535164,F2/3V          ,0
HIP 82587,* 53 Her                 ,5.64,5.333,F0V            ,...,...,...,5.54,...,...,...,HIP 82587,HIP 82587              ,* 53 Her                 ,16 52 58.0578412498 +31 42 06.014832283,F0V            ,0
HIP 87108,* gam Oph                ,3.8,3.75,A1VnkA0mA0     ,...,...,...,<6.61,...,...,...,HIP 87108,HIP 87108              ,* gam Oph                ,17 47 53.5597327 +02 42 26.199985      ,A1VnkA0mA0     ,0
HIP 87558,HD 162917                ,6.194,5.759,F4IV-V         ,...,...,...,5.33,...,...,...,HIP 87558,HIP 87558              ,HD 162917                ,17 53 14.1854287068 +06 06 05.116741344,F4IV-V         ,0
HIP 92919,HD 175742                ,8.941,8.019,K0V            ,...,...,-4.23,3.12,20,2.91,W07; P05,HIP 92919,HIP 92919              ,HD 175742                ,18 55 53.2251373830 +23 33 23.929225997,K0V            ,0
HIP 95793,* c Aql                  ,5.865,5.783,A0IVp          ,...,...,...,<5.80,...,...,...,HIP 95793,HIP 95793              ,* c Aql                  ,19 29 00.9870438377 +01 57 01.618441082,A0IVp          ,0
HIP 99711,HD 192263                ,8.724,7.767,K1/2V          ,...,...,-4.64,5.07,[A] 0.24,24,G10; S09,HIP 99711,HIP 99711              ,HD 192263                ,20 13 59.8455148268 -00 52 00.771665295,K1/2V          ,1
HIP 107649,HD 207129                ,6.18,5.58,G2V            ,...,...,-4.87,5.61,38,...,T06,HIP 107649,HIP 107649             ,HD 207129                ,21 48 15.7510673466 -47 18 13.020109072,G2V            ,0
HIP 919,V* V344 And              ,8.71,     ~,K0V            ,...,...,-4.35,4.19,122,6.05,W07; W11,HIP 919,HIP 919                ,V* V344 And              ,00 11 22.4373731017 +30 26 58.474326254,K0V            ,0
HD 1405,V* PW And                ,9.78,8.86,K2V            ,AB Dor,95+,...,2.9,267,1.76,D09; M10,HD 1405,HD 1405                ,V* PW And                ,00 18 20.8896176716 +30 57 22.127515298,K2V            ,1
HIP 4907,V* V966 Cas              ,8.42,7.67,G5V            ,...,...,-4.48,4.73,...,12.2,S09,HIP 4907,HIP 4907               ,V* V966 Cas              ,01 02 57.2226974892 +69 13 37.427658063,G5V            ,0
HIP 7235,HD 9540                  ,7.722,6.963,K0V            ,...,...,-4.63,5.14,...,...,...,HIP 7235,HIP 7235               ,HD 9540                  ,01 33 15.8094097330 -24 10 40.655632552,K0V            ,0
HIP 9291,Ross 15                  ,12.9,12.155,M4Ve           ,Columba,75,...,3.04,...,...,...,HIP 9291,HIP 9291               ,Ross 15                  ,01 59 23.5138062650 +58 31 16.105242872,M4Ve           ,0
HIP 11072,* kap For                ,5.8,5.19,G0V            ,...,...,-5,4.51,50,...,T06,HIP 11072,HIP 11072              ,* kap For                ,02 22 32.6034277561 -23 49 00.487776704,G0V            ,1
HIP 12530,* 84 Cet                 ,6.23,5.71,F7V            ,...,...,-4.45,4.54,...,...,...,HIP 12530,HIP 12530              ,* 84 Cet                 ,02 41 13.99720 -00 41 44.3845          ,F7V            ,0
HIP 12926,HD 17190                 ,8.66,     ~,K1             ,...,...,-4.93,<5.08,...,...,...,HIP 12926,HIP 12926              ,HD 17190                 ,02 46 15.2062288402 +25 38 59.641252327,K1             ,0
HIP 13081,HD 17382                 ,8.46,     ~,K2             ,...,...,-4.57,4.47,...,...,...,HIP 13081,HIP 13081              ,HD 17382                 ,02 48 09.1505304050 +27 04 07.109092260,K2             ,0
HIP 14150,* 51 Ari                 ,     ~,     ~,G8V            ,...,...,-4.86,6.03,3,...,T05,HIP 14150,HIP 14150              ,* 51 Ari                 ,03 02 26.0262812920 +26 36 33.260208751,G8V            ,0
HIP 14954,* 94 Cet                 ,5.631,5.07,F8.5V          ,...,...,-4.55,<6.10,12,...,T05,HIP 14954,HIP 14954              ,* 94 Cet                 ,03 12 46.4369076602 -01 11 45.949836281,F8.5V          ,1
HIP 15323,HD 20367                 ,6.962,6.399,F8V            ,...,...,-4.47,4.49,[A] 2.67,...,Go10,HIP 15323,HIP 15323              ,HD 20367                 ,03 17 40.0466570902 +31 07 37.358433303,F8V            ,1
BD_19 660,BD-19 660                ,11.4,10.32,K7V            ,...,...,...,<3.53,...,...,...,BD_19 660,BD+19 660              ,HD 285346                ,04 06 04.6499156066 +19 29 11.312721532,A3             ,0
HIP 16537,* eps Eri                ,4.61,3.73,K2V            ,...,...,-4.52,4.68,1,11.68,T05; W11,HIP 16537,HIP 16537              ,* eps Eri                ,03 32 55.8449634 -09 27 29.731165      ,K2V            ,1
HIP 17695,G 80-21                  ,13.048,11.537,M3.0V          ,...,...,...,3.07,0,3.87,D09; M10,HIP 17695,HIP 17695              ,G 80-21                  ,03 47 23.3412010775 -01 58 19.945342289,M3.0V          ,0
HIP 21482,HD 283750                ,9.354,     ~,K2.5Ve         ,...,...,-4.06,3.05,[A] 0.47,...,Mi12,HIP 21482,HIP 21482              ,HD 283750                ,04 36 48.2413370074 +27 07 55.898311812,K2.5Ve         ,1
HIP 22449,* pi.03 Ori              ,3.63,3.19,F6V            ,...,...,-4.71,4.99,...,...,...,HIP 22449,HIP 22449              ,* pi.03 Ori              ,04 49 50.4109057 +06 57 40.588294      ,F6V            ,0
HIP 23200,V* V1005 Ori             ,11.48,10.107,M0Ve           ,beta Pic,95+,-4.06,3.2,270,1.86,T06; W11,HIP 23200,HIP 23200              ,V* V1005 Ori             ,04 59 34.8341800543 +01 47 00.672080375,M0Ve           ,0
HIP 30920,Ross 614                 ,12.764,11.071,M4.5V          ,...,...,...,3.30B,...,0.39,W11,HIP 30920,HIP 30920              ,Ross 614                 ,06 29 23.3915175239 -02 48 48.803911021,M4.5V          ,0
HIP 37766,V* YZ CMi                ,12.831,11.225,M4.0Ve         ,...,...,-3.62,3,...,2.78,W11,HIP 37766,HIP 37766              ,V* YZ CMi                ,07 44 40.1726285952 +03 33 08.877830321,M4.0Ve         ,0
HIP 43410,HD 75332                 ,6.738,6.21,F7Vs           ,...,...,-4.5,4.35,...,...,...,HIP 43410,HIP 43410              ,HD 75332                 ,08 50 32.2225492041 +33 17 06.200101841,F7Vs           ,0
HIP 44458,HD 77407                 ,     ~,     ~,G0V+M3V-M6V    ,...,...,-4.3,3.93B,170,2.86,W07; W11,HIP 44458,HIP 44458              ,HD 77407                 ,09 03 27.0836286593 +37 50 27.500788701,G0V+M3V-M6V    ,0
HD 78141,HD 78141                 ,8.87,7.98,K0             ,...,...,...,3.86,...,...,...,HD 78141,HD 78141               ,HD 78141                 ,09 07 18.0735926495 +22 52 21.500667554,K0             ,0
HIP 46816,V* LQ Hya                ,8.761,7.891,K1Vp           ,...,...,-4.02,3.01,245,1.7,W07; W11,HIP 46816,HIP 46816              ,V* LQ Hya                ,09 32 25.5684079124 -11 11 04.687410738,K1Vp           ,0
HIP 51386,HD 90905                 ,     ~,     ~,G1V            ,...,...,-4.46,4.19,130,2.6,W07; W11,HIP 51386,HIP 51386              ,HD 90905                 ,10 29 42.2300405874 +01 29 28.039591756,G1V            ,0
HIP 51931,V* V418 Hya              ,9.6,8.75,K2V            ,...,...,-4.55,4.92,...,...,...,HIP 51931,HIP 51931              ,V* V418 Hya              ,10 36 30.7920596561 -13 50 35.822438599,K2V            ,0
HIP 52787,HD 93528                 ,9.19,8.388,K0V            ,...,...,-4.46,4.42,100,...,T06,HIP 52787,HIP 52787              ,HD 93528                 ,10 47 31.1543128244 -22 20 52.914739349,K0V            ,0
HIP 54745,HD 97334                 ,7.02,     ~,G2             ,...,...,-4.42,4.52,[A] 2.55,7.6,M08; W11,HIP 54745,HIP 54745              ,HD 97334                 ,11 12 32.3505448605 +35 48 50.691547084,G2             ,0
HIP 57370,HD 102195                ,     ~,     ~,K0V            ,...,...,-4.59,5.12,[A] 0.46,12.3,G10; W11,HIP 57370,HIP 57370              ,HD 102195                ,11 45 42.2927799874 +02 49 17.326151286,K0V            ,1
HIP 57494,HD 102392                ,10.187,9.033,K4.5V          ,...,...,-4.92,<4.35,...,...,...,HIP 57494,HIP 57494              ,HD 102392                ,11 47 03.8362418 -11 49 26.582256      ,K4.5V          ,0
HD 108767B,* del Crv B              ,9.38,8.43,K1             ,...,...,...,4.47,...,...,...,HD 108767B,HD 108767B             ,* del Crv B              ,12 29 50.8907908157 -16 31 15.206614589,K1             ,0
BD+60 1417,BD+60 1417               ,10.38,9.37,K0             ,...,...,,4.2,...,...,...,BD+60 1417,BD+60 1417             ,BD+60 1417               ,12 43 33.2724292242 +60 00 52.704974821,K0             ,0
HIP 62523,HD 111395                ,6.98,     ~,G5V            ,...,...,-4.62,5.08,[A] 1.5,15.8,M08; S09,HIP 62523,HIP 62523              ,HD 111395                ,12 48 47.0482457374 +24 50 24.820252955,G5V            ,0
HIP 63742,V* PX Vir                ,8.555,7.679,K1V            ,AB Dor,95+,-4.43,4.26,142,6.47,D09; W11,HIP 63742,HIP 63742              ,V* PX Vir                ,13 03 49.6546871 -05 09 42.517119      ,K1V            ,0
HIP 65016,Ross 1007                ,12.16,     ~,M2V            ,...,...,-4.91,<4.47,...,...,...,HIP 65016,HIP 65016              ,Ross 1007                ,13 19 40.1257231213 +33 20 47.508531100,M2V            ,0
HIP 65515,HD 116956                ,8.09,     ~,G9V            ,...,...,-4.47,4.36,[A] 1.65,4.27,M08; S09,HIP 65515,HIP 65515              ,HD 116956                ,13 25 45.5322829115 +56 58 13.777493409,G9V            ,0
HIP 67092,BD-03 3527               ,11.87,10.51,K5V            ,...,...,...,<4.11,...,...,...,HIP 67092,HIP 67092              ,BD-03 3527               ,13 45 05.3381348216 -04 37 13.230582396,K5V            ,0
HIP 69357,HD 124106                ,8.819,7.946,K1V            ,...,...,-4.6,5.27,...,...,...,HIP 69357,HIP 69357              ,HD 124106                ,14 11 46.1729852985 -12 36 42.359255041,K1V            ,0
HD 234121,HD 234121                ,9.17,     ~,K1V            ,...,...,-4.28,4.61,...,...,...,HD 234121,HD 234121              ,HD 234121                ,14 16 12.1682475799 +51 22 34.752130075,K1V            ,0
HIP 71631,V* EK Dra                ,8.243,7.604,G1.5V          ,...,...,-4.19,3.52,196,2.67,W07; W11,HIP 71631,HIP 71631              ,V* EK Dra                ,14 39 00.2109485496 +64 17 29.977371998,G1.5V          ,0
HIP 72146,HD 130004                ,8.75,7.87,K0V            ,...,...,-4.93,<5.08,...,...,...,HIP 72146,HIP 72146              ,HD 130004                ,14 45 24.1828329287 +13 50 46.736270265,K0V            ,0
HIP 72339,HD 130322                ,8.82,8.04,K0V            ,...,...,-4.72,<4.93,[A] 0.38,...,G10,HIP 72339,HIP 72339              ,HD 130322                ,14 47 32.7265637197 -00 16 53.305928889,K0V            ,1
HIP 72567,HD 130948                ,6.456,5.867,F9IV-V         ,...,...,-4.46,4.65,[A] 2.8,7.85,M08; S09,HIP 72567,HIP 72567              ,HD 130948                ,14 50 15.8107686483 +23 54 42.633203114,F9IV-V         ,0
HIP 74045,HD 135363                ,     ~,     ~,G5V+M2V-M4V    ,...,...,-3.99,2.92B,228,1.9,W07; W11,HIP 74045,HIP 74045              ,HD 135363                ,15 07 56.2503196449 +76 12 02.714809400,G5V+M2V-M4V    ,0
HIP 75829,HD 139813                ,8.1,     ~,G9V            ,...,...,-4.4,3.8,145,...,W07,HIP 75829,HIP 75829              ,HD 139813                ,15 29 23.5931591580 +80 27 00.965985712,G9V            ,1
HIP 77408,HD 141272                ,8.242,7.422,K0V            ,...,...,-4.46,4.41,[A] 0.50,14.05,M08; W11,HIP 77408,HIP 77408              ,HD 141272                ,15 48 09.4631713406 +01 34 18.270084754,K0V            ,0
HIP 79755,HD 147379                ,10.01,     ~,M1-Ve          ,...,...,-4.92,4.39,...,...,...,HIP 79755,HIP 79755              ,HD 147379                ,16 16 42.7466017485 +67 14 19.830690618,M1-Ve          ,0
HIP 80824,BD-12 4523               ,11.638,10.072,M3V            ,...,...,-5.31,5.11,...,...,...,HIP 80824,HIP 80824              ,BD-12 4523               ,16 30 18.0582010683 -12 39 45.323235188,M3V            ,0
HIP 81084,LP 745-70                ,12.9,11.28,K9Vkee         ,...,...,-4.53,3.45,0,7.45,D09; M10,HIP 81084,HIP 81084              ,LP 745-70                ,16 33 41.6097913996 -09 33 11.936260802,K9Vkee         ,0
HIP 86346,HD 160934                ,11.34,10.15,K7Ve           ,AB Dor,95+,...,3.02,40,1.84,D09; M10,HIP 86346,HIP 86346              ,HD 160934                ,17 38 39.6170537492 +61 14 16.102424643,K7Ve           ,0
HIP 87322,HD 162283                ,11.584,10.154,K7V            ,...,...,...,<4.40,...,...,...,HIP 87322,HIP 87322              ,HD 162283                ,17 50 34.0331526906 -06 03 01.036618207,K7V            ,0
HIP 88848,V* V815 Her              ,8.4,7.7,G5             ,...,...,-4.14,2.98,179,...,W07,HIP 88848,HIP 88848              ,V* V815 Her              ,18 08 16.0466708534 +29 41 28.298657106,G5             ,0
HIP 89005,V* LP Dra                ,     ~,     ~,K2V            ,...,...,...,3.95,11,...,G09,HIP 89005,HIP 89005              ,V* LP Dra                ,18 09 55.4988492938 +69 40 49.790702828,K2V            ,0
HIP 97438,HD 187748                ,7.22,6.64,G0             ,...,...,-3.77,4.69,87,...,G09,HIP 97438,HIP 97438              ,HD 187748                ,19 48 15.4485994563 +59 25 22.443941284,G0             ,0
HIP 101262,BD+33 3936               ,10.31,9.2,K4V            ,...,...,...,4.99,...,...,...,HIP 101262,HIP 101262             ,BD+33 3936               ,20 31 32.0719085502 +33 46 33.132939065,K4V            ,0
HIP 104225,HD 201651                ,8.94,8.2,K0             ,...,...,-4.97,<5.24,...,...,...,HIP 104225,HIP 104225             ,HD 201651                ,21 06 56.3886130739 +69 40 28.546309408,K0             ,0
HIP 105038,HD 202575                ,8.923,7.878,K3V            ,...,...,-4.56,5.09,[A] 0.75,...,M08,HIP 105038,HIP 105038             ,HD 202575                ,21 16 32.4670708408 +09 23 37.774663594,K3V            ,0
HIP 106231,BD+22 4409               ,10.28,9.253,K3Vke          ,AB Dor,95+,...,3.09,215,0.42,D09; M10,HIP 106231,HIP 106231             ,BD+22 4409               ,21 31 01.7141405072 +23 20 07.370852589,K3Vke          ,0
HIP 108156,HD 208313                ,8.69,     ~,K1             ,...,...,-4.9,5.23,[A] 0,4.51,M08; S09,HIP 108156,HIP 108156             ,HD 208313                ,21 54 45.0395724183 +32 19 42.839255220,K1             ,0
V383 Lac,V* V383 Lac              ,9.42,8.58,K1V            ,...,...,...,3.06,270,2.47,W07; W11,V383 Lac,V383 Lac               ,V* V383 Lac              ,22 20 07.0254836275 +49 30 11.763794475,K1V            ,0
HIP 112909,V* GT Peg                ,     ~,     ~,M3.5V          ,...,...,...,3.06,...,1.64,N07,HIP 112909,HIP 112909             ,V* GT Peg                ,22 51 53.5351541240 +31 45 15.195567260,M3.5V          ,0
HIP 113020,BD-15 6290               ,11.749,10.192,M3.5V          ,...,...,...,<4.16,...,...,...,HIP 113020,HIP 113020             ,BD-15 6290               ,22 53 16.7323107416 -14 15 49.303409936,M3.5V          ,1
HIP 115147,HD 220140                ,8.43,7.54,G9V            ,Columba,80,-4.16,3.15,[A] 2.3,...,M08,HIP 115147,HIP 115147             ,HD 220140                ,23 19 26.6384866318 +79 00 12.671002116,G9V            ,0
HIP 116215,HD 221503                ,9.903,8.607,K6V            ,beta Pic,20,-4.47,4.51,0,...,T06,HIP 116215,HIP 116215             ,HD 221503                ,23 32 49.3984137960 -16 50 44.322821630,K6V            ,0
HIP 116384,BD+00 5017               ,10.893,9.546,K7V            ,...,...,...,3.6,15,...,T06,HIP 116384,HIP 116384             ,BD+00 5017               ,23 35 00.2769821069 +01 36 19.433847921,K7V            ,0
HIP 117410,BD-13 6464               ,10.797,9.852,K5Vke          ,...,...,...,3.47,0,...,T06,HIP 117410,HIP 117410             ,BD-13 6464               ,23 48 25.6960649528 -12 59 14.986223957,K5Vke          ,0
HIP 560,HD 203                   ,6.547,6.173,F3V            ,beta Pic,95+,...,5.27,87,...,T06,HIP 560,HIP 560                ,HD 203                   ,00 06 50.0865327442 -23 06 27.147578969,F3V            ,0
HIP 1481,HD 1466                  ,8,7.46,F8V            ,Tuc-Hor,95+,-4.37,4.12,130,...,D09,HIP 1481,HIP 1481               ,HD 1466                  ,00 18 26.1235227218 -63 28 38.981281995,F8V            ,0
HIP 2729,HD 3221                  ,10.83,9.604,K4Ve           ,Tuc-Hor,95+,...,3.23,360,0.37,D09; M10,HIP 2729,HIP 2729               ,HD 3221                  ,00 34 51.2019905484 -61 54 58.129778039,K4Ve           ,0
HIP 5191,HD 6569                  ,10.35,9.52,K1V            ,AB Dor,95+,...,3.68,155,7.13,D09; M10,HIP 5191,HIP 5191               ,HD 6569                  ,01 06 26.1533019474 -14 17 47.106147991,K1V            ,0
HIP 9685,HD 12894                 ,6.81,6.45,F4V            ,Tuc-Hor,95+,...,4.92,60,...,T06,HIP 9685,HIP 9685               ,HD 12894                 ,02 04 35.1639886977 -54 52 54.048296835,F4V            ,0
HIP 12394,* eps Hyi                ,4.047,4.096,B9Va           ,Tuc-Hor,95+,...,<6.42,0,...,D09,HIP 12394,HIP 12394              ,* eps Hyi                ,02 39 35.3612092 -68 16 01.010320      ,B9Va           ,0
TYC 8491-656-1,CD-53 544                ,11.49,10.281,K6Ve           ,Tuc-Hor,95+,...,2.99,298,1.28,D09; M10,TYC 8491-656-1,TYC 8491-656-1         ,CD-53 544                ,02 41 46.8356379379 -52 59 52.395448380,K6Ve           ,0
AF Hor,V* AF Hor                ,13.7,12.21,M2Ve           ,Tuc-Hor,95+,...,2.59,10,0.56,D09; K12,AF Hor,AF Hor                 ,V* AF Hor                ,02 41 47.3054299827 -52 59 30.645005174,M2Ve           ,0
TYC 8497-995-1,CD-58 553                ,12.05,11.004,K5Ve           ,Tuc-Hor,95+,...,3.55,120,7.4,D09; M10,TYC 8497-995-1,TYC 8497-995-1         ,CD-58 553                ,02 42 33.0255319323 -57 39 36.830495001,K5Ve           ,0
HIP 14684,V* IS Eri                ,9.27,8.49,G8/K0V         ,AB Dor,95+,-4.38,<4.27,191,5.5,D09; M10,HIP 14684,HIP 14684              ,V* IS Eri                ,03 09 42.2876652306 -09 34 46.584013998,G8/K0V         ,0
