#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:26:49 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/612/A99/ngc2451
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc2451}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/612/A99/ngc2451
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc2451:
#Name: J/A+A/612/A99/ngc2451
#Title: Parameters for NGC2451
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
07412109-3710561;NGC2451;   UVES; 5599;    ;   4.305;        ;  -0.528;        ; ;   6.400;        ;    ;        ;        ;  15.340;   0.400;      ;      ;  20;115.33787;-37.18225
07422175-3805322;NGC2451;   UVES; 5383;  93;   4.380;   0.065;   0.468;   0.095;<;  38.300;        ;   3;   0.982;   0.001;  19.561;   0.400;      ;      ;  21;115.59062;-38.09228
07422768-3834230;NGC2451;   UVES; 6370;    ;   3.890;        ;  -0.010;        ; ;  16.500;        ;   0;        ;        ;   2.642;   0.400; 0.015; 0.060;  22;115.61533;-38.57306
07422984-3806287;NGC2451;   UVES; 5941;    ;   4.418;        ;  -0.401;        ; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;  23;115.62433;-38.10797
07424356-3802578;NGC2451;   UVES; 4314;    ;   4.739;        ;   0.086;        ; ;        ;        ;    ;        ;        ;  16.253;   0.400; 0.013; 0.859;  24;115.68150;-38.04939
07424464-3806142;NGC2451;   UVES; 6375; 216;   4.077;   0.259;   0.003;   0.119; ; 107.800;        ;   0;        ;        ;  15.233;   0.400; 0.005; 0.931;  25;115.68600;-38.10394
07424713-3829535;NGC2451;   UVES; 5042;  24;   3.254;   0.038;  -0.092;   0.015;<;  17.100;        ;   3;   1.005;   0.002;  33.648;   0.400;      ;      ;  26;115.69637;-38.49819
07425133-3840380;NGC2451;   UVES; 6003;  54;   4.064;   0.129;   0.104;   0.017; ;  14.800;        ;   0;        ;        ;  40.791;   0.400; 0.029; 0.024;  27;115.71387;-38.67722
07425263-3803269;NGC2451;   UVES; 6295;  72;   4.194;   0.065;   0.058;   0.032; ;  54.300;        ;   0;        ;        ;  21.737;   0.400; 0.672; 0.057;  28;115.71929;-38.05747
07430445-3804555;NGC2451;   UVES; 5769;  55;   4.347;   0.090;   0.272;   0.037; ;  18.400;        ;   0;        ;        ;  83.145;   0.400;      ;      ;  29;115.76854;-38.08208
07430754-3841144;NGC2451;   UVES; 5685;  34;   3.830;   0.067;   0.089;   0.024;<;  24.800;        ;   3;   1.001;   0.002;   2.712;   0.400;      ;      ;  30;115.78142;-38.68733
07434022-3839285;NGC2451;   UVES; 5733;  18;   4.334;   0.022;  -0.027;   0.008; ;  38.300;   2.190;   0;   0.990;   0.002;  87.455;   0.400;      ;      ;  31;115.91758;-38.65792
07434119-3836348;NGC2451;   UVES; 5804;  15;   4.367;   0.035;  -0.113;   0.022; ;  29.200;        ;   0;        ;        ;  -0.502;   0.400;      ;      ;  32;115.92162;-38.60967
07435449-3821582;NGC2451;   UVES; 6299;    ;   3.850;        ;  -0.180;        ; ;  20.600;        ;   0;   1.000;   0.002;   2.338;   0.400; 0.014; 0.054;  33;115.97704;-38.36617
07435554-3811116;NGC2451;   UVES; 5970;  68;   4.675;   0.089;   0.002;   0.052; ; 150.733;   4.207;   0;   0.997;   0.003;  16.268;   0.400; 0.006; 0.912;  34;115.98142;-38.18656
07440569-3753361;NGC2451;   UVES; 7451;    ;   4.160;        ;  -0.040;        ; ;  12.100;        ;   0;        ;        ;   8.193;   0.400; 0.024; 0.149;  35;116.02371;-37.89336
07440859-3816520;NGC2451;   UVES; 5870;  57;   4.352;   0.092;   0.329;   0.041; ;  49.600;   3.465;   0;   0.996;   0.002;  31.477;   0.400;      ;      ;  36;116.03579;-38.28111
07440992-3754528;NGC2451;   UVES; 5781;    ;   4.390;        ;   0.050;        ; ; 196.933;   5.190;   0;   0.993;   0.002;  15.146;   0.400; 0.006; 0.897;  37;116.04133;-37.91467
07441001-3822591;NGC2451;   UVES; 5977;   7;   4.334;   0.044;   0.303;   0.003; ;  46.000;        ;   0;        ;        ;  33.440;   0.400;      ;      ;  38;116.04171;-38.38308
07442323-3755284;NGC2451;   UVES; 6591;    ;   4.050;        ;  -0.120;        ; ;  67.100;        ;   0;        ;        ;  16.502;   0.400; 0.019; 0.807;  39;116.09679;-37.92456
07442926-3746443;NGC2451;   UVES; 5820;    ;   4.400;        ;   0.010;        ; ; 179.950;   1.610;   0;   0.999;   0.002;  16.335;   0.400; 0.004; 0.940;  40;116.12192;-37.77897
07443216-3821291;NGC2451;   UVES; 6336;  52;   4.088;   0.127;  -0.123;   0.009;<;  13.700;        ;   3;   1.002;   0.002;  -2.164;   0.400; 0.011; 0.035;  41;116.13400;-38.35808
07443639-3754018;NGC2451;   UVES; 5541;    ;   4.430;        ;  -0.060;        ; ; 227.200;  15.560;   0;   0.994;   0.002;        ;        ; 0.004; 0.933;  42;116.15162;-37.90050
07444692-3752047;NGC2451;   UVES; 5776;  12;   4.266;   0.047;  -0.031;   0.018; ;  15.900;        ;   0;        ;        ;  27.613;   0.400;      ;      ;  43;116.19550;-37.86797
07444895-3823279;NGC2451;   UVES; 7253;    ;   4.140;        ;  -0.150;        ; ;  16.000;        ;   0;        ;        ;  17.625;   0.400; 0.068; 0.502;  44;116.20396;-38.39108
07445092-3751337;NGC2451;   UVES; 5394;  60;   4.459;   0.067;   0.142;   0.055;<;  14.600;        ;   3;   0.985;   0.003;  22.310;   0.400;      ;      ;  45;116.21217;-37.85936
07445457-3819061;NGC2451;   UVES; 6433; 186;   4.039;   0.198;  -0.067;   0.172; ;  95.900;        ;   0;        ;        ;  15.243;   0.400; 0.005; 0.932;  46;116.22737;-38.31836
07450057-3811337;NGC2451;   UVES; 4884;    ;   4.503;        ;  -0.486;        ; ;  13.400;        ;    ;        ;        ;  26.429;   0.400;      ;      ;  47;116.25237;-38.19269
07450374-3806107;NGC2451;   UVES; 5883;    ;   4.410;        ;  -0.030;        ; ; 175.733;   4.566;   0;   1.001;   0.002;  14.112;   0.400; 0.004; 0.937;  48;116.26558;-38.10297
07451362-3812204;NGC2451;   UVES; 5515; 114;   4.420;   0.091;   0.605;   0.005;<;  26.500;        ;   3;   0.990;   0.001;  10.861;   0.400;      ;      ;  49;116.30675;-38.20567
07451819-3802491;NGC2451;   UVES; 6915; 305;   2.508;   0.912;  -1.057;   0.208; ;        ;        ;    ;        ;        ;  32.363;   0.400;      ;      ;  50;116.32579;-38.04697
07452008-3718296;NGC2451;   UVES; 6221;  66;   4.159;   0.032;   0.038;   0.026; ;  15.800;        ;   0;   1.000;   0.002;  38.859;   0.400; 0.039; 0.027;  51;116.33367;-37.30822
07452095-3749529;NGC2451;   UVES; 6270;    ;   3.900;        ;  -0.100;        ; ;  34.400;        ;   0;        ;        ;  15.998;   0.400; 0.009; 0.895;  52;116.33729;-37.83136
07452252-3725012;NGC2451;   UVES; 6392; 356;   4.200;   0.028;   0.221;   0.139; ;   7.300;        ;   0;        ;        ;  -2.196;   0.400; 0.012; 0.040;  53;116.34383;-37.41700
07452652-3811471;NGC2451;   UVES; 6030;  12;   4.259;   0.033;  -0.006;   0.018; ;  54.100;        ;   0;        ;        ;  -6.701;   0.400; 0.010; 0.030;  54;116.36050;-38.19642
07453130-3901401;NGC2451;   UVES; 6618;    ;   3.930;        ;   0.020;        ; ;  25.000;        ;   0;        ;        ;  29.217;   0.400; 0.141; 0.051;  55;116.38042;-39.02781
07453760-3730270;NGC2451;   UVES; 5780;    ;   4.410;        ;   0.070;        ; ; 231.200;   2.960;   0;   0.991;   0.002;  16.525;   0.400; 0.014; 0.845;  56;116.40667;-37.50750
07453855-3746418;NGC2451;   UVES; 5755;  43;   4.305;   0.132;  -0.012;   0.077; ; 186.600;        ;   0;        ;        ;  23.453;   0.400; 0.853; 0.018;  57;116.41062;-37.77828
07454075-3907464;NGC2451;   UVES; 6165; 480;   4.278;   0.077;   0.441;   0.292; ;  57.700;        ;   0;        ;        ; 140.455;   0.400;      ;      ;  58;116.41979;-39.12956
07454193-3901061;NGC2451;   UVES; 7936;    ;   4.090;        ;   0.200;        ; ;   5.000;        ;   0;        ;        ;   9.246;   0.400; 0.027; 0.189;  59;116.42471;-39.01836
07454219-3744382;NGC2451;   UVES; 6274;    ;   3.970;        ;  -0.070;        ; ; 130.600;        ;   0;        ;        ;        ;        ;      ;      ;  60;116.42579;-37.74394
07454586-3753499;NGC2451;   UVES; 5780;   1;   4.352;   0.040;  -0.041;   0.053; ; 183.600;   9.304;   0;   0.987;   0.003;  15.565;   0.400; 0.014; 0.840;  61;116.44108;-37.89719
07455390-3812406;NGC2451;   UVES; 5985; 269;   4.554;   0.840;  -0.438;   0.214; ;  97.000;        ;    ;        ;        ;  -2.659;   0.400;      ;      ;  62;116.47458;-38.21128
07455731-3908341;NGC2451;   UVES; 7000;    ;   4.200;        ;  -1.610;        ; ;  10.700;        ;    ;        ;        ;        ;        ;      ;      ;  63;116.48879;-39.14281
07460070-3740155;NGC2451;   UVES; 6330;    ;   3.870;        ;  -0.100;        ;<;   1.400;        ;   3;   1.010;   0.001;  16.994;   0.400; 0.088; 0.390;  64;116.50292;-37.67097
07460194-3744541;NGC2451;   UVES; 6512; 272;   3.845;   0.007;   0.057;   0.112; ;  11.200;        ;   0;   1.008;   0.002;  33.377;   0.400; 0.059; 0.033;  65;116.50808;-37.74836
07461296-3724439;NGC2451;   UVES; 6878;    ;   4.090;        ;   0.000;        ; ;  35.200;        ;   0;        ;        ;  20.839;   0.400; 0.453; 0.113;  66;116.55400;-37.41219
07462365-3805219;NGC2451;   UVES; 6302;    ;   3.840;        ;  -0.070;        ;<;  17.900;        ;   3;   1.000;   0.001;  42.876;   0.400; 0.027; 0.023;  67;116.59854;-38.08942
07462405-3900464;NGC2451;   UVES; 6076;  12;   3.833;   0.038;   0.077;   0.021;<;  17.700;        ;   3;   1.001;   0.002;  35.552;   0.400; 0.051; 0.032;  68;116.60021;-39.01289
07462485-3801106;NGC2451;   UVES; 5095;  12;   4.471;   0.016;  -0.085;   0.015; ;  40.650;   1.495;   0;   0.979;   0.002;  23.442;   0.400;      ;      ;  69;116.60354;-38.01961
07463867-3748137;NGC2451;   UVES; 5305;    ;   3.903;        ;  -0.270;        ; ;   9.800;        ;    ;        ;        ;-309.043;   0.400;      ;      ;  70;116.66112;-37.80381
07464064-3858460;NGC2451;   UVES; 6155;  46;   3.993;   0.092;   0.093;   0.028;<;   9.900;        ;   3;   1.000;   0.002;  37.469;   0.400; 0.049; 0.031;  71;116.66933;-38.97944
07464549-3907535;NGC2451;   UVES; 5046;  65;   4.279;   0.032;   0.328;   0.083;<;  35.200;        ;   3;   0.973;   0.002;  81.773;   0.400;      ;      ;  72;116.68954;-39.13153
07464553-3749339;NGC2451;   UVES; 5871;  32;   4.128;   0.079;  -0.296;   0.034; ;  35.700;   1.115;   0;   0.995;   0.001;  14.457;   0.400;      ;      ;  73;116.68971;-37.82608
07470917-3859003;NGC2451;   UVES; 6267; 141;   4.868;   0.279;  -0.847;   0.140; ;  20.700;        ;    ;        ;        ;  26.087;   0.400;      ;      ;  74;116.78821;-38.98342
07471043-3902494;NGC2451;   UVES; 4993;  49;   2.992;   0.090;  -0.402;   0.020; ;  21.500;        ;   0;        ;        ;  97.198;   0.400;      ;      ;  75;116.79346;-39.04706
07471095-3715160;NGC2451;   UVES; 6179;  26;   3.963;   0.007;  -0.050;   0.006; ;   8.200;        ;   0;        ;        ;  -6.766;   0.400; 0.010; 0.031;  76;116.79562;-37.25444
07471709-3740422;NGC2451;   UVES; 5694;  13;   4.372;   0.024;  -0.152;   0.013; ;  20.200;        ;   0;        ;        ;   4.645;   0.400;      ;      ;  77;116.82121;-37.67839
07471789-3739517;NGC2451;   UVES; 4644;   7;   2.737;   0.074;   0.168;   0.045;<;  44.700;        ;   3;   1.009;   0.003;  23.227;   0.400;      ;      ;  78;116.82454;-37.66436
07472153-3747373;NGC2451;   UVES; 5639;  51;   3.786;   0.087;   0.105;   0.011;<;  11.100;        ;   3;   0.999;   0.003;  64.353;   0.400;      ;      ;  79;116.83971;-37.79369
07472596-3748156;NGC2451;   UVES; 6002;    ;   4.180;        ;  -0.010;        ; ; 161.100;        ;   0;        ;        ;  14.502;   0.400; 0.008; 0.885;  80;116.85817;-37.80433
07473514-3750487;NGC2451;   UVES; 6473;    ;   3.880;        ;  -0.040;        ; ;  26.400;        ;   0;        ;        ;  32.043;   0.400; 0.079; 0.040;  81;116.89642;-37.84686
07473811-3719274;NGC2451;   UVES; 4917;  38;   2.526;   0.046;  -0.120;   0.040; ;  23.500;        ;   0;        ;        ;  13.503;   0.400;      ;      ;  82;116.90879;-37.32428
07474569-3727405;NGC2451;   UVES; 6217;    ;   4.198;        ;   0.543;        ; ;        ;        ;    ;        ;        ;  21.158;   0.400; 0.533; 0.089;  83;116.94037;-37.46125
07481289-3716457;NGC2451;   UVES; 6376;    ;   4.030;        ;  -0.556;        ; ;        ;        ;    ;        ;        ;  11.116;   0.400;      ;      ;  84;117.05371;-37.27936
07483292-3801338;NGC2451;   UVES; 6109;  17;   4.144;   0.033;   0.031;   0.033; ;  63.500;        ;   0;        ;        ;  38.901;   0.400; 0.036; 0.028;  85;117.13717;-38.02606
07483589-3810276;NGC2451;   UVES; 5376;  32;   2.909;   0.039;  -0.114;   0.043;<;  19.300;        ;   3;   1.009;   0.002;  31.725;   0.400;      ;      ;  86;117.14954;-38.17433
07485034-3807068;NGC2451;   UVES; 6314;    ;   3.880;        ;  -0.110;        ; ;   7.100;        ;   0;        ;        ;  10.981;   0.400; 0.028; 0.272;  87;117.20975;-38.11856
07490017-3810109;NGC2451;   UVES; 5321;  47;   4.315;   0.074;   0.480;   0.010;<;  41.200;        ;   3;   0.982;   0.002;  63.214;   0.400;      ;      ;  88;117.25071;-38.16969
07491818-3804566;NGC2451;   UVES; 7078;    ;   4.000;        ;  -0.130;        ; ;   7.100;        ;   0;        ;        ;  70.976;   0.400; 0.031; 0.039;  89;117.32575;-38.08239
07492008-3759453;NGC2451;   UVES; 5179;  43;   3.337;   0.071;  -0.129;   0.015; ;  26.700;   1.360;   0;   1.006;   0.002;   4.678;   0.400;      ;      ;  90;117.33367;-37.99592
07365560-3845210;NGC2451;GIRAFFE; 4588;  90;   2.481;   0.161;   0.105;   0.037;<;  59.100;        ;   3;   1.015;   0.006;  97.360;   0.244;      ;      ;  91;114.23167;-38.75583
07365890-3841036;NGC2451;GIRAFFE; 4603;  96;   3.227;        ;  -0.215;   0.133; ;  34.067;   5.472;   0;   1.026;   0.004; 110.138;   0.243;      ;      ;  92;114.24542;-38.68433
07365899-3841500;NGC2451;GIRAFFE; 4900; 160;   4.354;   0.152;  -0.139;   0.001;<;  41.200;        ;   3;   0.966;   0.015;  64.115;   0.406;      ;      ;  93;114.24579;-38.69722
07370075-3845081;NGC2451;GIRAFFE; 4824; 215;   2.845;        ;  -0.193;   0.164;<;  22.400;        ;   3;   1.023;   0.006;  55.212;   0.246;      ;      ;  94;114.25312;-38.75225
07370094-3838376;NGC2451;GIRAFFE; 4589; 307;   4.576;   0.086;  -0.130;   0.013;<;  28.600;        ;   3;   0.915;   0.006;  72.950;   0.254;      ;      ;  95;114.25392;-38.64378
07370216-3840589;NGC2451;GIRAFFE; 4741; 106;   3.368;        ;  -0.485;   0.086; ;  27.900;        ;   0;   1.008;   0.005; 183.941;   0.246;      ;      ;  96;114.25900;-38.68303
07370285-3834054;NGC2451;GIRAFFE; 3466;  25;   4.699;   0.015;  -0.240;        ;<; 100.000;        ;   3;   0.808;   0.011;  15.051;   0.272; 0.003; 0.940;  97;114.26187;-38.56817
07370536-3846508;NGC2451;GIRAFFE; 4868;  68;   3.030;        ;  -0.105;   0.037; ;  66.700;   3.475;   0;   1.016;   0.006;  67.749;   0.254;      ;      ;  98;114.27233;-38.78078
